DateTime,Turbidity NTU,fDOM RFU
4/17/2023 12:18,3.374588,0.3508979
4/17/2023 12:33,4.825984,0
4/17/2023 12:48,3.752674,0
4/17/2023 13:03,3.744007,0
4/17/2023 13:18,2.980345,0
4/17/2023 13:33,2.907491,0
4/17/2023 13:48,2.942816,0
4/17/2023 14:03,2.917355,0
4/17/2023 14:18,2.404051,0
4/17/2023 14:33,2.434257,0
4/17/2023 14:48,-9999,0.5448111
4/17/2023 15:03,-9999,0.5637296
4/17/2023 15:18,-9999,0.5727835
4/17/2023 15:33,-9999,0.5818779
4/17/2023 15:48,-9999,0.5838252
4/17/2023 16:03,-9999,0.5970703
4/17/2023 16:18,-9999,0.6029366
4/17/2023 16:33,-9999,0.610405
4/17/2023 16:48,-9999,0.6156809
4/17/2023 17:03,-9999,0.6194881
4/17/2023 17:18,-9999,0.6231835
4/17/2023 17:33,-9999,0.6306679
4/17/2023 17:48,-9999,0.6341961
4/17/2023 18:03,-9999,0.641362
4/17/2023 18:18,-9999,0.6445684
4/17/2023 18:33,-9999,0.6492747
4/17/2023 18:48,-9999,0.6505165
4/17/2023 19:03,-9999,0.6524457
4/17/2023 19:18,-9999,0.6699684
4/17/2023 19:33,-9999,0.6723129
4/17/2023 19:48,-9999,0.6719308
4/17/2023 20:03,-9999,0.6783062
4/17/2023 20:18,-9999,0.6613076
4/17/2023 20:33,-9999,0.6901208
4/17/2023 20:48,-9999,0.6886634
4/17/2023 21:03,12.53027,0.6544464
4/17/2023 21:18,13.07011,0.675938
4/17/2023 21:33,14.75716,0.6904157
4/17/2023 21:48,12.57308,0.6855994
4/17/2023 22:03,12.93095,0.6960267
4/17/2023 22:18,13.35594,0.6878049
4/17/2023 22:33,16.81352,0.6862152
4/17/2023 22:48,12.46886,0.685808
4/17/2023 23:03,14.17917,0.6818005
4/17/2023 23:18,12.17745,0.6724352
4/17/2023 23:33,12.301589,0.6390657
4/17/2023 23:48,12.98412,0.6694795
4/18/2023 0:03,13.93539,0.6663653
4/18/2023 0:18,12.69925,0.6657123
4/18/2023 0:33,12.73824,0.6637874
4/18/2023 0:48,12.43958,0.6597635
4/18/2023 1:03,12.08718,0.65505
4/18/2023 1:18,13.15115,0.6516896
4/18/2023 1:33,11.03062,0.6499267
4/18/2023 1:48,13.98947,0.6208296
4/18/2023 2:03,11.7625,0.6471484
4/18/2023 2:18,12.8053,0.6471807
4/18/2023 2:33,11.67431,0.6450846
4/18/2023 2:48,11.81159,0.6422246
4/18/2023 3:03,11.39053,0.6423956
4/18/2023 3:18,11.26052,0.6419531
4/18/2023 3:33,12.66429,0.6385939
4/18/2023 3:48,12.2934,0.6374496
4/18/2023 4:03,10.70504,0.6362627
4/18/2023 4:18,10.01597,0.6354017
4/18/2023 4:33,12.82533,0.6351523
4/18/2023 4:48,15.27054,0.6347108
4/18/2023 5:03,11.19125,0.6308791
4/18/2023 5:18,11.10804,0.6276596
4/18/2023 5:33,11.72746,0.6292655
4/18/2023 5:48,10.51823,0.6235194
4/18/2023 6:03,10.98092,0.6155879
4/18/2023 6:18,10.63814,0.626682
4/18/2023 6:33,11.4127,0.6219947
4/18/2023 6:48,11.31672,0.6262105
4/18/2023 7:03,11.34096,0.6253235
4/18/2023 7:18,12.03127,0.6295588
4/18/2023 7:33,11.47806,0.6109783
4/18/2023 7:48,11.73916,0.6214185
4/18/2023 8:03,12.14422,0.6221951
4/18/2023 8:18,10.86065,0.6226543
4/18/2023 8:33,10.13751,0.6219358
4/18/2023 8:48,10.21903,0.6186604
4/18/2023 9:03,9.564679,0.6149233
4/18/2023 9:18,10.62562,0.6126405
4/18/2023 9:33,11.95797,0.6119265
4/18/2023 9:48,10.50667,0.6054433
4/18/2023 10:03,11.34146,0.6011829
4/18/2023 10:18,11.91506,0.6019804
4/18/2023 10:33,10.6403,0.6031333
4/18/2023 10:48,13.16363,0.5853405
4/18/2023 11:03,13.2308,0.5583099
4/18/2023 11:18,10.287,0.6296349
4/18/2023 11:33,12.17537,0.5464051
4/18/2023 11:48,13.93064,0.5385669
4/18/2023 12:03,7.798292,0.5478419
4/18/2023 12:18,10.74382,0.5928869
4/18/2023 12:33,9.923237,0.5857685
4/18/2023 12:48,14.20096,0.5872732
4/18/2023 13:03,21.00374,0.590041
4/18/2023 13:18,16.75934,0.5841346
4/18/2023 13:33,12.44901,0.5879776
4/18/2023 13:48,12.66109,0.5952013
4/18/2023 14:03,12.51284,0.5995489
4/18/2023 14:18,12.12552,0.5961682
4/18/2023 14:33,14.15439,0.6169371
4/18/2023 14:48,15.99993,0.6165159
4/18/2023 15:03,15.56599,0.6148718
4/18/2023 15:18,16.30315,0.6203345
4/18/2023 15:33,19.08358,0.6255432
4/18/2023 15:48,22.07182,0.6283935
4/18/2023 16:03,17.56996,0.6329454
4/18/2023 16:18,19.84474,0.6410936
4/18/2023 16:33,20.70905,0.6433087
4/18/2023 16:48,24.98981,0.6476115
4/18/2023 17:03,22.85734,0.6542038
4/18/2023 17:18,25.57261,0.6492873
4/18/2023 17:33,21.8748,0.68388
4/18/2023 17:48,21.88062,0.694204
4/18/2023 18:03,21.01232,0.7105379
4/18/2023 18:18,19.85454,0.7185102
4/18/2023 18:33,19.70825,0.7199181
4/18/2023 18:48,21.96448,0.7336913
4/18/2023 19:03,19.80833,0.7407148
4/18/2023 19:18,21.3847,0.7434469
4/18/2023 19:33,14.51817,0.7532968
4/18/2023 19:48,15.60678,0.7458444
4/18/2023 20:03,16.42686,0.7442604
4/18/2023 20:18,20.49662,0.7562723
4/18/2023 20:33,19.64147,0.7672419
4/18/2023 20:48,15.45955,0.7134351
4/18/2023 21:03,16.40324,0.7576851
4/18/2023 21:18,14.28585,0.7530296
4/18/2023 21:33,13.29478,0.7580385
4/18/2023 21:48,15.23958,0.7518674
4/18/2023 22:03,13.23378,0.7430653
4/18/2023 22:18,14.89019,0.6973282
4/18/2023 22:33,16.6496,0.7332648
4/18/2023 22:48,14.68028,0.7435976
4/18/2023 23:03,13.43751,0.7366202
4/18/2023 23:18,12.93354,0.7353946
4/18/2023 23:33,11.09152,0.7297333
4/18/2023 23:48,14.19703,0.7104892
4/19/2023 0:03,12.4017,0.7247183
4/19/2023 0:18,13.7276,0.7146486
4/19/2023 0:33,13.739768,0.712034
4/19/2023 0:48,14.638,0.7107995
4/19/2023 1:03,12.5698,0.7052705
4/19/2023 1:18,10.91508,0.7044011
4/19/2023 1:33,12.60918,0.6911407
4/19/2023 1:48,12.21434,0.6953294
4/19/2023 2:03,10.36634,0.6941052
4/19/2023 2:18,14.10005,0.6868983
4/19/2023 2:33,11.39489,0.6847057
4/19/2023 2:48,15.13786,0.6755399
4/19/2023 3:03,10.82962,0.6744866
4/19/2023 3:18,13.7589,0.6637144
4/19/2023 3:33,18.23424,0.6710954
4/19/2023 3:48,10.48103,0.6568641
4/19/2023 4:03,12.94793,0.6672332
4/19/2023 4:18,13.57756,0.6509355
4/19/2023 4:33,11.0835,0.6503212
4/19/2023 4:48,9.903367,0.6478059
4/19/2023 5:03,12.28574,0.6489044
4/19/2023 5:18,13.81808,0.6446792
4/19/2023 5:33,15.40975,0.6440092
4/19/2023 5:48,11.67647,0.64165
4/19/2023 6:03,11.60974,0.6416031
4/19/2023 6:18,13.13616,0.6402417
4/19/2023 6:33,10.18431,0.6391004
4/19/2023 6:48,10.74613,0.6400243
4/19/2023 7:03,10.56776,0.6373873
4/19/2023 7:18,11.12726,0.6378816
