DateTime,Turbidity FNU,fDOM QSU,fDOM RFU
7/5/2023 20:00,5.75,21.43,7.2
7/5/2023 20:15,4.47,21.69,7.29
7/5/2023 20:30,4.06,21.12,7.1
7/5/2023 20:45,4.1,21.51,7.23
7/5/2023 21:00,4.27,21.52,7.23
7/5/2023 21:15,4.57,21.51,7.23
7/5/2023 21:30,4.38,21.85,7.35
7/5/2023 21:45,4.34,21.55,7.24
7/5/2023 22:00,4.34,21.48,7.22
7/5/2023 22:15,4.12,21.46,7.21
7/5/2023 22:30,4.27,21.35,7.18
7/5/2023 22:45,4.67,21.32,7.17
7/5/2023 23:00,4.03,21.26,7.15
7/5/2023 23:15,4.34,21.22,7.14
7/5/2023 23:30,4.14,21.22,7.13
7/5/2023 23:45,4.26,21.17,7.12
7/6/2023 0:00,4.2,21.19,7.13
7/6/2023 0:15,4.2,21.08,7.09
7/6/2023 0:30,4.21,21.07,7.08
7/6/2023 0:45,4.09,21.01,7.06
7/6/2023 1:00,3.98,25.79,8.67
7/6/2023 1:15,4.16,21.48,7.22
7/6/2023 1:30,4.12,21.04,7.07
7/6/2023 1:45,3.97,20.96,7.05
7/6/2023 2:00,3.87,26.42,8.89
7/6/2023 2:15,3.88,21.2,7.13
7/6/2023 2:30,3.9,20.98,7.05
7/6/2023 2:45,3.94,20.92,7.03
7/6/2023 3:00,3.73,20.89,7.02
7/6/2023 3:15,3.89,20.83,7
7/6/2023 3:30,3.68,20.76,6.98
7/6/2023 3:45,3.82,20.77,6.98
7/6/2023 4:00,3.86,20.76,6.98
7/6/2023 4:15,3.86,20.74,6.97
7/6/2023 4:30,3.69,20.75,6.98
7/6/2023 4:45,3.65,20.69,6.96
7/6/2023 5:00,3.68,20.71,6.96
7/6/2023 5:15,3.77,20.7,6.96
7/6/2023 5:30,3.84,20.65,6.94
7/6/2023 5:45,3.7,20.73,6.97
7/6/2023 6:00,3.8,20.66,6.95
7/6/2023 6:15,3.68,20.66,6.94
7/6/2023 6:30,3.69,20.71,6.96
7/6/2023 6:45,3.74,20.73,6.97
7/6/2023 7:00,3.89,20.77,6.98
7/6/2023 7:15,3.71,20.74,6.97
7/6/2023 7:30,3.6,20.72,6.97
7/6/2023 7:45,3.58,20.68,6.95
7/6/2023 8:00,3.53,20.79,6.99
7/6/2023 8:15,3.96,20.6,6.93
7/6/2023 8:30,3.61,20.61,6.93
7/6/2023 8:45,3.59,20.55,6.91
7/6/2023 9:00,3.62,20.43,6.87
7/6/2023 9:15,3.48,20.41,6.86
7/6/2023 9:30,3.66,20.27,6.82
7/6/2023 9:45,3.68,20.06,6.75
7/6/2023 10:00,3.61,19.97,6.71
7/6/2023 10:15,3.74,19.82,6.66
7/6/2023 10:30,3.64,19.71,6.63
7/6/2023 10:45,3.68,19.47,6.55
7/6/2023 11:00,3.95,19.29,6.49
7/6/2023 11:15,4,19.18,6.45
7/6/2023 11:30,4,19.08,6.41
7/6/2023 11:45,4,19.03,6.4
7/6/2023 12:00,4.05,18.94,6.37
7/6/2023 12:15,4,18.92,6.36
7/6/2023 12:30,4.05,18.98,6.38
7/6/2023 12:45,4.14,18.9,6.35
7/6/2023 13:00,4.2,18.97,6.38
7/6/2023 13:15,4.29,19.02,6.39
7/6/2023 13:30,4.32,18.98,6.38
7/6/2023 13:45,4.51,19.15,6.44
7/6/2023 14:00,4.45,19.19,6.45
7/6/2023 14:15,4.8,19.29,6.49
7/6/2023 14:30,4.94,19.51,6.56
7/6/2023 14:45,4.84,19.57,6.58
7/6/2023 15:00,4.88,19.57,6.58
7/6/2023 15:15,4.76,19.88,6.69
7/6/2023 15:30,4.65,19.95,6.71
7/6/2023 15:45,4.79,20.1,6.76
7/6/2023 16:00,4.36,20.19,6.79
7/6/2023 16:15,4.32,20.33,6.83
7/6/2023 16:30,4.37,20.61,6.93
7/6/2023 16:45,4.25,20.65,6.94
7/6/2023 17:00,4.46,20.73,6.97
7/6/2023 17:15,5.36,20.96,7.05
