DateTime,Turbidity NTU,fDOM RFU
4/17/2023 12:14,3.816212,0.0121108
4/17/2023 12:29,5.741602,0
4/17/2023 12:44,6.163095,0.01421095
4/17/2023 12:59,6.131924,0.01228705
4/17/2023 13:14,6.10893,0.01291388
4/17/2023 13:29,4.28539,0.004675724
4/17/2023 13:44,5.938188,0.006403316
4/17/2023 13:59,4.284571,0.005835846
4/17/2023 14:14,4.777033,4.74E-05
4/17/2023 14:29,4.828017,0
4/17/2023 14:44,4.657146,0
4/17/2023 14:59,4.690478,0
4/17/2023 15:14,4.68257,0
4/17/2023 15:29,4.443966,0
4/17/2023 15:44,1.576826,0
4/17/2023 15:59,-9999,0.7242773
4/17/2023 16:14,-9999,0.7417071
4/17/2023 16:29,-9999,0.7634039
4/17/2023 16:44,-9999,0.7467636
4/17/2023 16:59,-9999,0.7971207
4/17/2023 17:14,-9999,0.8117532
4/17/2023 17:29,-9999,0.8365016
4/17/2023 17:44,-9999,0.8544609
4/17/2023 17:59,-9999,0.8681245
4/17/2023 18:14,-9999,0.871007
4/17/2023 18:29,-9999,0.8856248
4/17/2023 18:44,-9999,0.8587924
4/17/2023 18:59,-9999,0.8905112
4/17/2023 19:14,-9999,0.9065011
4/17/2023 19:29,-9999,0.9112738
4/17/2023 19:44,12.69171,0.9134121
4/17/2023 19:59,10.13097395,0.9046388
4/17/2023 20:14,14.44608631,0.9046353
4/17/2023 20:29,19.15311828,0.9189095
4/17/2023 20:44,24.14156,0.9019766
4/17/2023 20:59,20.99287,0.9230654
4/17/2023 21:14,20.34559,0.9226323
4/17/2023 21:29,15.0773,0.9214401
4/17/2023 21:44,16.66652,0.9104955
4/17/2023 21:59,13.185073,0.8998621
4/17/2023 22:14,13.60092,0.9227747
4/17/2023 22:29,11.06126,0.9125443
4/17/2023 22:44,-9999,0.9124978
4/17/2023 22:59,-9999,0.9060432
4/17/2023 23:14,-9999,0.9076018
4/17/2023 23:29,-9999,0.8986982
4/17/2023 23:44,12.49722,0.8965788
4/17/2023 23:59,12.57903,0.8834423
4/18/2023 0:14,12.03538,0.8882473
4/18/2023 0:29,14.26217,0.8823808
4/18/2023 0:44,11.75775,0.8823828
4/18/2023 0:59,11.74694,0.8704337
4/18/2023 1:14,14.55705,0.8621573
4/18/2023 1:29,11.06583,0.8664699
4/18/2023 1:44,11.599934,0.8615857
4/18/2023 1:59,12.8207,0.8681275
4/18/2023 2:14,17.00332,0.8581131
4/18/2023 2:29,11.52268,0.8483914
4/18/2023 2:44,11.59288,0.8449386
4/18/2023 2:59,13.56236,0.8428193
4/18/2023 3:14,10.91404,0.8338496
4/18/2023 3:29,10.90825,0.8318954
4/18/2023 3:44,11.17267,0.8281727
4/18/2023 3:59,13.98291,0.8245257
4/18/2023 4:14,11.95597,0.8189076
4/18/2023 4:29,12.88775,0.8168558
4/18/2023 4:44,11.81645,0.8157851
4/18/2023 4:59,10.64471,0.8067619
4/18/2023 5:14,14.03991,0.8027085
4/18/2023 5:29,11.90496,0.7967384
4/18/2023 5:44,11.37261,0.787451
4/18/2023 5:59,9.579949,0.7872556
4/18/2023 6:14,10.0693812,0.7817487
4/18/2023 6:29,10.45491,0.7785245
4/18/2023 6:44,11.46102,0.7807232
4/18/2023 6:59,13.54332,0.7788397
4/18/2023 7:14,12.91249,0.7795169
4/18/2023 7:29,10.2229,0.7717313
4/18/2023 7:44,14.2305,0.7792925
4/18/2023 7:59,13.41763,0.7699836
4/18/2023 8:14,13.82907,0.7711642
4/18/2023 8:29,10.61941,0.7667869
4/18/2023 8:44,12.581379,0.7538228
4/18/2023 8:59,13.24587,0.7523358
4/18/2023 9:14,13.25455,0.7414347
4/18/2023 9:29,10.83413,0.7295442
