DateTime,Turbidity FNU,fDOM QSU,fDOM RFU
7/12/2022 14:30,8.47,10.49,5.49
7/12/2022 14:35,4.49,19.7,10.28
7/12/2022 14:40,4.48,20.88,10.9
7/12/2022 14:45,3.66,21.2,11.07
7/12/2022 14:50,3.43,21.26,11.1
7/12/2022 14:55,3.37,21.28,11.11
7/12/2022 15:00,3.38,21.28,11.11
7/12/2022 15:15,3.47,21.24,11.09
7/12/2022 15:30,3.39,21.19,11.06
7/12/2022 15:45,3.4,21.08,11
7/12/2022 16:00,3.37,21.03,10.98
7/12/2022 16:15,3.4,21.01,10.96
7/12/2022 16:30,3.37,21.03,10.98
7/12/2022 16:45,3.38,21.05,10.99
7/12/2022 17:00,3.37,21.09,11
7/12/2022 17:15,3.37,21.13,11.03
7/12/2022 17:30,3.37,21.19,11.06
7/12/2022 17:45,3.38,21.28,11.1
7/12/2022 18:00,3.39,21.32,11.13
7/12/2022 18:15,3.35,21.36,11.15
7/12/2022 18:30,3.37,21.38,11.16
7/12/2022 18:45,3.33,21.41,11.17
7/12/2022 19:00,3.31,21.44,11.19
7/12/2022 19:15,3.35,21.46,11.2
7/12/2022 19:30,3.34,21.47,11.21
7/12/2022 19:45,3.36,21.48,11.21
7/12/2022 20:00,3.31,21.51,11.22
7/12/2022 20:15,3.33,21.52,11.23
7/12/2022 20:30,3.3,21.51,11.23
7/12/2022 20:45,3.3,21.52,11.23
7/12/2022 21:00,3.33,21.52,11.23
7/12/2022 21:15,3.32,21.53,11.24
7/12/2022 21:30,3.33,21.54,11.24
7/12/2022 21:45,3.31,21.57,11.26
7/12/2022 22:00,3.33,21.58,11.26
7/12/2022 22:15,3.34,21.6,11.27
7/12/2022 22:30,3.32,21.6,11.27
7/12/2022 22:45,3.32,21.59,11.26
7/12/2022 23:00,3.32,21.59,11.26
7/12/2022 23:15,3.36,21.58,11.26
7/12/2022 23:30,3.31,21.54,11.24
7/12/2022 23:45,3.34,21.52,11.23
7/13/2022 0:00,3.31,21.5,11.22
7/13/2022 0:15,3.3,21.49,11.21
7/13/2022 0:30,3.3,21.47,11.21
7/13/2022 0:45,3.31,21.45,11.2
7/13/2022 1:00,3.29,21.44,11.19
7/13/2022 1:15,3.34,21.43,11.19
7/13/2022 1:30,3.31,21.44,11.19
7/13/2022 1:45,3.28,21.42,11.18
7/13/2022 2:00,3.31,21.4,11.17
7/13/2022 2:15,3.32,21.38,11.16
7/13/2022 2:30,3.29,21.38,11.16
7/13/2022 2:45,3.31,21.37,11.15
7/13/2022 3:00,3.29,21.35,11.14
7/13/2022 3:15,3.29,21.34,11.14
7/13/2022 3:30,3.28,21.33,11.13
7/13/2022 3:45,3.27,21.32,11.13
7/13/2022 4:00,3.24,21.3,11.12
7/13/2022 4:15,3.25,21.29,11.11
7/13/2022 4:30,3.26,21.28,11.1
7/13/2022 4:45,3.26,21.27,11.1
7/13/2022 5:00,3.25,21.25,11.09
7/13/2022 5:15,3.26,21.23,11.08
7/13/2022 5:30,3.26,21.22,11.08
7/13/2022 5:45,3.29,21.21,11.07
7/13/2022 6:00,3.28,21.2,11.06
7/13/2022 6:15,3.3,21.19,11.06
7/13/2022 6:30,3.3,21.2,11.06
7/13/2022 6:45,3.28,21.21,11.07
7/13/2022 7:00,3.26,21.24,11.09
7/13/2022 7:15,3.26,21.26,11.09
7/13/2022 7:30,3.26,21.25,11.09
7/13/2022 7:45,3.25,21.23,11.08
7/13/2022 8:00,3.23,21.22,11.07
7/13/2022 8:15,3.21,21.2,11.07
7/13/2022 8:30,3.23,21.16,11.04
7/13/2022 8:45,3.23,21.1,11.01
7/13/2022 9:00,3.22,21.04,10.98
7/13/2022 9:15,3.2,20.94,10.93
7/13/2022 9:30,3.19,20.8,10.86
7/13/2022 9:45,3.2,20.7,10.8
7/13/2022 10:00,3.22,20.74,10.83
7/13/2022 10:15,3.22,20.62,10.76
7/13/2022 10:30,3.24,20.49,10.7
7/13/2022 10:45,3.24,20.32,10.61
7/13/2022 11:00,3.27,20.19,10.54
7/13/2022 11:15,3.26,20.05,10.46
7/13/2022 11:30,3.27,19.92,10.4
7/13/2022 11:45,3.28,19.85,10.36
7/13/2022 12:00,3.28,19.74,10.3
7/13/2022 12:15,3.26,19.79,10.33
7/13/2022 12:30,3.29,19.69,10.28
7/13/2022 12:45,3.28,19.67,10.27
7/13/2022 13:00,3.29,19.86,10.37
7/13/2022 13:15,3.24,19.98,10.43
7/13/2022 13:30,3.23,20.08,10.48
7/13/2022 13:45,3.21,20.13,10.51
7/13/2022 14:00,3.22,20.12,10.5
7/13/2022 14:15,3.22,20.07,10.48
7/13/2022 14:30,3.21,20.15,10.52
7/13/2022 14:45,3.18,20.21,10.55
7/13/2022 15:00,3.2,20.26,10.58
7/13/2022 15:15,3.2,20.14,10.51
7/13/2022 15:30,3.23,19.98,10.43
7/13/2022 15:45,3.24,19.94,10.41
7/13/2022 16:00,3.28,19.88,10.38
7/13/2022 16:15,3.29,19.86,10.37
7/13/2022 16:30,3.28,19.88,10.38
7/13/2022 16:45,3.28,19.93,10.4
7/13/2022 17:00,3.3,19.99,10.44
7/13/2022 17:15,3.26,20.05,10.46
7/13/2022 17:30,3.26,20.16,10.52
7/13/2022 17:45,3.23,20.22,10.55
7/13/2022 18:00,3.24,20.29,10.59
7/13/2022 18:15,3.21,20.33,10.61
7/13/2022 18:30,3.22,20.36,10.62
7/13/2022 18:45,3.21,20.37,10.63
7/13/2022 19:00,3.22,20.38,10.64
7/13/2022 19:15,3.2,20.39,10.64
7/13/2022 19:30,3.206,20.22,10.55
7/13/2022 19:45,3.42,20.36,10.63
7/13/2022 20:00,3.25,20.4,10.65
7/13/2022 20:15,3.22,20.41,10.65
