event,HI10,HI20,HI30,HI40,HI50,HI60,HI70,HI80,HI90,HI_avg
down_event1,0.7631785952742731,0.7512912035293902,0.6062232210953274,0.35458399118582373,0.20817490041844,0.19561276215663836,0.19324718222021298,0.12397553099480096,-0.04949945632683117,0.34964310339423055
down_event10,-0.2123335492510752,-0.2855537252819934,-0.3578363708120052,-0.3849515207666896,-0.5024473137943906,-0.8269434387120526,-0.8659744431057916,-0.8445593027359621,-0.14504543893177269,-0.49173834482130363
down_event11,-0.6931127313666415,-0.6998959995225139,-0.06788430861253808,-0.07605944903722317,-0.025604531217932075,-0.04332835518091416,-0.004891953200690968,-0.08728704879680071,-0.004778854087037487,-0.18920480344692134
down_event12,-0.8184035287622246,0.03349593240691018,-0.020937679996051534,-0.3211726046977101,-0.34237788644256695,-0.3842348862366156,-0.3973464935076928,-0.37264778491240225,-0.3366868040980834,-0.3289235262496042
down_event13,-0.8777709992801253,-0.8888421158470845,-0.05284202514015396,-0.1682197967080803,-0.09277630843075474,-0.0752021416042834,0.10355911905103543,-0.08048429730745832,-0.03180714111515115,-0.2404873007091174
down_event14,-0.0017997372743018825,-0.061865865543669574,0.009797174852545859,0.023018696200932276,0.050707327542863834,0.09369590405916828,-0.2655182815253958,-0.11488334139098477,-0.08600059775972613,-0.039205413426507546
down_event15,0.853405848559768,0.8545448870196799,0.8630774121831271,0.8909610673277587,0.8699499186312228,0.8548237960801268,0.9095511156210239,0.9407929887340327,0.9714339213226583,0.8898378839421552
down_event2,-0.9502591214517904,-0.8302167203322944,-0.7676567945472675,-0.09298508950118056,-0.11185250001942115,-0.4136414992472116,-0.5690183083220421,-0.5928532887914275,-0.49863186941769144,-0.5363461324033696
down_event3,0.12153006033111013,0.18142069384308843,-0.11950463757691004,-0.08888552541353828,-0.14421090887602195,-0.5169125810085788,-0.5030143368394699,-0.397573086612232,-0.3011245918571237,-0.19647499044551955
down_event4,-0.4406489723697598,-0.39728179653573215,-0.11928544688873913,-0.08718713520752594,-0.2629546641398242,-0.34476551205055783,-0.24427359372818658,-0.19738621173422916,-0.028234031154773187,-0.23577970708992535
down_event5,0.20116469452769706,0.16821141760971722,0.45473565814147515,0.46698074159794534,0.43819468241178117,0.4715227011755378,0.22303544620529558,0.17493023816866682,0.03659604121537363,0.2928190690059433
down_event6,-0.9433872785244019,-0.6567158217284486,-0.0697662166402469,-0.11060355686233175,-0.1635034156425374,-0.14024609661414267,-0.1128489612324387,-0.09575428332449498,0.06096495403368429,-0.24798451961503978
down_event7,-0.9411143387212555,-0.9253208462198104,-0.061087049446751474,-0.175757598058778,-0.11874956008761828,-0.12791468964832015,-0.3981055938745447,-0.4073403876254597,-0.2859164862331668,-0.3823673944350784
down_event8,-0.7214501420765512,-0.724685708374768,-0.7071095356999093,-0.5979467918405015,-0.06282270720786626,-0.06999039875317642,-0.24065040254904058,-0.06013796907500468,0.03337045907042302,-0.350158132945155
down_event9,-0.8740205642418035,-0.8684650826213035,-0.8408356078686217,-0.8052545597709153,-0.05800617662380328,-0.18300228953209105,-0.2231856763200178,-0.40329778569858676,-0.2821045816601937,-0.5042413693708152
up_event1,-0.7811026808071059,-0.8309132541298994,-0.8460248049201055,-0.8661167466482533,-0.7275098669445202,-0.5854346188691419,-0.2736999158222777,-0.2825728226463111,-0.13844817421706623,-0.5924247650005201
up_event10,-0.4525898293514179,-0.4021597498165377,0.034018182348033776,0.30358217420883893,0.5107652202405215,0.6346801444286758,0.32831014158948907,-0.6712206137489252,-0.4048364274125235,-0.013272306390427245
up_event11,-0.1823810042499084,0.06222628507243001,0.12432529427020682,0.14683681930806755,0.2524905540380017,0.3262298346164316,0.3873946149289733,-0.0640847577957423,0.1689868622374297,0.13578050026954333
up_event12,0.07371848556477886,-0.02135027830255655,0.02422041160155239,0.05341534986070484,0.07514491908480087,-0.6619119201260517,-0.17791085686016106,0.027107904372389302,0.07091696162215155,-0.05962766924248794
up_event13,-0.7763310014033211,-0.819114480308839,-0.12514479151305016,-0.04062952342658885,-0.006700006598511721,0.0496543241529932,0.1917473852118846,-0.12198862389418952,-0.13435959088538474,-0.19809625651833415
up_event14,-0.7084992270990464,-0.48934640360942805,-0.4648796730786521,-0.8463500309599098,-0.871441293285123,-0.45434915636663314,-0.014828902798720553,0.009690728214907851,0.012887505719939157,-0.4252351614736296
up_event15,0.8327090968998888,0.8376154896791638,0.8425082223032582,0.8719650769260865,0.9094816626096064,0.8437675469985058,0.8202096486283782,0.7499878074282806,0.8947255417942428,0.84477445480749
up_event2,-0.9534304728628145,-0.9403988570714391,-0.13282082839641604,-0.1794608657170024,-0.21138150173029463,-0.545069783583445,-0.6749323425470839,-0.5922368974170977,-0.4242455622228528,-0.5171085679498274
up_event3,0.0853238384828892,-0.017848402901837063,-0.1178842447975895,-0.0935781851788163,-0.3089561302783039,-0.6622777418181958,-0.44191691592188365,-0.4017815887775289,-0.056062239266607694,-0.22388684560643035
up_event4,-0.9765722643344974,-0.22328507204437786,-0.3192516782162163,-0.22632062615531026,-0.5933750311919068,-0.7773423970897853,-0.7590899305691973,-0.4386203739536093,-0.0914713806506059,-0.48948097268950064
