H,rise_r2,rise_function,rise_params,rise_area,fall_r2,fall_function,fall_params,fall_area,tau_min,tau_max,n_rising,n_falling,storm,constituent
1.0822915922248515,0.2662395392606598,<function exp_func at 0x0000022BB26C6E80>,[  0.02488635 -18.75200466],0.03683218808464477,0.35772951522829577,<function exp_func at 0x0000022BB26C6E80>,[89.121469    5.93727375],0.03403166794350621,-0.33604843333331086,-0.33326350000005117,12,43,down_event1,Turbidity FNU
1.0320230643143211,0.44103718508810863,<function exp_func at 0x0000022BB26C6E80>,[  0.01369906 -11.63300738],0.0018717901426193498,0.8626515242118111,<function exp_func at 0x0000022BB26C6E80>,[2.83359421 4.39377155],0.0018137096033439644,-0.33604843333331086,-0.33326350000005117,12,43,down_event1,fDOM RFU
0.9206449186005059,0.9020280679827328,<function exp_func at 0x0000022BB26C6E80>,[7698.96700344   18.16480793],0.618541127343126,0.9310238660405525,<function exp_func at 0x0000022BB26C6E80>,[3604.32124172   15.66654924],0.6718563420557244,-0.3573789000001246,-0.3202568999999736,26,67,down_event2,Turbidity FNU
0.8511958546704415,0.9426999416777782,<function exp_func at 0x0000022BB26C6E80>,[2.10935143 3.65014338],0.02275127745902409,0.32961189821782366,<function linear_func at 0x0000022BB26C6D40>,[1.99294379 1.39526563],0.026728604626291008,-0.3573789000001246,-0.3202568999999736,26,67,down_event2,fDOM RFU
1.0063503925563868,0.10526575855819342,<function linear_func at 0x0000022BB26C6D40>,[61.51606409 35.52664927],0.37976639289254166,0.7622111919340832,<function exp_func at 0x0000022BB26C6E80>,[801.50387096  11.48548005],0.3773699455990056,-0.3693533666665644,-0.3415531666665781,22,79,down_event3,Turbidity FNU
0.9240593482956131,0.24252239845799517,<function exp_func at 0x0000022BB26C6E80>,[0.91471755 1.09794034],0.017213184035463597,0.7393299173965932,<function linear_func at 0x0000022BB26C6D40>,[2.06007556 1.40232018],0.018627790592901376,-0.3693533666665644,-0.3415531666665781,22,79,down_event3,fDOM RFU
0.9757719182966385,0.10960947959842027,<function linear_func at 0x0000022BB26C6D40>,[36.8395004  25.15360754],0.21654135310877715,0.4969598806019846,<function exp_func at 0x0000022BB26C6E80>,[93.70347509  5.3038681 ],0.2219180005577366,-0.44496886666668917,-0.42141886666672684,23,64,down_event4,Turbidity FNU
0.9677601533117356,0.012540241914374306,<function exp_func at 0x0000022BB26C6E80>,[0.85083804 0.88676144],0.013646333702431939,0.9616086719162319,<function linear_func at 0x0000022BB26C6D40>,[0.75901183 0.92756555],0.01410094604095171,-0.44496886666668917,-0.42141886666672684,23,64,down_event4,fDOM RFU
1.2029299944762344,0.048585837353567474,<function linear_func at 0x0000022BB26C6D40>,[19.37084616 18.7300567 ],0.5099729769807471,0.0029739286953927024,<function linear_func at 0x0000022BB26C6D40>,[ 4.4834885  10.31574742],0.42394235684745185,-0.4777963666666437,-0.4266463666666671,20,63,down_event5,Turbidity FNU
0.9638390261642529,0.9918206119424213,<function linear_func at 0x0000022BB26C6D40>,[1.43246428 1.22841479],0.02969890916896963,0.8960258869303549,<function linear_func at 0x0000022BB26C6D40>,[1.14682506 1.12102627],0.030813142405284263,-0.4777963666666437,-0.4266463666666671,20,63,down_event5,fDOM RFU
1.1826264907015462,0.27842033447256387,<function linear_func at 0x0000022BB26C6D40>,[11.3871083  14.04845724],0.6889180042574589,0.6446302855343482,<function exp_func at 0x0000022BB26C6E80>,[51.67342027  4.45666993],0.5825321939548179,-0.4633995000000293,-0.3885017333333204,27,68,down_event6,Turbidity FNU
0.9612902584539542,0.9086366921056785,<function linear_func at 0x0000022BB26C6D40>,[1.07108662 1.05263404],0.044669329894410366,0.9301478140954377,<function linear_func at 0x0000022BB26C6D40>,[1.06777633 1.07524033],0.04646809795644052,-0.4633995000000293,-0.3885017333333204,27,68,down_event6,fDOM RFU
1.285260694781036,0.911782876507039,<function linear_func at 0x0000022BB26C6D40>,[71.03119175 40.3783011 ],0.683594442098909,0.5204413364833637,<function exp_func at 0x0000022BB26C6E80>,[131.5277538    6.64999791],0.531872206840784,-0.41978045000006814,-0.36510446666673785,31,66,down_event7,Turbidity FNU
0.9762796712310416,0.8508558823560927,<function exp_func at 0x0000022BB26C6E80>,[1.56157332 2.28924712],0.034791507754200514,0.9558634678006801,<function exp_func at 0x0000022BB26C6E80>,[2.88757315 3.79738981],0.035636824958497904,-0.41978045000006814,-0.36510446666673785,31,66,down_event7,fDOM RFU
1.320624033796706,0.8535451986742139,<function linear_func at 0x0000022BB26C6D40>,[615.8958443  211.06254008],0.5438216968080746,0.596045552357624,<function exp_func at 0x0000022BB26C6E80>,[6.74821243e+05 3.46213829e+01],0.4117914583491439,-0.3260120972754367,-0.2974794333332587,26,79,down_event11,Turbidity FNU
0.9249243552219913,0.8000084804510794,<function linear_func at 0x0000022BB26C6D40>,[8.92055248 3.56214147],0.022289631752453486,0.9169612644721012,<function linear_func at 0x0000022BB26C6D40>,[10.86795313  4.23264474],0.024098869952563575,-0.3260120972754367,-0.2974794333332587,26,79,down_event11,fDOM RFU
1.1179332807193882,0.15213138021819095,<function exp_func at 0x0000022BB26C6E80>,[ 0.60355512 -8.79869203],0.1989279271139142,0.12395154554801324,<function exp_func at 0x0000022BB26C6E80>,[70.48749952  6.12944838],0.17794257541550637,-0.33563653333336935,-0.3169910333333519,37,54,down_event12,Turbidity FNU
0.9932889202261599,0.014399551492646934,<function exp_func at 0x0000022BB26C6E80>,[2.02156244 3.06799226],0.013852749172327176,0.8372343584373851,<function exp_func at 0x0000022BB26C6E80>,[40.82983094 12.26420222],0.01394634420081226,-0.33563653333336935,-0.3169910333333519,37,54,down_event12,fDOM RFU
0.7576187773385998,0.8754691440236794,<function linear_func at 0x0000022BB26C6D40>,[837.8491578  289.71447569],0.29229642195411326,0.5488207143894875,<function linear_func at 0x0000022BB26C6D40>,[897.40821189 313.71781521],0.38580936837509017,-0.34010233333310674,-0.3187649333334321,21,70,down_event13,Turbidity FNU
0.7832229384248894,0.8647741212840483,<function exp_func at 0x0000022BB26C6E80>,[57.97031345 13.56182024],0.01424148737024714,0.21824744770190785,<function linear_func at 0x0000022BB26C6D40>,[8.354616   3.60446584],0.018183184725012864,-0.34010233333310674,-0.3187649333334321,21,70,down_event13,fDOM RFU
0.9523573357290731,0.824090698336361,<function exp_func at 0x0000022BB26C6E80>,[1.82973042e+08 4.98005571e+01],0.15000160666004983,0.36683342972962707,<function exp_func at 0x0000022BB26C6E80>,[1.12401516e+06 3.43615101e+01],0.15750559273554263,-0.3402237333333232,-0.3270015999999638,24,65,down_event14,Turbidity FNU
0.8151615381984878,0.84418968316134,<function exp_func at 0x0000022BB26C6E80>,[291.77547196  18.22126668],0.008859131619516795,0.381633228655075,<function linear_func at 0x0000022BB26C6D40>,[13.21061911  5.22918089],0.01086794605041785,-0.3402237333333232,-0.3270015999999638,24,65,down_event14,fDOM RFU
