event,HI10,HI20,HI30,HI40,HI50,HI60,HI70,HI80,HI90,HI_avg
down_event1,-4.82419050651827,-4.150931570646332,-3.638569826536481,-2.9159943316501638,-2.219520361915787,-1.5148486295112578,-1.1066931142321987,-0.38834223451308014,0.2761130231610107,-2.275886394706951
down_event10,-0.03119973324454263,0.31371565729314443,0.7741962440938807,0.8685271257865333,0.775324919137598,0.6043991099726753,0.43154725058259397,0.29691553950104166,0.18088345895973396,0.4682566191202954
down_event11,0.28269848395333824,-0.20012255940793852,-0.25348839773800136,0.06618379251853695,0.015317975442027953,-0.24555773793024316,-0.2905237191258595,-0.19942962983555446,-0.13196499929362204,-0.10632075460192399
down_event12,-0.06293192997102745,-0.07038574936502696,-0.0717474018814755,-0.2273558910809501,-0.34295948259634274,-0.5905932315557518,-0.6776921691585165,0.11573770960308649,0.03479638806254226,-0.2103479731048291
down_event13,-0.4354257709973545,-0.6359240737064055,-0.9792844083721339,-0.9335861372221221,-0.8819629153955412,-0.8271900196962036,-0.5810240363003998,-0.3362638950204266,-0.2602770973226104,-0.6523264837814664
down_event14,-0.3646473882140002,-0.39153678416095805,-0.9498963548619956,-0.8547347234227001,-0.8360462767344455,-0.7411499115853604,-0.5917146839310149,-0.3069213586196089,-0.19024742269320433,-0.5807661004692541
down_event15,0.9234940596240098,0.8685169394350382,0.846248949387646,0.8798324326931225,0.8625079231906132,0.8531358792516872,0.8474256923307394,0.8595976742972278,0.8998848482998708,0.8711827109455506
down_event2,-0.47344863825225014,-0.7877873974868693,-0.7679499148010895,-0.8005406933566839,-0.7540407293270509,-0.7374394493501708,-0.4820460671648325,-0.411589443618599,-0.28258051763452985,-0.6108247612213418
down_event3,0.23165071855802322,0.10006687024882666,0.024583108096323414,-0.2633767239372219,-0.3473777563143769,-0.11919907657427559,-0.07623046111543547,-0.04429699110469881,-0.021136211085000578,-0.05725739146975955
down_event4,-0.6481624559857414,-0.3778411060827336,-0.17209966629271123,0.12144957384710875,0.3701403449044402,0.6043041069879858,-0.276115175060929,-0.25661364357650995,-0.17243022055200796,-0.08970758242345538
down_event5,-0.38930418181054055,-0.3791190778225373,-0.3123216415849902,-0.34264841484332514,-0.3361342614172201,-0.3552070361616819,-0.33641220961818963,-0.23482580402770992,-0.20436826611915082,-0.3211489881561495
down_event6,-0.35375334137519315,-0.1068235587943035,-0.1716599241959822,-0.14569392751319465,-0.22754662901828537,-0.24142399135433645,-0.2481702336832451,-0.21082258469636073,-0.18689600623440383,-0.21031002187392278
down_event7,0.8038949503026542,0.5531848002643672,0.3280483005953372,0.1189792723451493,-0.040305343649529035,-0.10258254973043052,-0.12676788241768933,-0.20569865189263875,-0.3839190253260253,0.10498154116568834
down_event8,0.073437898198806,0.37105061194223843,0.7308608771080358,0.7877212377825803,0.5977660938163553,0.5073819775943351,0.4135121037835888,0.3736938798363272,0.29794320646793104,0.4614853207255776
down_event9,-0.09180448780583161,0.12386166837507379,0.5972701240613143,0.7103524834948478,0.6257977014205784,0.4262411035104376,0.22739971180416158,0.12914651355219825,0.04950489001067032,0.31086330093593895
up_event1,-0.8425720304576653,-0.8579508207041884,-0.8842177524285094,-0.903479797593768,-0.7451022229850186,-0.5731844054159918,-0.40243600312446437,-0.011168648141104631,0.06537114977800884,-0.5727489478969668
up_event10,0.351428925557799,0.7753672751639025,0.0549206237905268,0.39380082715590536,0.03676218260775625,0.20973319004263913,0.09413086382684997,-0.0023792650798506038,0.8817639310227402,0.3106142837875854
up_event11,0.10809898372582574,0.0686714521098708,-0.23502657113858869,0.27505850566540524,0.3314728447872244,-0.4088854576559966,-0.41936858327477167,0.19806216427685264,0.12413850038485952,0.004691315431186813
up_event12,0.024840153385892752,0.03164376628608065,0.6085709454683086,-0.06515883175522058,-0.08347607801064741,-0.10192967746875953,-0.2230248225374163,0.664468886050007,0.19166120356741706,0.11639950499840691
up_event13,-0.3046998484884302,-0.5976298105409532,-0.8341062689115855,-0.7171918825766518,-0.7790832827991474,-0.7835176252691808,-0.3888188962507908,-0.3571155675292309,-0.22462009457129062,-0.5540870307708068
up_event14,-0.9557440976326794,-0.9136781006779091,-0.08691505287905608,-0.0970340710609357,-0.09533475451656524,-0.08712710024972098,-0.0505144368350407,-0.043168299397580386,-0.024313241389483715,-0.2615365727376635
up_event15,0.885726156482731,0.9411789418326058,0.8202121567315073,0.8596906133280854,0.7022921175003363,0.7620459530456907,0.7162045016855285,0.5582786825615167,0.15864212467050354,0.7115856942042783
up_event2,-0.08052270395150252,-0.7718213096767154,-0.884802682272448,-0.9366323138024711,-0.9138609009790274,-0.8598424731701991,-0.5125864993757218,-0.4073597742417196,-0.14304627440018702,-0.6122749924299992
up_event3,1.3907295321149058,0.6619647531261708,0.033685940141498394,-0.6658290663426002,-0.7060691737056983,-0.22769700785624586,-0.16897502933543512,-0.11839221346994089,-0.059890786199539414,0.01550299427479056
up_event4,-0.3470629321730212,-0.4247550109699947,-0.5550218920375545,-0.6464941898301194,-0.6963822620755181,-0.8087872983455209,-0.8018730127510567,-0.5594178201150652,-0.35941093439055694,-0.5776894836320453
up_event5,-0.3038806081444522,-0.2620002386134219,-0.2920674037521406,-0.28128422891291943,-0.3183105932909333,-0.3217598862965092,-0.32707228044100123,-0.27130348791717307,-0.3114566659727238,-0.29879282148236386
up_event6,-0.3847262351405396,0.01650790133974364,-0.03645636649375153,-0.09787501748155691,-0.19308723274743822,-0.29636926260180246,-0.4175150368905318,-0.4677816694989617,-0.4194259656981657,-0.2551920983570005
up_event7,0.6473761645120532,-0.14000488263514743,-0.7689170096099883,-0.09189542795819539,0.033325149612727575,-0.07297116900610262,-0.007667465151569158,0.026999350892272622,0.030256209189068156,-0.038166564461653486
up_event8,0.379016118356409,-0.4200836064472887,0.18410903663528166,0.2553744328461529,0.03352842615310547,0.3197682199842721,0.35636920585405585,0.16444116304085055,-0.10410781047655338,0.12982390954958728
up_event9,0.3128435999885826,0.18009553501534836,0.4776129374226716,0.09671229870159172,0.042677740041573445,0.4360021923674327,0.5277896411339005,0.47413067799914305,0.07743649937556572,0.2917001246717567
