event,HI10,HI20,HI30,HI40,HI50,HI60,HI70,HI80,HI90,HI_avg
down_event1,-3.343924703341994,-2.7854951349883685,-2.089354842263586,-1.6892892225607636,-1.3351600607699832,-0.8895017031937026,-0.7087391170734573,-0.2543408374240945,0.3384656191611075,-1.4174822224949828
down_event10,0.14731276736391125,0.6230061668149384,0.6652674399634169,0.2791699156400866,0.16604854364624372,0.12232041891023264,0.07685509088015884,0.04513327516726648,0.019414621426503728,0.23828091553475098
down_event11,0.8512267404151697,-0.04129024037717671,0.11900013335023857,0.31028366892496956,0.4567678370201488,0.4062794074986115,-0.15718119914912965,-0.18290668661036313,-0.15315535292485083,0.17878047868306862
down_event12,-0.1125102148033354,-0.024821323886433072,0.029638166622729195,0.14819308362189004,0.13710045259682602,0.0473650301196169,-0.05707632878360058,-0.13668502092889934,-0.09514816426987893,-0.007104924412342796
down_event13,-0.10882924025712237,-0.22571334982320126,-0.6561875424071385,-0.5720723714620619,-0.5584396146752606,-0.6117497382601186,-0.3744786924943221,-0.22068294471575678,-0.14957855289698674,-0.3864146718879965
down_event14,0.12404588200657407,0.10650687827017474,-0.3556269173608664,-0.47025420656019834,-0.488688529249638,-0.4102564100482344,-0.3013639132285322,-0.29085714097762005,-0.2265005081749164,-0.2569994294803619
down_event15,0.8505381960910416,0.7130399418470599,0.8733725327689779,0.9002737596498472,0.699225172041299,0.6228826106661421,0.5788863286697747,0.5705691887700719,0.7941962258081213,0.7336648840347039
down_event2,-0.17652811989969927,-0.12071172495256347,-0.007067286332117562,0.02995047295422354,-0.29228812312803926,-0.2162695838773584,-0.22855507677688536,-0.14859990787914346,0.005702671127683523,-0.12826296430709996
down_event3,0.04397241203661917,0.15746255949067478,0.18114291724935427,-0.04141050052463702,0.024286049152060007,-0.01674289302403531,-0.09129297164809447,-0.09272362502045417,-0.04492983582880694,0.013307123542520036
down_event4,-0.038523488910961357,0.0744434652049123,-0.03464089392076852,0.035056926934022986,0.049195609196236834,0.19929255387812236,0.03266503446684865,0.1324136467171716,-0.021196875653944236,0.04763399754573785
down_event5,0.011494167992434218,-0.22262538136202414,0.25499147927232324,0.7868569381126465,0.8127658866727319,0.7877912695799159,0.41561577485058554,0.25468728100749594,0.18951156160645774,0.36567655308139624
down_event6,0.836659502100833,0.7393572960963314,0.648027906711317,0.5003676164173091,0.798641493954005,0.20364486305933616,0.20050177579463524,0.03218917039499847,0.30428058191704466,0.47374113404953444
down_event7,1.5617872552326657,1.0647611788200764,0.6195971519610652,0.21769085521660114,0.20331992546945699,0.458022715507773,0.46864032612932094,0.5756823892910097,0.5945307663943189,0.640448062669143
down_event8,0.19707266994459177,0.8763475366639714,0.3827814906529044,0.2885268307108266,0.08085308757145683,-0.003892135161979657,0.04701849341981808,-0.013462246499620509,-0.07097966121700627,0.1982517851205514
down_event9,-0.21289384135448014,0.2620382192805203,0.09912423445487129,-0.0061364034658368816,-0.07594946629003696,-0.05726560224598276,-0.19609624015338736,-0.2083868282023656,-0.24233292527368722,-0.07087765036115393
up_event1,-0.43448708490841137,-0.41730160577986136,-0.49804997881627,-0.46886975339262804,-0.414773306748799,-0.228757690284682,-0.08802071646406218,0.0726394282045234,0.2425603194894249,-0.24834004318897396
up_event10,0.14355781330164577,0.7512518384089614,0.6547761451205381,0.2918887203250745,0.268456055226332,0.05648568346004035,0.05389987706382354,-0.047988036789206684,-0.06383594157429237,0.23427690606032409
up_event11,0.5838055439788244,0.1083557819506284,0.2648773878790022,0.7655893782109837,0.7649534342891415,0.13907129875024293,0.28216332607403416,0.27894378789594676,0.14395996544451894,0.37019110049703585
up_event12,-0.20118915526573353,-0.09125223791360115,0.5995951054739901,0.05966103390768032,-0.03706300649171074,0.015235970917451935,-0.000942566826367397,-0.2077696609544667,-0.07414286984050344,0.006903623667415482
up_event13,-0.0459751274593191,-0.11187654163707425,-0.40581647995110737,-0.7328287146665633,-0.7323674943678125,-0.6490724181805048,-0.3349531438316379,-0.28168441015661383,-0.11797453752088449,-0.37917209641905747
up_event14,0.11742906391511546,0.12109348574839468,-0.6068809282370232,-0.5165469036211663,-0.4727354139022422,-0.44862765486805123,-0.44145143198871406,-0.34926811379586076,-0.17883497331946496,-0.30842476334100133
up_event15,0.7032912485663924,0.6208726069289543,0.5290961527199962,0.4995671626786838,0.591669980567354,0.5433401102974769,0.5951790051406766,0.28849647648725574,0.08841819966745612,0.49554788256158283
up_event2,0.9256939377202025,0.22782025133921455,-0.1349928892844886,-0.11212791203207267,-0.012863673989644053,0.12267216950580329,0.033284653420401655,0.03485418863749218,0.18796794135658257,0.14136762963038793
up_event3,1.6936807026314842,1.1056306151991364,0.5583877424383553,-0.09855796430940833,0.02317371040495006,-0.24810463651501613,-0.14572979409498044,-0.03428782326520474,-0.007896778858351494,0.3162550859589961
up_event4,0.18889685632401007,0.24688705901619634,0.15013511134104535,0.15986689041878027,0.12760046133324504,0.09824964008017825,0.18180586303919688,0.5385761722433571,-0.1232581737111994,0.17430665334275666
up_event5,0.11420571940553598,0.18840193193247062,0.34640166316524534,0.6480981731853939,0.7228832505437963,0.6205955407661548,0.3131173345042809,0.18027771716502372,-0.11070891899780633,0.3359191568522328
