Sample ID,SS,POC,DOC,PP,SRP,DateTime,Turbidity ,fDOM,Lab ID
storm-1,562.325833,51.659922,9.179000,0.036945715,0.062,7/23/2021 15:50,92.530400,25.148400,VC-BER-20
storm-1,528.034839,50.228119,12.625000,0.050585795,0.088,7/23/2021 16:09,197.947760,25.114000,VC-BER-21
storm-1,143.169047,14.502380,13.388000,0.02386661,0.088,7/23/2021 16:40,78.192980,37.844600,VC-BER-31
storm-1,82.761405,11.681075,12.997000,0.015604215,0.083,7/23/2021 16:55,74.057744,40.254800,VC-BER-22
storm-1,36.920032,6.410793,12.868000,0.00296127,0.053,7/23/2021 19:19,20.570200,52.587200,VC-BER-23
storm-1,22.011886,4.804903,11.551000,0.002196021,0.047,7/23/2021 21:02,16.971200,54.248400,VC-BER-24
storm-2,57.726094,6.784352,4.913000,0.014822795,0.0149059,8/3/2022 15:02,16.795600,17.312800,95
storm-2,48.064761,5.715476,6.550000,0.012251003,0.0715306,8/3/2022 15:17,19.789200,24.932000,96
storm-2,55.003694,5.190304,8.035000,0.004278594,0.0543716,8/3/2022 15:47,10.362800,33.908400,97
storm-2,45.164039,5.458812,8.691000,,,8/3/2022 16:17,13.152400,36.403200,98
storm-2,17.425940,2.088218,8.124000,,,8/3/2022 18:02,9.594133,37.711067,99
storm-2,11.446325,3.149352,8.073000,0.002460946,0.0286331,8/3/2022 18:17,9.120533,37.138933,100
storm-2,6.530612,2.160152,3.128000,,,8/3/2022 19:02,7.762000,35.128933,101
storm-3,8.479607,1.524491,3.359000,,,8/8/2022 13:43,5.611867,18.759200,102
storm-3,10.743802,1.708333,3.424000,0.002985094,0.0114741,8/8/2022 13:58,7.434800,20.030533,103
storm-3,19.837990,3.058769,3.900000,,,8/8/2022 14:13,9.414800,21.281867,104
storm-3,49.091802,5.365092,5.279000,0.005255368,0.0269172,8/8/2022 14:28,15.552400,26.152000,105
storm-3,35.385122,5.121772,7.207000,,,8/8/2022 14:43,20.757200,31.234400,106
storm-3,23.681202,2.266625,7.750000,0.009113164,0.0509398,8/8/2022 15:23,14.532800,35.320000,107
storm-3,9.888752,1.972202,8.410000,0.003318902,0.0389285,8/8/2022 16:13,9.288000,37.662800,108
storm-3,7.950000,1.539230,2.705000,,,8/8/2022 16:43,8.148533,38.017733,110
storm-3,4.080633,1.518672,8.421000,,,8/8/2022 16:58,7.599867,38.203333,111
storm-3,1.645549,1.611455,8.183000,,,8/8/2022 17:28,6.785333,38.651333,112
storm-3,0.844737,1.740515,2.742000,,,8/8/2022 17:58,6.184133,39.066800,113
storm-3,5.719422,1.492689,8.085000,0.001875785,0.030349,8/8/2022 18:13,5.973200,39.000400,114
storm-4,187.000000,29.943163,2.763000,,0.0189,7/29/2023 14:52,28.362800,6.996800,439
storm-4,110.000000,9.572804,3.128000,,0.0695,7/29/2023 15:07,35.573200,7.100800,440
storm-4,53.333333,6.933604,3.553000,,0.0411,7/29/2023 15:22,34.972000,7.936000,441
