Sample ID,SS,POC,DOC,PP,SRP,DateTime,Turbidity ,fDOM,Lab ID
storm-4,80.000000,7.483181,3.926000,,0.0757,7/29/2023 15:37,32.542400,8.770000,442
storm-4,43.333333,5.926426,4.158000,,0.0663,7/29/2023 15:52,26.484800,9.654400,443
storm-4,92.222222,8.284572,4.571000,,0.0365,7/29/2023 16:07,20.574000,10.407600,444
storm-4,52.222222,10.349461,5.150000,,0.0212,7/29/2023 16:22,17.004000,10.906000,445
storm-5,76.153846,7.777775,4.473000,,0.0683,8/13/2023 18:45,13.716000,7.442000,456
storm-5,41.200000,4.534712,3.936000,,0.0961,8/13/2023 18:58,16.154400,9.561600,457
storm-5,39.600000,5.889272,3.943000,,0.0968,8/13/2023 19:02,14.494400,9.641600,458
storm-5,27.600000,4.803540,4.039000,,0.0906,8/13/2023 19:10,11.944000,9.690000,459
storm-5,20.833333,2.920724,2.786000,,0.0392,8/13/2023 21:02,7.864267,7.759200,460
storm-6,77.894737,12.669565,3.104000,,0.0587,8/28/2023 12:20,24.830000,6.556000,476
storm-6,43.000000,6.271314,3.305000,,0.1214,8/28/2023 12:35,24.844000,8.574000,477
storm-6,36.000000,5.672743,3.336000,,0.0237,8/28/2023 12:50,16.478000,9.472000,478
storm-6,28.837209,4.649138,3.199000,,0.0977,8/28/2023 13:05,13.218000,9.494000,479
storm-6,29.545455,5.423835,3.226000,,0.1773,8/28/2023 13:20,11.844000,9.210000,480
storm-6,26.842105,4.495746,3.206000,,,8/28/2023 14:05,11.214000,8.930000,481
storm-6,24.000000,,3.262000,,0.069,8/28/2023 14:35,11.264000,8.786000,482
storm-6,23.571429,,4.278000,,,8/28/2023 15:20,8.816667,9.347333,483
spring,12.380952,,3.729000,,,4/15/2023 12:30,6.369539,,195
spring,9.473684,,3.573000,,,4/15/2023 16:30,6.368628,,196
spring,5.000000,,3.241000,,,4/15/2023 20:30,6.367717,,197
spring,4.000000,,3.202000,,,4/16/2023 0:30,6.366805,,198
spring,10.476190,,3.234000,,,4/16/2023 12:30,6.364071,,199
spring,9.333333,,3.293000,,,4/16/2023 16:30,6.363160,,200
spring,9.655172,,3.179000,,,4/17/2023 0:30,6.361338,,201
spring,4.000000,,3.111000,,,4/17/2023 4:30,6.360426,,202
spring,1.500000,,3.026000,,,4/17/2023 8:30,6.359515,,203
spring,5.500000,,3.091000,,,4/17/2023 12:30,5.282490,,204
spring,23.157895,,3.206000,,,4/17/2023 16:30,,0.607690,205
spring,15.000000,,3.663000,,,4/17/2023 20:30,,0.675268,206
spring,8.947368,1.394511,3.806000,,,4/18/2023 0:30,12.815806,0.662713,222
spring,9.500000,,3.391000,,,4/18/2023 4:30,12.045712,0.634744,207
spring,4.285714,,3.312000,,,4/18/2023 8:30,10.672197,0.620334,223
spring,,,3.353000,,,4/18/2023 12:30,12.451086,0.578703,224
spring,23.000000,,3.514000,,,4/18/2023 16:30,21.162759,0.642800,225
spring,15.000000,,3.654000,,,4/18/2023 21:30,14.580477,0.751552,226
spring,9.090909,,3.576000,,,4/19/2023 2:30,12.421141,0.683981,227
spring,7.500000,,3.389000,,,4/19/2023 7:30,10.916757,0.636281,228
spring,4.375000,,3.226000,,,4/19/2023 12:30,12.414953,0.604101,229
spring,,,3.552000,,,4/20/2023 16:00,10.387337,0.593833,230
spring,5.625000,,3.323000,,,4/20/2023 18:30,9.410400,0.616544,231
spring,6.666667,,3.316000,,,4/20/2023 23:30,8.663927,0.595353,232
spring,,,3.207000,,,4/21/2023 4:30,8.174566,0.578853,233
spring,,,3.153000,,,4/21/2023 9:30,8.898611,0.562708,234
spring,,,3.287000,,,4/21/2023 14:30,8.951104,0.554562,235
spring,10.344828,,3.244000,,,4/23/2023 16:00,9.317180,0.606707,254
spring,5.333333,,3.338000,,,4/23/2023 21:00,9.240195,0.643451,255
spring,6.428571,,3.201000,,,4/24/2023 2:00,6.627182,0.613615,256
spring,6.428571,,3.056000,,,4/24/2023 7:00,6.834032,0.594741,257
spring,14.193548,,3.091000,,,4/24/2023 12:00,8.155051,0.544443,258
spring,14.736842,,3.260000,,,4/24/2023 17:00,13.708842,0.677458,259
spring,18.947368,,3.370000,,,4/24/2023 22:00,10.142847,0.698793,260
spring,26.086957,,3.246000,,,4/25/2023 3:00,8.948877,0.637106,261
spring,7.272727,,2.949000,,,4/25/2023 8:00,8.648464,0.616714,262
spring,,,3.094000,,,4/25/2023 13:00,9.118732,0.598046,263
spring,5.333333,,3.320000,,,4/25/2023 18:00,8.128906,0.617841,264
spring,5.000000,,2.996000,,,4/25/2023 23:00,7.230941,0.600231,265
spring,,,2.853000,,,4/26/2023 4:00,6.180080,0.580279,266
spring,22.012579,,3.249000,,,4/26/2023 14:00,7.197257,0.555746,267
spring,12.142857,,3.154000,,,4/26/2023 19:00,7.636087,0.590348,268
spring,10.666667,,3.069000,,,4/27/2023 0:00,6.683557,0.577544,292
spring,5.294118,,2.812000,,,4/27/2023 5:00,6.035649,0.560594,293
spring,4.117647,,2.774000,,,4/27/2023 10:00,7.285126,0.542823,294
spring,8.125000,,3.051000,,,4/27/2023 15:00,8.664896,0.577024,295
spring,6.875000,,3.271000,,,4/27/2023 20:00,10.076955,0.696831,296
spring,4.827586,,3.299000,,,4/28/2023 1:00,7.538833,0.649057,297
spring,2.352941,,2.856000,,,4/28/2023 6:00,8.145358,0.618638,298
spring,5.333333,,2.743000,,,4/28/2023 11:00,7.411510,0.556645,299
spring,5.294118,,2.789000,,,4/28/2023 16:00,6.834539,0.596447,300
spring,3.225806,,2.809000,,,4/28/2023 21:00,7.944527,0.611814,301
spring,0.000000,,2.699000,,,4/29/2023 2:00,7.429051,0.592540,315
spring,3.333333,,2.824000,,,4/29/2023 7:00,5.258756,0.577374,316
spring,5.333333,,2.643000,,,4/29/2023 12:00,6.466690,0.534146,317
spring,12.666667,,2.951000,,,4/29/2023 17:00,14.551989,0.663484,318
spring,10.666667,,3.131000,,,4/29/2023 22:00,8.885314,0.832924,319
spring,7.857143,,2.833000,,,4/30/2023 3:00,11.209642,0.716472,320
spring,8.666667,,2.751000,,,4/30/2023 8:00,10.423064,0.643741,321
spring,9.375000,,2.889000,,,4/30/2023 13:00,8.359760,0.601781,322
spring,42.000000,,3.776000,,,4/30/2023 18:00,43.856736,0.913216,323
spring,17.419355,,3.447000,,,4/30/2023 23:00,16.958527,0.985834,324
spring,6.666667,,3.163000,,,5/1/2023 4:00,12.384886,0.828084,325
spring,2.500000,,2.959000,,,5/1/2023 9:00,11.245606,0.703188,326
spring,6.000000,,3.148000,,,5/1/2023 14:00,13.655056,0.674871,327
spring,22.142857,2.289790,3.541000,,,5/1/2023 20:00,22.052924,0.971170,343
spring,10.000000,,3.076000,,,5/2/2023 3:00,12.440961,0.820633,344
spring,6.428571,,2.856000,,,5/2/2023 10:00,9.043076,0.664615,345
spring,18.000000,,2.921000,,,5/2/2023 17:00,11.007817,0.723708,346
spring,9.333333,,3.061000,,,5/3/2023 0:00,9.777227,0.771404,347
spring,5.714286,,2.823000,,,5/3/2023 7:00,8.037864,0.651678,348
spring,2.857143,,2.923000,,,5/3/2023 14:00,10.118039,0.624279,349
spring,20.666667,3.154635,3.511000,,,5/3/2023 20:00,20.030690,0.934343,350
spring,11.875000,2.231154,3.146000,,,5/4/2023 2:00,10.664317,0.817947,351
spring,2.857143,,2.888000,,,5/4/2023 8:00,9.087949,0.692042,352
spring,4.666667,,2.933000,,,5/4/2023 2:00,10.664317,0.817947,353
spring,8.750000,,3.182000,,,5/4/2023 17:00,15.258962,0.785179,354
spring,9.333333,,3.272000,,,5/4/2023 23:00,9.965131,0.804511,355
spring,7.142857,,3.042000,,,5/5/2023 2:00,8.485985,0.721396,356
experiment-1,3.455326,1.101906,2.127000,5.15766E-05,0.023,17:26:00,,,VC-BER-32
experiment-1,19.697185,0.743675,1.386000,0.00029041,0.022,17:29:02,,,VC-BER-33
experiment-1,52.651577,8.508965,1.582000,0.000661063,0.024,17:32:05,,,VC-BER-34
experiment-1,89.933969,10.416462,1.643000,0.002222417,0.022,17:35:07,,,VC-BER-35
experiment-1,73.619940,9.736100,1.539000,0.002055208,0.019,17:38:10,,,VC-BER-36
experiment-1,240.091693,38.658748,1.502000,0.002392725,0.018,17:41:12,,,VC-BER-37
experiment-1,73.574494,6.344790,1.460000,0.00025383,0.019,17:44:14,,,VC-BER-38
experiment-1,20.816385,1.979506,1.437000,0.000384204,0.019,17:47:17,,,VC-BER-39
experiment-1,17.667101,3.219264,1.656000,4.68879E-05,0.019,17:50:19,,,VC-BER-40
experiment-1,15.963635,3.005178,1.737000,0.000127791,0.021,17:53:22,,,VC-BER-41
experiment-1,7.066860,1.562644,1.459000,4.4475E-06,0.022,17:56:24,,,VC-BER-42
experiment-1,12.436952,2.876582,1.638000,4.68879E-05,0.019,17:59:26,,,VC-BER-43
experiment-1,8.095527,2.212615,1.705000,0.000149862,0.02,18:02:29,,,VC-BER-44
experiment-1,10.855406,2.567532,1.707000,5.15766E-05,0.02,18:05:31,,,VC-BER-45
experiment-1,6.088545,2.231241,1.681000,0.000489818,0.022,18:08:34,,,VC-BER-46
experiment-1,11.464182,2.782556,1.262000,4.91206E-05,0.021,18:11:36,,,VC-BER-47
experiment-2,167.044168,10.974524,2.640000,0.010,0.025,11:57:09,,,1
experiment-2,145.078620,12.330497,2.384000,0.022,0.017,11:57:21,,,2
experiment-2,76.137885,,2.284000,0.010,0.021,11:57:32,,,3
experiment-2,47.967685,4.967149,2.423000,0.010,0.030,11:57:42,,,4
experiment-2,67.326074,8.890354,2.488000,0.006,0.026,11:57:53,,,5
experiment-2,61.268422,,2.473000,0.005,0.028,11:58:04,,,6
experiment-2,40.782355,,2.314000,0.003,0.028,11:58:14,,,7
experiment-2,43.350237,,2.402000,0.003,0.030,11:58:25,,,8
experiment-2,37.341299,,2.278000,0.003,0.025,11:58:34,,,9
experiment-2,22.213081,,2.273000,0.004,0.028,11:58:44,,,10
experiment-2,20.673117,,2.301000,0.003,0.026,11:58:54,,,11
experiment-2,12.548101,3.241598,2.313000,0.003,0.019,11:59:04,,,12
experiment-2,10.726958,,2.308000,0.003,0.021,11:59:13,,,13
experiment-2,6.584362,,2.214000,0.002,0.023,11:59:24,,,14
experiment-3,22.819886,3.327890,2.718000,,,1:53:39,,,15
experiment-3,66.633761,6.662851,2.682000,,,1:53:50,,,16
experiment-3,162.541861,12.041211,2.644000,,,1:54:00,,,17
experiment-3,89.561961,,2.752000,,,1:54:10,,,18
experiment-3,87.538195,8.058197,2.808000,,,1:54:20,,,19
experiment-3,67.359667,,3.009000,,,1:54:30,,,20
experiment-3,61.637081,,2.784000,,,1:54:40,,,21
experiment-3,37.633969,5.056547,2.756000,,,1:54:50,,,22
experiment-3,49.685326,3.736428,2.804000,,,1:55:00,,,23
experiment-3,30.500371,,2.804000,,,1:55:10,,,24
experiment-3,27.990450,,2.864000,,,1:55:20,,,25
experiment-3,16.572754,2.771444,2.760000,,,1:55:30,,,26
experiment-3,18.368540,,2.769000,,,1:55:40,,,27
experiment-3,6.458384,,2.741000,,,1:55:50,,,28
experiment-3,11.361792,,2.752000,,,1:56:00,,,29
experiment-3,11.501807,,2.739000,,,1:56:10,,,30
experiment-4,52.169593,4.595229,2.898000,,,2:30:50,,,31
experiment-4,174.676139,10.930144,2.716000,,,2:31:00,,,32
experiment-4,78.177539,,2.701000,,,2:31:10,,,33
experiment-4,74.758733,8.978997,2.781000,,,2:31:20,,,34
experiment-4,52.974735,,2.831000,,,2:31:30,,,35
experiment-4,40.183697,,2.763000,,,2:31:40,,,36
experiment-4,43.398431,4.599425,2.814000,,,2:31:50,,,37
experiment-4,77.334430,,2.747000,,,2:32:00,,,38
experiment-4,58.595362,,2.741000,,,2:32:10,,,39
experiment-4,23.829088,,2.775000,,,2:32:20,,,40
experiment-4,26.223060,,2.733000,,,2:32:30,,,41
experiment-4,17.731994,3.258425,2.756000,,,2:32:40,,,42
experiment-4,18.922254,,2.785000,,,2:32:50,,,43
experiment-5,70.553889,8.357296,2.183000,,,10:33:16,,,44
experiment-5,287.828947,24.660151,2.118000,,,10:35:46,,,45
experiment-5,200.049805,16.604665,2.073000,,,10:35:51,,,46
experiment-5,112.460272,10.359494,2.029000,,,10:35:56,,,47
experiment-5,111.466273,,2.078000,,,10:36:01,,,48
experiment-5,79.809116,9.283897,2.164000,,,10:36:07,,,49
experiment-5,80.492813,,2.172000,,,10:36:15,,,50
experiment-5,69.473162,,2.303000,,,10:36:25,,,51
experiment-5,54.027505,,2.289000,,,10:36:36,,,52
experiment-5,44.106837,5.254678,2.189000,,,10:36:47,,,53
experiment-5,33.532346,,2.283000,,,10:36:57,,,54
experiment-5,23.144321,,2.202000,,,10:37:07,,,55
experiment-6,62.139769,5.316127,2.631000,0.008,0.023,11:14:20,,,56
experiment-6,243.346627,20.726108,2.581000,0.023,0.019,11:18:35,,,57
experiment-6,134.529148,,2.563000,0.019,0.023,11:18:40,,,58
experiment-6,135.402906,11.667976,2.662000,0.012,0.023,11:18:45,,,59
experiment-6,99.901736,,2.696000,0.010,0.021,11:18:50,,,60
experiment-6,98.606471,6.675792,2.699000,0.012,0.021,11:19:00,,,61
experiment-6,93.938899,,2.742000,0.012,0.017,11:19:10,,,62
experiment-6,56.216392,,2.761000,0.009,0.025,11:19:20,,,63
experiment-6,56.813503,,2.821000,0.006,0.025,11:19:30,,,64
experiment-6,48.527718,5.630910,2.783000,0.005,0.026,11:19:40,,,65
experiment-6,41.608877,,2.756000,0.004,0.021,11:19:50,,,66
experiment-6,27.029241,,2.883000,0.003,0.023,11:20:00,,,67
experiment-6,22.118457,,2.840000,0.003,0.025,11:20:10,,,68
experiment-7,25.420254,3.646940,2.936000,,,1:58:58,,,69
experiment-7,9.005321,,3.029000,,,2:00:55,,,70
experiment-7,7.486898,2.383417,2.923000,,,2:00:58,,,71
experiment-7,4.954992,,2.976000,,,2:01:01,,,72
experiment-7,7.300454,2.175664,3.641000,,,2:01:04,,,73
experiment-7,31.924725,,3.054000,,,2:01:07,,,74
experiment-7,41.421589,,3.038000,,,2:01:10,,,75
experiment-7,44.890630,4.777753,3.579000,,,2:01:13,,,76
experiment-7,33.184005,,3.151000,,,2:01:16,,,77
experiment-7,25.368249,4.932224,3.006000,,,2:01:19,,,78
experiment-7,6.545574,,3.551000,,,2:01:22,,,79
experiment-8,46.454768,5.515498,3.034000,,,11:15:17,,,85
experiment-8,42.016807,,3.054000,,,11:15:20,,,86
experiment-8,43.243243,3.927532,2.473000,,,11:15:23,,,87
experiment-8,144.489796,,2.616000,,,11:15:26,,,88
experiment-8,240.019795,15.122710,3.135000,,,11:15:29,,,89
experiment-8,191.192091,,2.936000,,,11:15:32,,,90
experiment-8,164.108426,17.196571,2.933000,,,11:15:35,,,91
experiment-8,119.197515,9.506040,2.634000,,,11:15:38,,,92
experiment-8,96.298777,6.367517,2.970000,,,11:15:44,,,93
experiment-8,96.842105,,2.497000,,,11:15:47,,,94
