Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average,P123_h_average
2021-08-12 00:00:00,-0.5434840000002623,-0.7116249999999127,-0.6275545000000875,-0.660722000000078,-0.3558419999999387,-0.5082820000000083,-0.9916229999998905,-0.37139699999988807,-0.6815099999998893,-0.6057821666666617
2021-08-12 00:15:00,-0.5440629999998237,-0.7109009999999216,-0.6274819999998726,-0.6607209999997394,-0.3562739999997575,-0.5084974999997485,-0.9922029999997903,-0.3735670000000937,-0.682884999999942,-0.6062881666665211
2021-08-12 00:30:00,-0.5481540000000678,-0.7150050000000192,-0.6315795000000435,-0.6575830000001588,-0.35808799999995244,-0.5078355000000556,-0.9815129999997225,-0.3711199999997916,-0.6763164999997571,-0.6052438333332854
2021-08-12 00:45:00,-0.5439309999997022,-0.7107949999999619,-0.627362999999832,-0.6620590000002267,-0.3556040000003122,-0.5088315000002694,-0.9952870000001894,-0.37328600000000733,-0.6842865000000984,-0.6068270000000666
2021-08-12 01:00:00,-0.5478939999998147,-0.7119699999998375,-0.6299319999998261,-0.6578979999999319,-0.3555999999998676,-0.5067489999998998,-0.9876580000000104,-0.3744449999999233,-0.6810514999999668,-0.6059108333332309
2021-08-12 01:15:00,-0.5475040000001172,-0.7148979999997209,-0.6312009999999191,-0.6595339999998941,-0.3550789999999324,-0.5073064999999133,-0.9887029999999868,-0.3696820000000116,-0.6791924999999992,-0.6058999999999438
2021-08-12 01:30:00,-0.5453629999997247,-0.7127849999997125,-0.6290739999997186,-0.660001000000193,-0.3552629999999226,-0.5076320000000578,-0.9938170000000355,-0.37430700000004435,-0.6840620000000399,-0.6069226666666054
2021-08-12 01:45:00,-0.5436119999999391,-0.7083370000000286,-0.6259744999999839,-0.661750000000211,-0.35662100000035934,-0.5091855000002852,-0.9920680000000175,-0.3737029999997503,-0.6828854999998839,-0.6060151666667176
2021-08-12 02:00:00,-0.5467340000000149,-0.7132679999999709,-0.6300009999999929,-0.6578979999999319,-0.356333000000177,-0.5071155000000545,-0.986500999999862,-0.3728679999999258,-0.6796844999998939,-0.6056003333333138
2021-08-12 02:15:00,-0.5467330000001311,-0.7131480000002739,-0.6299405000002025,-0.6578990000002705,-0.35506800000030125,-0.5064835000002859,-0.9865030000000843,-0.3708409999999276,-0.6786720000000059,-0.6050320000001648
2021-08-12 02:30:00,-0.5447250000001986,-0.7119660000003023,-0.6283455000002505,-0.6576180000001841,-0.3567649999999958,-0.50719150000009,-0.9873729999999341,-0.374456999999893,-0.6809149999999136,-0.6054840000000846
2021-08-12 02:45:00,-0.5482240000001184,-0.7137149999998655,-0.630969499999992,-0.6593699999998535,-0.3567649999999958,-0.5080674999999246,-0.9891260000003967,-0.37445700000034776,-0.6817915000003723,-0.6069428333334296
2021-08-12 03:00:00,-0.5460830000001806,-0.7119649999999638,-0.6290240000000722,-0.6615860000001703,-0.3567649999999958,-0.509175500000083,-0.9930799999997362,-0.374456999999893,-0.6837684999998146,-0.6073226666666566
2021-08-12 03:15:00,-0.5464739999997619,-0.714317999999821,-0.6303959999997915,-0.6593709999997373,-0.3562389999997322,-0.5078049999997347,-0.9891280000001643,-0.372012000000268,-0.6805700000002162,-0.6062569999999141
2021-08-12 03:30:00,-0.5462130000000798,-0.7140829999998459,-0.6301479999999628,-0.6643529999996645,-0.3600749999995969,-0.5122139999996307,-0.9900230000002921,-0.3709800000001451,-0.6805015000002186,-0.607621166666604
2021-08-12 03:45:00,-0.5464739999997619,-0.7099809999999707,-0.6282274999998663,-0.6611210000000938,-0.35710100000005696,-0.5091110000000754,-0.98795999999993,-0.37225500000022294,-0.6801075000000765,-0.6058153333333394
2021-08-12 04:15:00,-0.5447239999998601,-0.7119659999998476,-0.6283449999998538,-0.6564530000000559,-0.3555949999999939,-0.5060240000000249,-0.9862120000002506,-0.37328700000034587,-0.6797495000002982,-0.6047061666667256
2021-08-12 04:30:00,-0.5463439999998627,-0.7124399999997877,-0.6293919999998252,-0.6612789999999222,-0.3572549999998955,-0.5092669999999089,-0.9898650000000089,-0.3724280000001272,-0.681146500000068,-0.6066018333332673
2021-08-12 05:00:00,-0.5482240000001184,-0.7117300000004434,-0.6299770000002809,-0.6611250000000837,-0.35710100000005696,-0.5091130000000703,-0.9891350000002603,-0.3734239999998863,-0.6812795000000733,-0.6067898333334748
2021-08-12 05:15:00,-0.546212000000196,-0.7106900000003407,-0.6284510000002683,-0.6596890000000712,-0.35316499999998996,-0.5064270000000306,-0.9917820000000575,-0.3712580000001253,-0.6815200000000914,-0.6054660000001301
2021-08-12 05:30:00,-0.5464729999998781,-0.7090589999997974,-0.6277659999998377,-0.6611250000000837,-0.3555980000001,-0.5083615000000918,-0.9908860000000459,-0.37328400000023976,-0.6820850000001428,-0.6060708333333574
2021-08-12 05:45:00,-0.5482230000002346,-0.7115170000001854,-0.62987000000021,-0.661127000000306,-0.3545820000003914,-0.5078545000003487,-0.990889000000152,-0.37111700000014025,-0.6810030000001461,-0.6062425000002349
2021-08-12 06:00:00,-0.5464729999998781,-0.7108100000000377,-0.6286414999999579,-0.6593769999999495,-0.3555989999999838,-0.5074879999999666,-0.9908879999998135,-0.3750339999996868,-0.6829609999997501,-0.6063634999998916
2021-08-12 06:30:00,-0.5484820000001491,-0.7137379999999212,-0.6311100000000351,-0.6596599999998034,-0.3556579999999485,-0.507658999999876,-0.9882709999997132,-0.37143099999957485,-0.679850999999644,-0.6062066666665183
2021-08-12 07:15:00,-0.5500309999997626,-0.7124389999999039,-0.6312349999998332,-0.658614999999827,-0.3560939999997572,-0.5073544999997921,-0.9837320000001455,-0.3712580000001253,-0.6774950000001354,-0.6053614999999203
