event,SS,DOC,Turbidity,fDOM,tauc,ratio,time
st1,0.785,-0.69,0.58,-0.62,,,
st2,0.174,0.02,0.13,-0.54,60.59,1.1738,-1.50
st3,0.099,-0.54,0.09,-0.51,73.39,1.0183,-0.64
st4,0.212,-0.18,0.15,-0.22,79.77,1.0000,0.00
st5,0.365,0.39,0.16,0.10,,,
st6,0.041,-0.17,-0.04,-0.24,,,
event 1,0.095,0.03,0.052,0.013,,,
event2,0.043,0.03,0.103,-0.016,,,
event3,0.089,0.01,0.156,0.030,110.72,1.0394,-1.92
event4,-0.019,0.03,0.151,-0.055,,,
event5,0.104,0.03,0.055,0.009,111.66,1.0331,-8.55
event6,0.047,0.04,0.070,0.013,114.89,1.0275,-6.89
event7,0.009,-0.01,0.079,-0.061,116.56,1.0276,-4.33
event8,-0.017,-0.02,0.002,-0.018,120.41,1.0396,-8.69
event9,0.020,0.03,0.101,0.003,118.76,1.0832,-7.44
event10,-0.025,-0.04,0.107,-0.005,125.12,1.0183,-8.21
,,,,,,,
