"Location Properties"
"Location Name = La Jara Creek"
"Location ID = aad230a9-83bb-465f-b341-720a18ea2b48"
"Latitude = 35.8690556701322 °"
"Longitude = -106.526314504445 °"
""
"Report Properties"
"Start Time = 2023-04-17 12:18:07"
"Duration = 19.06:45:25"
"Readings = 1852"
"Time Offset = -06:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600 Vented"
"Device SN = 927764"
"Device Firmware = 2.29"
""
"Log Properties"
"Log Name = LaJara_DOWN64"
"Log Type = Linear"
"Log File Number = 3"
"Log ID = 6e46949a-6362-409b-af0d-bd9f4c9f05f3"
"Interval = 00:15:00"
""
""
"Date Time","Actual Conductivity (µS/cm) (923301)","Specific Conductivity (µS/cm) (923301)","Salinity (PSU) (923301)","Resistivity (Ω⋅cm) (923301)","Density (g/cm³) (923301)","Total Dissolved Solids (ppt) (923301)","Turbidity (NTU) (922381)","FDOM Fluorescence (RFU) (910042)","Temperature (°C) (927764)","External Voltage (V) (927764)","Battery Capacity (%) (927764)","Barometric Pressure (mm Hg) (927764)","Pressure (kPa) (925780)","Depth (m) (925780)"
"2023-04-17 12:18:07","0","0","0","1E+07","0.9976761","0","3.374588","0.3508979","22.42333","0.072","91","584.4928","0.0997481","0.004912278"
"2023-04-17 12:33:07","0","0","0","1E+07","0.997714","0","4.825984","0","22.2589","0.054","91","584.4178","0.07775354","-0.1791624"
"2023-04-17 12:48:07","0","0","2.328306E-10","1E+07","0.9977649","0","3.752674","0","22.03558","0.036","91","584.2452","0.06270914","0.01093088"
"2023-04-17 13:03:07","0","0","0","1E+07","0.9977968","0","3.744007","0","21.89529","0.018","91","583.9752","0.07485382","0.0129558"
"2023-04-17 13:18:07","0","0","0","1E+07","0.9977607","0","2.980345","0","22.05442","0.018","91","583.6377","0.05204391","0.004594162"
"2023-04-17 13:33:07","0","0","0","1E+07","0.9973882","0","2.907491","0","23.63739","0.063","91","551.04","0.02737977","-0.03497493"
"2023-04-17 13:48:07","0","0","2.328306E-10","1E+07","0.9976194","0","2.942816","0","22.66754","0.045","91","556.5455","0.07468943","0.01749513"
"2023-04-17 14:03:07","0","0","0","1E+07","0.9977729","0","2.917355","0","22.00032","0.027","91","549.9374","0.09989933","0.01628279"
"2023-04-17 14:18:07","0","0","0","1E+07","0.998183","0","2.404051","0","20.11265","0.054","91","548.1223","0.08382917","0.05262384"
"2023-04-17 14:33:07","0","0","1.164153E-10","1E+07","0.9986467","0","2.434257","0","17.73178","0","91","547.9648","-0.0005720556","-0.1913784"
"2023-04-17 14:48:07","37.85989","57.61037","0.02579349","26413.18","0.9999226","0.03744674","15.11314","0.5448111","7.050859","0","91","548.0398","1.330056","0.1348721"
"2023-04-17 15:03:07","37.53341","57.30829","0.02564034","26642.93","0.9999278","0.03725039","15.92733","0.5637296","6.933949","0","91","548.2123","1.295719","0.1290596"
"2023-04-17 15:18:07","37.22694","57.08591","0.02552295","26862.27","0.9999343","0.03710584","32.44994","0.5727835","6.786453","0","91","548.0547","1.278176","0.1215106"
"2023-04-17 15:33:07","36.78493","56.76177","0.02535181","27185.04","0.999943","0.03689515","16.13508","0.5818779","6.573724","0","91","547.9723","1.347125","0.1298952"
