Date (MM/DD/YYYY),Time (HH:mm:ss),fDOM RFU,Turbidity FNU
8/5/2022,10:50:00,-0.44,1.97
8/5/2022,10:50:01,-0.44,1.97
8/5/2022,10:50:02,-0.44,1.98
8/5/2022,10:50:03,-0.44,1.98
8/5/2022,10:50:04,-0.44,2
8/5/2022,10:50:05,-0.44,2.01
8/5/2022,10:50:06,-0.44,2.01
8/5/2022,10:50:07,-0.44,2.02
8/5/2022,10:50:08,-0.44,2.04
8/5/2022,10:50:09,-0.44,2.05
8/5/2022,10:50:10,-0.44,2.05
8/5/2022,10:50:11,-0.44,2.05
8/5/2022,10:50:12,-0.44,2.05
8/5/2022,10:50:13,-0.44,2.05
8/5/2022,10:50:14,-0.44,2.06
8/5/2022,10:50:15,-0.44,2.06
8/5/2022,10:50:16,-0.44,2.06
8/5/2022,10:50:17,-0.44,2.06
8/5/2022,10:50:18,-0.44,2.06
8/5/2022,10:50:19,-0.44,2.06
8/5/2022,10:50:20,-0.44,2.06
8/5/2022,10:50:21,-0.44,2.06
8/5/2022,10:50:22,-0.44,2.05
8/5/2022,10:50:23,-0.44,2.04
8/5/2022,10:50:24,-0.44,2.03
8/5/2022,10:50:25,-0.44,2.04
8/5/2022,10:50:26,-0.44,2.05
8/5/2022,10:50:27,-0.44,2.04
8/5/2022,10:50:28,-0.44,2.05
8/5/2022,10:50:29,-0.44,2.04
8/5/2022,10:50:30,-0.44,2.02
8/5/2022,10:50:31,-0.44,2.02
8/5/2022,10:50:32,-0.44,2.02
8/5/2022,10:50:33,-0.43,2.02
8/5/2022,10:50:34,-0.43,2.01
8/5/2022,10:50:35,-0.43,2
8/5/2022,10:50:36,-0.42,2
8/5/2022,10:50:37,-0.41,2
8/5/2022,10:50:38,-0.41,1.99
8/5/2022,10:50:39,-0.4,1.99
8/5/2022,10:50:40,-0.4,1.98
8/5/2022,10:50:41,-0.4,1.95
8/5/2022,10:50:42,-0.39,1.94
8/5/2022,10:50:43,-0.39,1.96
8/5/2022,10:50:44,-0.39,1.98
8/5/2022,10:50:45,-0.37,2.03
8/5/2022,10:50:46,0.42,2.09
8/5/2022,10:50:47,17.38,2.15
8/5/2022,10:50:48,17.11,2.2
8/5/2022,10:50:49,17,2.25
8/5/2022,10:50:50,16.89,2.34
8/5/2022,10:50:51,16.9,2.41
8/5/2022,10:50:52,16.84,2.7
8/5/2022,10:50:53,16.75,3.01
8/5/2022,10:50:54,16.7,3.35
8/5/2022,10:50:55,16.68,3.6
8/5/2022,10:50:56,16.69,3.81
8/5/2022,10:50:57,16.7,3.97
8/5/2022,10:50:58,16.71,4.09
8/5/2022,10:50:59,16.72,4.25
8/5/2022,10:51:00,16.73,4.3
8/5/2022,10:51:01,16.73,4.42
8/5/2022,10:51:02,16.74,4.46
8/5/2022,10:51:03,16.75,4.55
8/5/2022,10:51:04,16.76,4.57
8/5/2022,10:51:05,16.77,4.6
8/5/2022,10:51:06,16.78,4.53
8/5/2022,10:51:07,16.79,4.35
8/5/2022,10:51:08,16.79,4.06
8/5/2022,10:51:09,16.8,3.86
8/5/2022,10:51:10,16.8,3.71
8/5/2022,10:51:11,16.8,3.62
8/5/2022,10:51:12,16.82,3.53
8/5/2022,10:51:13,16.84,3.43
8/5/2022,10:51:14,16.86,3.35
8/5/2022,10:51:15,16.87,3.27
8/5/2022,10:51:16,16.88,3.18
8/5/2022,10:51:17,16.89,3.15
8/5/2022,10:51:18,16.9,3.12
8/5/2022,10:51:19,16.91,3.08
8/5/2022,10:51:20,16.91,3.04
8/5/2022,10:51:21,16.92,3.05
8/5/2022,10:51:22,16.93,3.03
8/5/2022,10:51:23,16.93,3.01
8/5/2022,10:51:24,16.94,3
8/5/2022,10:51:25,16.94,3
8/5/2022,10:51:26,16.94,2.98
8/5/2022,10:51:27,16.94,2.96
8/5/2022,10:51:28,16.95,2.98
8/5/2022,10:51:29,16.95,2.97
8/5/2022,10:51:30,16.94,3.19
8/5/2022,10:51:31,16.94,3.2
8/5/2022,10:51:32,16.94,3.19
8/5/2022,10:51:33,16.94,3.22
8/5/2022,10:51:34,16.94,3.27
8/5/2022,10:51:35,16.94,3.24
8/5/2022,10:51:36,16.94,3.21
8/5/2022,10:51:37,16.94,3.21
8/5/2022,10:51:38,16.95,3.21
8/5/2022,10:51:39,16.94,3.19
8/5/2022,10:51:40,16.95,3.19
8/5/2022,10:51:41,16.94,3.18
8/5/2022,10:51:42,16.94,3.16
8/5/2022,10:51:43,16.95,3.17
8/5/2022,10:51:44,16.94,3.18
8/5/2022,10:51:45,16.94,2.96
8/5/2022,10:51:46,16.94,2.99
8/5/2022,10:51:47,16.93,3.03
8/5/2022,10:51:48,16.93,3.1
8/5/2022,10:51:49,16.93,3.2
