HI,Drise,Dfall,storm_name,peak tau,peak constituent,rise,fall,A,B,C,Drise_point,Dfall_point,norm_df,storm,constituent
0.042663094,0.037485482,0.005177612,down_event2,1,0.652173913,"                        tau_n        cn
Date_Time                              
2023-04-18 16:30:00  0.994889  1.000000
2023-04-18 21:30:00  1.000000  0.652174","                        tau_n        cn
Date_Time                              
2023-04-19 02:30:00  0.981166  0.395257
2023-04-19 07:30:00  0.969495  0.326087",0.326086957,-0.030504586,-0.306192661,"(np.float64(0.9948890809468759), np.float64(1.0))","(np.float64(0.9811663014525209), np.float64(0.39525691700000004))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-18 16:30:00    116.190753   23.000000  0.994889  1.000000
2023-04-18 21:30:00    116.787645   15.000000  1.000000  0.652174
2023-04-19 02:30:00    114.588102    9.090909  0.981166  0.395257
2023-04-19 07:30:00    113.225086    7.500000  0.969495  0.326087",down_event2,SSC (mg/L)
0.058164977,0.059006807,-0.00084183,down_event2,1,0.68896861,"                        tau_n        cn
Date_Time                              
2023-04-18 12:30:00  0.924395  0.588349
2023-04-18 16:30:00  0.994889  1.000000
2023-04-18 21:30:00  1.000000  0.688969","                        tau_n        cn
Date_Time                              
2023-04-19 02:30:00  0.981166  0.586934
2023-04-19 07:30:00  0.969495  0.515848",0.173121083,-0.030504586,-0.152104381,"(np.float64(0.9948890809468759), np.float64(1.0))","(np.float64(0.9811663014525209), np.float64(0.5869339003772249))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-04-18 12:30:00    107.957868      12.451086  0.924395  0.588349
2023-04-18 16:30:00    116.190753      21.162759  0.994889  1.000000
2023-04-18 21:30:00    116.787645      14.580477  1.000000  0.688969
2023-04-19 02:30:00    114.588102      12.421141  0.981166  0.586934
2023-04-19 07:30:00    113.225086      10.916757  0.969495  0.515848",down_event2,Turbidity FNU
0.088732929,0.103305633,-0.014572704,down_event6,1,0.515555555,"                        tau_n        cn
Date_Time                              
2023-04-23 16:00:00  0.978652  1.000000
2023-04-23 21:00:00  1.000000  0.515556","                        tau_n        cn
Date_Time                              
2023-04-24 02:00:00  0.987055  0.621429
2023-04-24 07:00:00  0.971980  0.621429",-0.105873016,-0.028019721,0.120318739,"(np.float64(0.9786520856754297), np.float64(1.0))","(np.float64(0.9870546952160799), np.float64(0.6214285712421429))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-23 16:00:00    112.931834   10.344828  0.978652  1.000000
2023-04-23 21:00:00    115.395282    5.333333  1.000000  0.515556
2023-04-24 02:00:00    113.901455    6.428571  0.987055  0.621429
2023-04-24 07:00:00    112.161939    6.428571  0.971980  0.621429",down_event6,SSC (mg/L)
0.039495801,0.022114622,0.017381178,down_event6,1,0.991737272,"                        tau_n        cn
Date_Time                              
2023-04-23 16:00:00  0.978652  1.000000
2023-04-23 21:00:00  1.000000  0.991737","                        tau_n        cn
Date_Time                              
2023-04-24 02:00:00  0.987055  0.711286
2023-04-24 07:00:00  0.971980  0.733487",0.258250112,-0.028019721,-0.230461911,"(np.float64(0.9786520856754297), np.float64(1.0))","(np.float64(0.9870546952160799), np.float64(0.7112862064383102))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-04-23 16:00:00    112.931834       9.317180  0.978652  1.000000
2023-04-23 21:00:00    115.395282       9.240195  1.000000  0.991737
2023-04-24 02:00:00    113.901455       6.627182  0.987055  0.711286
2023-04-24 07:00:00    112.161939       6.834032  0.971980  0.733487",down_event6,Turbidity FNU
-0.019463558,0.075587113,-0.095050671,down_event7,1,0.564912281,"                        tau_n        cn
Date_Time                              
2023-04-24 12:00:00  0.920101  0.544086
2023-04-24 17:00:00  1.000000  0.564912","                        tau_n        cn
Date_Time                              
2023-04-24 22:00:00  0.996114  0.726316
2023-04-25 03:00:00  0.973589  1.000000
2023-04-25 08:00:00  0.954060  0.278788",0.286124402,-0.045939974,-0.260172347,"(np.float64(0.9201009409515531), np.float64(0.5440860216529391))","(np.float64(0.9735893937471712), np.float64(1.0))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-24 12:00:00    109.875096   14.193548  0.920101  0.544086
2023-04-24 17:00:00    119.416350   14.736842  1.000000  0.564912
2023-04-24 22:00:00    118.952311   18.947368  0.996114  0.726316
2023-04-25 03:00:00    116.262492   26.086957  0.973589  1.000000
2023-04-25 08:00:00    113.930366    7.272727  0.954060  0.278788",down_event7,SSC (mg/L)
0.057523441,0.029254014,0.028269427,down_event7,1,1,"                        tau_n        cn
Date_Time                              
2023-04-24 12:00:00  0.920101  0.594875
2023-04-24 17:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-04-24 22:00:00  0.996114  0.739876
2023-04-25 03:00:00  0.973589  0.652781
2023-04-25 08:00:00  0.954060  0.630868",0.369132409,-0.045939974,-0.323192435,"(np.float64(0.9201009409515531), np.float64(0.5948752548136526))","(np.float64(0.9961141058154934), np.float64(0.7398763291567976))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-04-24 12:00:00    109.875096       8.155051  0.920101  0.594875
2023-04-24 17:00:00    119.416350      13.708842  1.000000  1.000000
2023-04-24 22:00:00    118.952311      10.142847  0.996114  0.739876
2023-04-25 03:00:00    116.262492       8.948877  0.973589  0.652781
2023-04-25 08:00:00    113.930366       8.648464  0.954060  0.630868",down_event7,Turbidity FNU
0.104157227,0.039550625,0.064606602,down_event8,1,0.846153846,"                        tau_n        cn
Date_Time                              
2023-04-27 10:00:00  0.957273  0.506787
2023-04-27 15:00:00  0.980668  1.000000
2023-04-27 20:00:00  1.000000  0.846154","                        tau_n        cn
Date_Time                              
2023-04-28 01:00:00  0.993659  0.594164
2023-04-28 06:00:00  0.990764  0.289593
2023-04-28 11:00:00  0.976018  0.656410
2023-04-28 16:00:00  0.973984  0.651584",0.194570136,-0.02601574,-0.172556818,"(np.float64(0.9806679818011408), np.float64(1.0))","(np.float64(0.9907644479321577), np.float64(0.2895927601230769))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-27 10:00:00    110.345974    4.117647  0.957273  0.506787
2023-04-27 15:00:00    113.042778    8.125000  0.980668  1.000000
2023-04-27 20:00:00    115.271203    6.875000  1.000000  0.846154
2023-04-28 01:00:00    114.540268    4.827586  0.993659  0.594164
2023-04-28 06:00:00    114.206610    2.352941  0.990764  0.289593
2023-04-28 11:00:00    112.506806    5.333333  0.976018  0.656410
2023-04-28 16:00:00    112.272338    5.294118  0.973984  0.651584",down_event8,SSC (mg/L)
0.034238947,0.020260776,0.013978172,down_event8,1,1,"                        tau_n        cn
Date_Time                              
2023-04-27 10:00:00  0.957273  0.722949
2023-04-27 15:00:00  0.980668  0.859872
2023-04-27 20:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-04-28 01:00:00  0.993659  0.748126
2023-04-28 06:00:00  0.990764  0.808315
2023-04-28 11:00:00  0.976018  0.735491
2023-04-28 16:00:00  0.973984  0.678235",0.321765499,-0.02601574,-0.295749759,"(np.float64(0.9572726816498844), np.float64(0.7229490912421785))","(np.float64(0.9936589956634903), np.float64(0.7481260492951117))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-04-27 10:00:00    110.345974       7.285126  0.957273  0.722949
2023-04-27 15:00:00    113.042778       8.664896  0.980668  0.859872
2023-04-27 20:00:00    115.271203      10.076955  1.000000  1.000000
2023-04-28 01:00:00    114.540268       7.538833  0.993659  0.748126
2023-04-28 06:00:00    114.206610       8.145358  0.990764  0.808315
2023-04-28 11:00:00    112.506806       7.411510  0.976018  0.735491
2023-04-28 16:00:00    112.272338       6.834539  0.973984  0.678235",down_event8,Turbidity FNU
0.046625143,0.027724942,0.018900201,down_event9,1,0.842146803,"                        tau_n        cn
Date_Time                              
2023-04-29 12:00:00  0.946083  0.420679
2023-04-29 17:00:00  0.987036  1.000000
2023-04-29 22:00:00  1.000000  0.842147","                        tau_n        cn
Date_Time                              
2023-04-30 03:00:00  0.998072  0.620363
2023-04-30 08:00:00  0.980629  0.684294
2023-04-30 13:00:00  0.990400  0.740331",0.101815312,-0.009599982,-0.093730718,"(np.float64(0.9870357826262782), np.float64(1.0))","(np.float64(0.998072440732248), np.float64(0.6203630623520127))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-29 12:00:00    110.904427        5.33  0.946083  0.420679
2023-04-29 17:00:00    115.705149       12.67  0.987036  1.000000
2023-04-29 22:00:00    117.224878       10.67  1.000000  0.842147
2023-04-30 03:00:00    116.998920        7.86  0.998072  0.620363
2023-04-30 08:00:00    114.954110        8.67  0.980629  0.684294
2023-04-30 13:00:00    116.099521        9.38  0.990400  0.740331",down_event9,SSC (mg/L)
0.066697794,0.112565284,-0.04586749,down_event9,1,0.610591005,"                        tau_n        cn
Date_Time                              
2023-04-29 12:00:00  0.946083  0.444385
2023-04-29 17:00:00  0.987036  1.000000
2023-04-29 22:00:00  1.000000  0.610591","                        tau_n        cn
Date_Time                              
2023-04-30 03:00:00  0.998072  0.770317
2023-04-30 08:00:00  0.980629  0.716264
2023-04-30 13:00:00  0.990400  0.574475",0.036115561,-0.009599982,-0.030253899,"(np.float64(0.9870357826262782), np.float64(1.0))","(np.float64(0.9806289608593152), np.float64(0.7162638857063647))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-04-29 12:00:00    110.904427       6.466690  0.946083  0.444385
2023-04-29 17:00:00    115.705149      14.551989  0.987036  1.000000
2023-04-29 22:00:00    117.224878       8.885314  1.000000  0.610591
2023-04-30 03:00:00    116.998920      11.209642  0.998072  0.770317
2023-04-30 08:00:00    114.954110      10.423064  0.980629  0.716264
2023-04-30 13:00:00    116.099521       8.359760  0.990400  0.574475",down_event9,Turbidity FNU
0.024947103,0.033356526,-0.008409423,up_event1,1,0.03125,"                        tau_n       cn
Date_Time                             
2023-04-17 16:30:00  0.978065  1.00000
2023-04-17 20:30:00  1.000000  0.03125","                        tau_n        cn
Date_Time                              
2023-04-18 00:30:00  0.987657  0.394737
2023-04-18 08:30:00  0.966078  0.625000",-0.59375,-0.033921744,0.594810055,"(np.float64(0.9780649156568231), np.float64(1.0))","(np.float64(0.9876566389112582), np.float64(0.394736842125))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-17 16:30:00    110.746094   16.000000  0.978065  1.000000
2023-04-17 20:30:00    113.229799    0.500000  1.000000  0.031250
2023-04-18 00:30:00    111.832163    6.315789  0.987657  0.394737
2023-04-18 08:30:00    109.388847   10.000000  0.966078  0.625000",up_event1,SSC (mg/L)
