lab_ID,334,229,226,225,234,227,242,245,214,191,252,244,240,-,-,-,-,-,-,338,339,335,342,341,328,-,-,-,-,-,309,343,345,344,350,-,356,351,346,323,324,327,253,237,219,310,269,220,291,192,193,207,222,190,206,205,250,216,215,213
sample,UP68,D11,D8,D7,D16,D9,UP22,UP25,UP8,UP2,UP32,UP24,UP20,GSUT,GSUB,GSLT,GSLB,GSBEDLOAD,GSSIDE,UP77,UP78,UP69,UP84,UP82,UP62,UP71,UP74,UP79,UP81,UP76,UP56,D55,D57,D56,D65,D71,D70,D64,D58,D50,D51,D54,UP33,UP17,UP13,UP57,UP34,UP14,UP48,UP3,UP4,D4,D3,UP1,D2,D1,UP30,UP10,UP9,UP7
19.81,0.03750631,0.033420216,0.018405989,0.040376064,0.026769485,0.0226458,0.018672601,0.027498819,0.022922476,0.032281584,0.032235294,0.025747047,0.024508343,0.02479541,0.028565229,0.022665993,0.031090138,0.023757006,0.031557414,0.057489074,0.047102722,0.037600459,0.03498864,0.039789145,0.018194574,0.041818874,0.015598412,0.012777499,0.024302094,0.022849684,0.020705451,0.02067126,0.023055028,0.026392387,0.022018615,0.017937798,0.031076179,0.024980361,0.021793863,0.024528005,0.019850972,0.03048075,0.036135693,0.026134083,0.037298748,0.031789474,0.047087046,0.0288262,0.028772259,0.017863445,0.035092025,0.030575614,0.029783638,0.022619863,0.043529182,0.025976838,0.022480853,0.027441406,0.029319042,0.034477963
23.37,0.044220091,0.040311893,0.021730515,0.04736374,0.0345084,0.030016051,0.025290248,0.03650244,0.028165086,0.040251414,0.039550802,0.034885337,0.03022944,0.030966043,0.036220814,0.028185035,0.03777869,0.029298499,0.038567142,0.062336114,0.053292362,0.043559127,0.041317754,0.046192893,0.022528843,0.045585997,0.017838911,0.015680563,0.026595214,0.026573234,0.023408154,0.024005335,0.027672359,0.028379513,0.025029087,0.019770293,0.035822249,0.02994894,0.025137687,0.028980491,0.024799162,0.035647317,0.039159292,0.031834605,0.044543828,0.035684211,0.046538725,0.034176394,0.034100951,0.023713859,0.044621677,0.03911698,0.03902975,0.028210616,0.053230529,0.032972413,0.033263253,0.032958984,0.036738125,0.040703894
27.58,0.049545684,0.049195971,0.027873184,0.055024774,0.044367943,0.040636704,0.034210526,0.04841807,0.037107269,0.049402891,0.048042781,0.046473245,0.036889154,0.038209011,0.045386685,0.035085945,0.045903433,0.035933828,0.045567779,0.066468017,0.059482002,0.049804822,0.048977605,0.053533776,0.028157156,0.049771689,0.023170732,0.019839277,0.028988036,0.030076944,0.026729272,0.027806179,0.033554712,0.031010355,0.028752182,0.023370758,0.042986699,0.035271013,0.029858379,0.033668974,0.030981488,0.042050668,0.041666667,0.039943798,0.053443649,0.041438596,0.048457848,0.044422827,0.042174321,0.028871997,0.051247444,0.044563648,0.045655849,0.033416096,0.059906305,0.039064118,0.04257396,0.04140625,0.048045397,0.048609328
32.55,0.054038364,0.058084467,0.036217525,0.061135815,0.051087855,0.050200642,0.041602167,0.058775382,0.046886038,0.056907605,0.055807487,0.05628909,0.043682956,0.045245038,0.053675896,0.0413212,0.051743947,0.042044838,0.051322848,0.067302344,0.062949956,0.055040184,0.056669912,0.059781335,0.033863424,0.051331811,0.028360749,0.025002511,0.030633101,0.035421819,0.031630783,0.031340298,0.038583175,0.0359082,0.03262071,0.028829526,0.050483676,0.041064415,0.035326515,0.038310258,0.038246594,0.048414123,0.041887906,0.046166198,0.057423971,0.04671345,0.05023989,0.055479896,0.053246753,0.03515678,0.056625767,0.048421704,0.051081812,0.038330479,0.063048995,0.044619151,0.051329028,0.051171875,0.060907945,0.056514763
38.41,0.060878344,0.067056901,0.04682959,0.066459154,0.055163867,0.057932049,0.047368421,0.067432709,0.05603272,0.063595223,0.063935829,0.064471855,0.051400477,0.052741981,0.061548477,0.047455342,0.055819997,0.048128729,0.057014274,0.066030989,0.06523266,0.059977038,0.064556962,0.065872706,0.040333645,0.05129376,0.031990925,0.032014063,0.032303091,0.045328387,0.040242785,0.035563459,0.043105629,0.04497621,0.037812682,0.036959608,0.061819831,0.049332286,0.042171518,0.044210195,0.047572476,0.055316178,0.040707965,0.049618627,0.055366726,0.051497076,0.050651131,0.063391699,0.067492302,0.044835075,0.063742331,0.05382711,0.057860041,0.044434932,0.065567051,0.051464081,0.062066376,0.062060547,0.074211854,0.064548567
45.32,0.066355376,0.073378689,0.058190225,0.070118155,0.063095566,0.06758962,0.057043344,0.078120573,0.065885852,0.070182275,0.072534759,0.074843641,0.059296782,0.060220111,0.069577294,0.055468487,0.061031323,0.055179895,0.062451132,0.063885578,0.066242318,0.064202067,0.072281727,0.071300273,0.049095728,0.050114155,0.036443562,0.040552486,0.034197408,0.055729596,0.048694457,0.040297844,0.048703352,0.052392947,0.044604421,0.046431798,0.069437727,0.058641005,0.049685287,0.051211454,0.058702992,0.061679633,0.039417404,0.055359293,0.053398927,0.057239766,0.049485949,0.070363165,0.082420672,0.055192073,0.070245399,0.060037136,0.064114266,0.051318493,0.067967988,0.058817437,0.074891125,0.071459961,0.084510298,0.07084938
53.48,0.070545179,0.075627319,0.068009687,0.070308728,0.069182044,0.074264312,0.066660217,0.085534393,0.072597137,0.073689503,0.078053476,0.082123002,0.066060787,0.066578873,0.075028209,0.062883384,0.064314047,0.061227626,0.066769706,0.057767183,0.064091308,0.066165327,0.07591691,0.072745021,0.058309947,0.047260274,0.038145207,0.049563034,0.036291127,0.06768343,0.058268438,0.045276728,0.053320683,0.060481388,0.05091623,0.056033037,0.078839178,0.06875491,0.057199056,0.058889239,0.070369077,0.066706563,0.036910029,0.058410277,0.048479428,0.061076023,0.046333105,0.07266537,0.094698085,0.069078322,0.078507157,0.069135548,0.072785666,0.059888699,0.070544603,0.067931457,0.092731641,0.077270508,0.088272383,0.073577236
63.11,0.072337203,0.077668316,0.082364597,0.068809554,0.072266593,0.079106474,0.073568111,0.087344562,0.080423871,0.074116908,0.081048128,0.084068798,0.072452324,0.072044022,0.077554032,0.069413549,0.067035973,0.066380401,0.07035185,0.053118792,0.062028095,0.066406429,0.078286271,0.072666927,0.066666667,0.044596651,0.041038003,0.059628327,0.040902293,0.08200055,0.070797068,0.05121138,0.057179001,0.074503219,0.058551483,0.071312427,0.087212817,0.078908091,0.066089693,0.065465702,0.081092095,0.070616397,0.033923304,0.057125652,0.042128801,0.064584795,0.044893763,0.073800259,0.102490293,0.080969187,0.0800409,0.071487518,0.076369168,0.067140411,0.067850869,0.074211468,0.096636132,0.084667969,0.091761244,0.075834403
74.48,0.06935891,0.073458208,0.088199031,0.063791132,0.077499311,0.08164794,0.083339783,0.085471431,0.08131623,0.071929604,0.079786096,0.084781098,0.075879023,0.074997648,0.076564534,0.074747219,0.068417453,0.070547821,0.071161015,0.044735797,0.055926251,0.063513203,0.073190523,0.066146037,0.074103524,0.040943683,0.039421441,0.067403315,0.046236291,0.090052212,0.077530921,0.05614581,0.059424415,0.080128743,0.062434555,0.07868112,0.082527207,0.085526316,0.07147915,0.069902454,0.087472348,0.070795931,0.030825959,0.055158571,0.037075134,0.063602339,0.039067855,0.06770428,0.098420137,0.088557079,0.078343558,0.073034867,0.07745098,0.073082192,0.063302752,0.078184728,0.097732392,0.083276367,0.08442623,0.072443303
87.89,0.06595154,0.068086234,0.089542052,0.057603862,0.077251446,0.07794275,0.08630031,0.075885408,0.076389664,0.067140163,0.075229947,0.079603892,0.078009535,0.075994732,0.072111796,0.076558814,0.066625633,0.072536612,0.070570052,0.037346047,0.049473222,0.058874856,0.065887699,0.05716517,0.077782975,0.037557078,0.034004538,0.072787544,0.050747757,0.098406156,0.08575355,0.061169149,0.058349146,0.088553037,0.064368819,0.084875468,0.074788392,0.089257659,0.075413061,0.072498427,0.088799627,0.068501895,0.027654867,0.047812124,0.030769231,0.059204678,0.034132968,0.057619974,0.086169501,0.096267137,0.075480573,0.074375903,0.078566599,0.078150685,0.05727113,0.080962245,0.093527557,0.078588867,0.073076923,0.066923406
103.72,0.055073195,0.059657183,0.087142228,0.048583407,0.072294134,0.071428571,0.084171827,0.062505903,0.070310467,0.058881207,0.064663102,0.069318972,0.074061383,0.071667764,0.062841767,0.073592855,0.061592121,0.070267583,0.064914992,0.028645213,0.040781387,0.050700344,0.053846154,0.04369387,0.075771749,0.033599696,0.031990925,0.073299849,0.050224327,0.09274526,0.082020156,0.063347411,0.055344719,0.085838231,0.060427574,0.08466899,0.062152358,0.082678712,0.074272227,0.068234739,0.081371522,0.06118093,0.024963127,0.041188278,0.027191413,0.052421053,0.030089102,0.05042153,0.068041237,0.08775621,0.060817996,0.06354446,0.067866802,0.073784247,0.044680851,0.072874494,0.072413275,0.070263672,0.06063472,0.058664955
122.39,0.045709238,0.049933734,0.074218406,0.039982213,0.066538144,0.062948101,0.079798762,0.050543051,0.060085518,0.051213074,0.053647059,0.0595205,0.068057211,0.065374847,0.053806093,0.068832154,0.056093558,0.067076478,0.058814438,0.021692491,0.033625988,0.042870264,0.043005518,0.031745412,0.072450889,0.03085997,0.030119115,0.069964842,0.045139581,0.080791426,0.070774164,0.065281174,0.053194181,0.071536524,0.055890052,0.07635824,0.042714631,0.072172035,0.070416994,0.062020138,0.070124578,0.052164373,0.024225664,0.036973103,0.025805009,0.045099415,0.025496916,0.042185473,0.049738921,0.077942175,0.049141104,0.056137817,0.058941853,0.068544521,0.0353699,0.064711421,0.057996696,0.057055664,0.046090794,0.048716303
144.43,0.035436648,0.040625552,0.063870542,0.03127938,0.053428807,0.051631889,0.066002322,0.037179285,0.050808701,0.041998743,0.040898396,0.046177901,0.058492253,0.055855517,0.043043139,0.059411864,0.047325947,0.059067076,0.049968179,0.015295987,0.026338894,0.034362801,0.032262253,0.02155408,0.063797942,0.028614916,0.03218945,0.064580613,0.039531406,0.063973619,0.058772332,0.064792176,0.048608476,0.057962497,0.049403723,0.069028262,0.028174123,0.056598586,0.063532651,0.052438641,0.056060077,0.041891083,0.02359882,0.031995183,0.024150268,0.037707602,0.022892392,0.036964981,0.03511849,0.062413465,0.035296524,0.043593976,0.045875592,0.057739726,0.025102479,0.051624141,0.039570506,0.045654297,0.035119798,0.039773214
170.44,0.028167592,0.030813748,0.046543373,0.023580231,0.040732581,0.040315677,0.051799536,0.026759011,0.037962447,0.033827781,0.029647059,0.034642113,0.048227056,0.046110432,0.034042184,0.049519717,0.038722473,0.050515278,0.041658333,0.009853,0.020193152,0.027405281,0.023076923,0.015501757,0.054443405,0.027054795,0.032643222,0.058392767,0.038908275,0.046977192,0.04644984,0.062902867,0.044086022,0.039014833,0.044109948,0.054768357,0.014026602,0.040907306,0.053973249,0.044257395,0.043334498,0.03219629,0.025036873,0.029586511,0.023211091,0.030175439,0.015490062,0.027885863,0.023938948,0.049979639,0.026993865,0.037136373,0.037322515,0.04932363,0.019500293,0.042124094,0.029448866,0.03215332,0.023833544,0.030412923
201.13,0.021024735,0.021390705,0.031373844,0.016300343,0.026934729,0.028491172,0.035642415,0.017235952,0.025878416,0.025091138,0.019294118,0.023245309,0.036114422,0.034907346,0.024746116,0.037546343,0.028983723,0.039260532,0.031684699,0.005244338,0.013959614,0.020551091,0.014216164,0.01120656,0.043155597,0.024695586,0.03712422,0.052204922,0.042921236,0.029994504,0.03499771,0.057034897,0.038614801,0.022502099,0.038365329,0.040043877,0.005471584,0.025255302,0.041463415,0.035509755,0.031633485,0.023219629,0.027617994,0.027980731,0.022584973,0.023169591,0.009389993,0.020363165,0.015704914,0.037518664,0.019631902,0.029812255,0.028600406,0.039229452,0.014444661,0.032068543,0.020979126,0.02043457,0.01481715,0.021854942
237.35,0.015572943,0.01439742,0.020761779,0.01086266,0.016882402,0.020144462,0.023393963,0.010861011,0.01753114,0.018265242,0.011828877,0.014923558,0.026102503,0.025811307,0.01797587,0.028041793,0.021447134,0.029868017,0.023565779,0.00246325,0.009350307,0.015028703,0.008244077,0.008785631,0.03397256,0.022412481,0.051985252,0.049231542,0.048504487,0.017559769,0.026202474,0.051389198,0.036084756,0.011279037,0.036503781,0.030287779,0.001813785,0.013904163,0.030369788,0.027847703,0.023192455,0.016696589,0.033259587,0.028904055,0.023881932,0.018538012,0.005346127,0.015402075,0.010536886,0.027718203,0.013885481,0.022942026,0.021348884,0.030736301,0.010716377,0.024112607,0.015152425,0.012524414,0.008995376,0.015404365
280.09,0.01130742,0.008853154,0.012241303,0.006644645,0.009639218,0.013255752,0.014241486,0.006311979,0.010522402,0.01255814,0.006609626,0.008773454,0.017669845,0.018239112,0.012429477,0.020045501,0.014909041,0.021704936,0.0165015,0.000913786,0.005618964,0.01053961,0.004219409,0.006872316,0.02613034,0.018721461,0.072404991,0.047674535,0.056480558,0.009247046,0.019812185,0.044921094,0.034313725,0.004701931,0.035863874,0.021176926,0.000423216,0.006716418,0.020338316,0.021648836,0.016916987,0.011849192,0.042441003,0.030951425,0.025715564,0.014421053,0.002330363,0.010343709,0.006921944,0.02049681,0.01,0.017907984,0.016041244,0.024075342,0.008061683,0.0182657,0.011458177,0.006713867,0.004791929,0.010205392
330.52,0.008253407,0.005363138,0.007265522,0.003951213,0.005260259,0.008788122,0.008494582,0.003620337,0.006190742,0.008573224,0.003593583,0.005055594,0.011844458,0.012868027,0.008645083,0.014391641,0.010244837,0.015657205,0.01141922,0.000278109,0.003072871,0.007347876,0.002044791,0.005349473,0.020252572,0.013013699,0.100652297,0.047152185,0.063983051,0.004424292,0.014841961,0.038030673,0.03257432,0.001651273,0.037187318,0.014918054,9.07E-05,0.002886881,0.0122738,0.016976086,0.012842007,0.008657491,0.050811209,0.03259735,0.026162791,0.011426901,0.000822481,0.006841764,0.004819922,0.015501561,0.007157464,0.013719827,0.012068966,0.018964041,0.006090182,0.014198286,0.009025379,0.003491211,0.002543085,0.006750107
390.04,0.006360424,0.003379572,0.00444738,0.002490154,0.002781603,0.005751739,0.005069659,0.002172202,0.003457892,0.00602137,0.002010695,0.00295344,0.007881406,0.009350014,0.006101901,0.01041456,0.006921078,0.011381305,0.008100736,7.95E-05,0.00166813,0.005442021,0.001006167,0.003631394,0.015357031,0.007191781,0.096908678,0.041778001,0.050947159,0.001772465,0.009825928,0.028984219,0.027545857,0.000447803,0.036401978,0.009226997,3.02E-05,0.001139042,0.006254917,0.013735053,0.010350448,0.006642729,0.050516224,0.028984344,0.022182469,0.008853801,0.00020562,0.004085603,0.003748828,0.012026605,0.005378323,0.010521972,0.009465855,0.015265411,0.004743314,0.011467847,0.007328428,0.001904297,0.001450189,0.004781772
460.27,0.006183746,0.002739,0.003500661,0.002096303,0.001624897,0.004266988,0.003560372,0.001699984,0.002137944,0.00512885,0.001454545,0.002171647,0.006108462,0.008014298,0.00525996,0.008586114,0.005334428,0.009464835,0.007009728,3.97E-05,0.001097454,0.005086108,0.000681597,0.002303788,0.012472716,0.003767123,0.061514464,0.03407333,0.031206381,0.000673262,0.005771874,0.020315626,0.021283997,0.000111951,0.036256545,0.005432959,0,0.000549882,0.003225806,0.012649465,0.010071021,0.006064233,0.042809735,0.022240064,0.016144902,0.007707602,0,0.002529183,0.004029991,0.011062848,0.005092025,0.009222199,0.008958756,0.014092466,0.004567636,0.010950005,0.007223307,0.001464844,0.001219,0.00436457
