size,440,441,442,443,444,456,457,458,459,460,484,485,486,487,488,446,447,448,449,450,451,452,453,454,455,461,462,463,464,465,466,467,468,469,470,471,472,476,477,478,479,480,481,482,490,491,492,493,494,VC-BER-20,VC-BER-21,VC-BER-31,VC-BER-22,VC-BER-23,VC-BER-24,VC-BER-25,VC-BER-26,VC-BER-28,VC-BER-29,VC-BER-27,VC-BER-30,95,96,97,98,100,105,106,107,108,109,111,112,114,GS
0.37,0.0008,0.00089,0.00083,0.00068,0.00077,0.00077,0.00075,0.00066,0.00064,0.00072,0.00081,0.00068,0.00047,0.00054,0.00069,0.00065,0.00087,0.00105,0.0008,0.00092,0.00075,0.00063,0.00072,0.00075,0.00053,0.00053,0.00068,0.00068,0.00064,0.00061,0.00057,0.0005,0.00045,0.00069,0.00062,0.0007,0.00065,0.00064,0.00058,0.00064,0.00067,0.00063,0.00069,0.00062,0.00061,0.00075,0.0007,0.00065,0.00057,0.001501801,0.001872626,0.001983153,0.001424741,0.001575825,0.001412669,0.000695191,0.000951027,0.001494435,0.001910535,0.001347709,0.001189726,0.000415831,0.000472048,0.000534171,0.000563043,0.000696537,0.000661654,0.000983284,0.001162301,0.001200447,0.001234425,0.001364901,0.001198518,0.000484008,0.000652703
0.44,0.00084,0.00094,0.00088,0.00071,0.00083,0.00082,0.00081,0.00071,0.0007,0.00079,0.0009,0.00074,0.0005,0.00058,0.00075,0.00071,0.00094,0.00114,0.00087,0.00101,0.00082,0.00067,0.0008,0.00084,0.00056,0.00057,0.00075,0.00074,0.0007,0.00067,0.00062,0.00054,0.00047,0.00075,0.00066,0.00077,0.00072,0.00067,0.00061,0.00069,0.00071,0.00067,0.00074,0.00067,0.00067,0.00075,0.00085,0.0007,0.00063,0.001680337,0.002021386,0.002140234,0.001484105,0.001506303,0.001469176,0.000684329,0.000992831,0.001617112,0.002007271,0.001363024,0.001049759,0.000430336,0.000491716,0.000565593,0.000599368,0.000726821,0.000695962,0.001021103,0.001162301,0.001173165,0.001234425,0.001259909,0.00114404,0.000484008,0.000664537
0.52,0.00091,0.00103,0.00096,0.00075,0.00092,0.0009,0.00091,0.00079,0.00079,0.00089,0.00103,0.00084,0.00058,0.00063,0.00085,0.00078,0.00104,0.00129,0.00098,0.00116,0.00093,0.00076,0.0009,0.001,0.00061,0.00064,0.00084,0.00084,0.00078,0.00077,0.00069,0.0006,0.00053,0.00084,0.00075,0.00087,0.00081,0.00073,0.00067,0.00076,0.00079,0.00074,0.00082,0.00075,0.00075,0.00089,0.00085,0.00078,0.00071,0.001953392,0.002240151,0.002375857,0.001573152,0.001413608,0.001525682,0.000673467,0.001055536,0.001817857,0.002160437,0.001378339,0.000886463,0.000454512,0.000524497,0.000597015,0.000653856,0.000772248,0.000740073,0.001077831,0.00117683,0.001145882,0.001195849,0.00110242,0.001035084,0.000497089,0.000696189
0.61,0.00101,0.00114,0.00108,0.00081,0.00105,0.00101,0.00105,0.00091,0.00092,0.00105,0.00123,0.00096,0.00067,0.00073,0.00098,0.00088,0.00118,0.00151,0.00114,0.00138,0.00109,0.00086,0.00108,0.00123,0.00066,0.00074,0.00098,0.001,0.0009,0.00089,0.00079,0.00069,0.0006,0.00096,0.00087,0.00101,0.00095,0.0008,0.00074,0.00087,0.00089,0.00083,0.00094,0.00087,0.00087,0.00102,0.001,0.0009,0.00082,0.002362974,0.002572674,0.002709655,0.00169188,0.001274564,0.001582189,0.000651742,0.001149593,0.002107822,0.002378093,0.001408968,0.000699839,0.000478689,0.000557278,0.000659859,0.000726507,0.000832816,0.000798886,0.001153468,0.00117683,0.001118599,0.001157273,0.000892435,0.00087165,0.000510171,0.000713249
0.72,0.00113,0.00128,0.00121,0.00088,0.00121,0.00114,0.00122,0.00105,0.00108,0.00126,0.00147,0.00112,0.00079,0.00083,0.00118,0.00101,0.00136,0.00178,0.00134,0.00166,0.0013,0.001,0.00132,0.00154,0.00073,0.00086,0.00116,0.0012,0.00107,0.00108,0.00091,0.00079,0.00068,0.00114,0.00103,0.0012,0.00114,0.00089,0.00082,0.00099,0.00101,0.00094,0.0011,0.00102,0.00102,0.00115,0.00129,0.00105,0.00098,0.002888079,0.003010203,0.003141629,0.001830396,0.001158695,0.001695203,0.000662604,0.001264553,0.00249816,0.002652178,0.001454913,0.000559871,0.0005077,0.000603172,0.000754124,0.000799157,0.000893384,0.000867502,0.001229105,0.00117683,0.00103675,0.001080122,0.000734947,0.000762693,0.000523252,0.000759147
0.85,0.00127,0.00145,0.00137,0.00097,0.00139,0.00131,0.00143,0.00122,0.00126,0.00149,0.00177,0.00132,0.00093,0.00095,0.00141,0.00116,0.00156,0.0021,0.00157,0.00198,0.00153,0.00116,0.00157,0.00187,0.00082,0.00098,0.00137,0.00143,0.00126,0.00128,0.00103,0.00089,0.00077,0.00135,0.00121,0.00141,0.00136,0.00099,0.00092,0.00114,0.00116,0.00108,0.00125,0.0012,0.00118,0.00141,0.00144,0.00124,0.00116,0.003434189,0.003535239,0.003632508,0.002028277,0.001181869,0.001864723,0.000727778,0.001452668,0.002955412,0.003006876,0.001562117,0.000559871,0.000546382,0.000655622,0.000816968,0.000871808,0.000969095,0.000950822,0.001323652,0.001205887,0.000982184,0.001041546,0.000629954,0.000653737,0.000549415,0.000830805
1.01,0.00153,0.00175,0.00164,0.00116,0.00167,0.00158,0.00173,0.00146,0.00152,0.00182,0.00216,0.00161,0.00114,0.00116,0.00173,0.00138,0.00188,0.00255,0.0019,0.00242,0.00185,0.00142,0.00194,0.00229,0.00098,0.00118,0.00166,0.00172,0.00155,0.00154,0.00121,0.00106,0.00091,0.00165,0.00144,0.00173,0.00167,0.00118,0.0011,0.00137,0.0014,0.0013,0.00151,0.00146,0.00146,0.00167,0.00187,0.00149,0.00141,0.004074817,0.004322792,0.004280469,0.002424039,0.001483129,0.002316777,0.000934163,0.001828899,0.003602257,0.003619537,0.001883729,0.000723167,0.000643087,0.00078019,0.000974077,0.000998947,0.001135658,0.001137065,0.001531654,0.001380232,0.001091316,0.001157273,0.000734947,0.000762693,0.000667146,0.001002437
1.19,0.00214,0.00245,0.00229,0.0016,0.00233,0.00221,0.00243,0.00202,0.00212,0.00252,0.00305,0.00231,0.00158,0.00161,0.00247,0.00192,0.00264,0.00358,0.00268,0.00339,0.00258,0.00197,0.00268,0.0032,0.00136,0.00161,0.0023,0.00238,0.00214,0.00211,0.00163,0.00143,0.00122,0.00231,0.00199,0.00239,0.00233,0.00164,0.00152,0.0019,0.00196,0.00179,0.0021,0.00202,0.00204,0.00242,0.00258,0.00207,0.00196,0.005566116,0.005950402,0.005713837,0.003324396,0.002224694,0.003333898,0.00137952,0.002654516,0.00499632,0.004957718,0.002649473,0.001119742,0.000899354,0.001088332,0.001319717,0.001380363,0.001544495,0.001592872,0.002080024,0.001888739,0.001500559,0.001581607,0.00110242,0.001089562,0.000941854,0.001369604
1.4,0.00321,0.00368,0.00343,0.00235,0.00352,0.00331,0.00368,0.00304,0.00319,0.00379,0.0047,0.00363,0.00243,0.00243,0.00382,0.00289,0.004,0.00549,0.00411,0.00521,0.00393,0.00298,0.00407,0.00498,0.00199,0.00239,0.00349,0.00363,0.00317,0.00312,0.00238,0.0021,0.00173,0.00344,0.00299,0.00358,0.00347,0.00245,0.00227,0.00287,0.00295,0.00267,0.00314,0.00302,0.00314,0.00369,0.00399,0.00314,0.00303,0.008569718,0.008750591,0.008207505,0.004818395,0.003337041,0.005029101,0.002009537,0.004044479,0.007483327,0.007190707,0.003874663,0.001562974,0.001334526,0.001619385,0.001916732,0.002034218,0.002271316,0.002381956,0.002987671,0.002687821,0.002128066,0.002275971,0.001679878,0.001634343,0.00141278,0.001952382
