Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L),LAB ID
8/3/2022 14:30,0,2.927,0.002,0.023,0,1.82,2.804,
8/3/2022 15:02,206.82,57.7261,0.0149059,0.099315,0.48,6.78435168,4.913,95
8/3/2022 15:17,142.53,48.0648,0.0715306,0.1012671,0.4,5.715475869,6.55,96
8/3/2022 15:47,55.06,55.0037,0.0543716,0.0856503,0.14,5.190304398,8.035,97
8/3/2022 16:17,66.04,45.164,,,,5.458811589,8.691,98
8/3/2022 18:02,39.15,17.4259,,,,2.088218023,8.124,99
8/3/2022 18:17,23.32,11.4463,0.0286331,0.0446562,0.08,3.149352109,8.073,100
8/3/2022 19:02,0,6.5306,,,,2.160152022,3.128,101
