storm,HI10,HI20,HI30,HI40,HI50,HI60,HI70,HI80,HI90,HI_avg
st1_down,-0.32228343129496184,-0.6796098123644531,-0.8060831741613768,-0.7794270086872181,-0.570475805857156,-0.5082170362324899,-0.6473759205227715,-0.7294136066115307,-0.5652963762790983,-0.6231313524456729
st1_up,-0.14590028836376134,-0.6175742289924349,-0.7520208583190671,-0.7116498067504602,-0.574419258763484,-0.5495255525363366,-0.6487924542668545,-0.745644977242182,-0.6014585057602987,-0.5941095478883199
st2_down,-0.9526778917668572,-0.9155821623925187,-0.8932797744272067,-0.8608227692746162,-0.8245584990080815,-0.7997174994505395,-0.7637560551918343,-0.7038965743797044,-0.6583188168040645,-0.8191788936328248
st2_up,,,,,,,,,,
st3_down,-0.987081781231441,-0.8750021155669164,-0.8399789324874092,-0.7991116782275507,-0.7776394635611876,-0.759336164396857,-0.7391686370781723,-0.6415402928342502,-0.48072425391963713,-0.7666203688114913
st3_up,,,,,,,,,,
st4_down,-1.1085068973715115,-0.8179540225969707,-0.8436556461104484,-0.8592877343176453,-0.9164113484109624,-0.9890721653799582,-0.9994422203211132,-0.37518188879047243,-0.2088781614140568,-0.7909322316347933
st4_up,-0.48717273292956964,-0.7546254108657875,-0.6248530559881721,-0.5787434808833853,-0.6444578438159552,-0.6279596039769895,-0.6143412028855523,-0.24800260066432855,-0.13403687233505113,-0.5237992004827546
st5_down,-0.9843481612263403,-0.3172248735177058,-0.24543526134289884,-0.17262871144839065,-0.12098801511477875,-0.0891703518546777,-0.09061182185432115,0.1814305490751087,0.37015368470605425,-0.16320255139755002
st5_up,,,,,,,,,,
st6_down,-0.8977108782202274,-0.8528842384634568,-0.836706502897059,-0.8097143660482182,-0.7847774194570936,-0.7617744360977832,-0.7447822655666827,-0.6149505329394032,-0.43460876582565333,-0.748656600612842
st6_up,,,,,,,,,,
st7_down,,,,,,,,,,
st7_up,-0.9986312858758376,-0.7866499295807239,-0.777010035338877,-0.7733278651663389,-0.7589480834649658,-0.4351962909984677,-0.2676726611557452,0.2585556089759652,0.1205999801742722,-0.49092006249230213
