storm,HI10,HI20,HI30,HI40,HI50,HI60,HI70,HI80,HI90,HI_avg
st1_down,0.4729008897435517,-0.7049638247569896,-0.3273881400460047,0.5195628323842236,0.26654667808256927,0.31482076579055873,0.5238684333153449,0.7331476325747539,0.6358767079187422,0.27048577500075
st1_up,0.40591713306808075,0.28104360842677656,0.32147752218808445,0.5576893047216056,0.541500872594741,0.6119371629018374,0.7598078860254974,0.803025546375346,0.7162840204505302,0.5554092285280555
st2_down,0.9019696419810291,0.8585052572725415,0.7939563397041518,0.7460052685024101,0.7338607838626026,0.6678519609737573,0.5649288737257868,0.35152614802665283,0.4077810308348203,0.6695983672093058
st2_up,,,,,,,,,,
st3_down,-0.8579334737021748,0.018829939794481,0.45704596467120084,0.5174960848541518,0.16963312305214173,0.1421178157454589,0.04546484158174613,0.15622622209885606,0.26727646822124573,0.10179522070190082
st3_up,,,,,,,,,,
st4_down,-10.698989596317976,0.3954443441669716,0.49176180719073626,0.3716917977990304,0.261783649218973,0.3062505896649471,0.32052329059046436,0.2412603800486004,0.13489266040712988,-0.9083756752479023
st4_up,0.9438504256613153,0.36808555938949716,-0.31103939670048353,0.22943152116876853,0.5292168153429633,0.39717794314141064,0.3918499801475749,0.2863212809299934,0.1662921098814084,0.3334651376624942
st5_down,-0.14886276838056633,0.8913799719957665,0.7972041840218268,0.7300108017246922,0.7185010537123581,0.6898614003968013,0.5221183034796284,0.6023382315813851,0.6189317028688339,0.602386986822303
st5_up,,,,,,,,,,
st6_down,0.48548523560000056,0.5768332705941,0.5749618958580567,0.39458493035110864,0.40647074977609554,0.4156194674933752,-0.21087004466643477,-0.40826266327981364,-0.2883822135398154,0.21627118090963027
st6_up,,,,,,,,,,
st7_down,,,,,,,,,,
st7_up,-0.920091521558547,0.6182209451012348,0.603162833112095,0.5710961844482261,0.4013316702415859,0.3953509195316426,0.17414435769511427,-0.25409913211683943,-0.10724511667773295,0.16465234886408656
