Lab ID,Date_Time,Depth,SSC (uL/L),SSC (mg/L),DOC (mg/L),POC (mg/L)
1,8/2/2022 11:57,9.275,97.69,167.0441676,2.64,10.97452421
2,8/2/2022 11:57,22.75,347.61,145.0786205,2.384,12.33049707
3,8/2/2022 11:57,19.25,191.85,76.13788487,2.284,
4,8/2/2022 11:57,16.1,176.97,47.96768493,2.423,4.967149112
5,8/2/2022 11:57,13.884,127.27,67.32607431,2.488,8.8903535
6,8/2/2022 11:58,12.775,83.04,61.26842192,2.473,
7,8/2/2022 11:58,12.134,68.69,40.78235539,2.314,
8,8/2/2022 11:58,11.959,62.04,43.3502372,2.402,
9,8/2/2022 11:58,11.959,61.07,37.34129948,2.278,
10,8/2/2022 11:58,11.784,48.37,22.21308104,2.273,
11,8/2/2022 11:58,11.959,29.69,20.67311668,2.301,
12,8/2/2022 11:59,11.667,28.69,12.54810105,2.313,3.241598213
13,8/2/2022 11:59,11.492,22.43,10.72695767,2.308,
14,8/2/2022 11:59,11.667,0,6.58436214,2.214,
