Lab ID,Date_Time,Depth,SSC (uL/L),SSC (mg/L),DOC (mg/L),POC (mg/L),PP (mg/L),SRP (mg/L),TP (mg/L)
1,8/2/2022 11:57:09,9.275,97.69,167.0441676,2.64,10.97452421,0.010039344,0.0245715,0.0601808
2,8/2/2022 11:57:21,22.75,347.61,145.0786205,2.384,12.33049707,0.022338386,0.0174983,0.0365312
3,8/2/2022 11:57:32,19.25,191.85,76.13788487,2.284,,0.009809976,0.0210349,0.0328928
4,8/2/2022 11:57:42,16.1,176.97,47.96768493,2.423,4.967149112,0.010318701,0.0298764,0.0328928
5,8/2/2022 11:57:53,13.884,127.27,67.32607431,2.488,8.8903535,0.006210156,0.0263398,0.034712
6,8/2/2022 11:58:04,12.775,83.04,61.26842192,2.473,,0.005242666,0.0281081,0.089288
7,8/2/2022 11:58:14,12.134,68.69,40.78235539,2.314,,0.003299688,0.0281081,0.0383504
8,8/2/2022 11:58:25,11.959,62.04,43.3502372,2.402,,0.002600539,0.0298764,0.034712
9,8/2/2022 11:58:34,11.959,61.07,37.34129948,2.278,,0.002618501,0.0245715,0.0401696
10,8/2/2022 11:58:44,11.784,48.37,22.21308104,2.273,,0.004368928,0.0281081,0.0383504
11,8/2/2022 11:58:54,11.959,29.69,20.67311668,2.301,,0.003117393,0.0263398,0.0328928
12,8/2/2022 11:59:04,11.667,28.69,12.54810105,2.313,3.241598213,0.002571158,0.0192666,0.0365312
13,8/2/2022 11:59:13,11.492,22.43,10.72695767,2.308,,0.002600539,0.0210349,0.034712
14,8/2/2022 11:59:24,11.667,0,6.58436214,2.214,,0.002288628,0.0228032,0.0383504
