Lab ID,Date_Time,Depth,SSC (uL/L),SSC (mg/L),DOC (mg/L),POC (mg/L),PP (mg/L),SRP (mg/L),TP (mg/L)
44,8/3/2022 10:35:16,5.308,90.23,70.55388857,2.183,8.357296429,,,
45,8/3/2022 10:35:46,13.533,526.33,287.8289474,2.118,24.66015094,,,
46,8/3/2022 10:35:51,14.816,360.745,200.0498049,2.073,16.60466516,,,
47,8/3/2022 10:35:56,21.291,168.16,112.4602722,2.029,10.35949365,,,
48,8/3/2022 10:36:01,18.141,165.58,111.4662733,2.078,,,,
49,8/3/2022 10:36:07,15.925,161.72,79.80911634,2.164,9.283897156,,,
50,8/3/2022 10:36:15,14,132.56,80.49281314,2.172,,,,
51,8/3/2022 10:36:25,11.783,131.23,69.47316186,2.303,,,,
52,8/3/2022 10:36:36,10.558,94.15,54.02750491,2.289,,,,
53,8/3/2022 10:36:47,10.383,77.58,44.10683656,2.189,5.254678427,,,
54,8/3/2022 10:36:57,9.916,61.94,33.53234645,2.283,,,,
55,8/3/2022 10:37:07,9.741,48.68,23.14432138,2.202,,,,
