storm,HI10,HI20,HI30,HI40,HI50,HI60,HI70,HI80,HI90,HI_avg
st1_down,0.47290088970202093,-0.7049638248605432,-0.32738814034700947,0.51956283221991,0.2665466783059739,0.3148207655998424,0.5238684331556671,0.7331476325645048,0.6358767078884371,0.27048577491431147
st1_up,0.40591713282926045,0.28104360830948394,0.32147752215596825,0.5576893046095729,0.5415008725905188,0.6119371628175341,0.7598078858984227,0.8030255463784739,0.716284020492931,0.5554092284535739
st2_down,-0.34351365505047715,0.46376972614663114,0.4846684709641169,0.48813107002962697,0.47114985579461754,0.7752518674062447,0.6855098594639363,0.4617306769148304,0.4269583132524488,0.4348506872135529
st2_up,,,,,,,,,,
st3_down,-0.6111128595273336,-0.342773380223821,0.4210852241100477,0.31917940153961044,0.1568162828645353,0.13117562604800093,0.019872165829420085,0.17939275925893394,0.2653035571638154,0.05988208634035657
st3_up,,,,,,,,,,
st4_down,-9.485884255559148,0.38491721554524616,0.4831656116480054,0.3662042080120187,0.2588056010752702,0.3034556020577853,0.31791479952234203,0.23923484110790105,0.13369706271361448,-0.7776099237641072
st4_up,-0.7417312772392898,0.3680855593319068,-0.311039396750854,0.2294315206001567,0.5292168153315713,0.39717794293098174,0.3918499800331481,0.28632128099592935,0.16629210992890764,0.14617828168471755
st5_down,-0.14886277208164844,0.891379971999119,0.7972041839927844,0.7300108016751795,0.7185010536525078,0.6898614003291771,0.5221183033700575,0.602338231373355,0.6189317028805492,0.6023869863545646
st5_up,,,,,,,,,,
st6_down,0.4854852352658523,0.5768332705338477,0.5749618956627114,0.3945849303416442,0.40647074956550444,0.415619467392241,-0.21087004522376163,-0.4082626633072739,-0.2883822136533326,0.21627118073082585
st6_up,,,,,,,,,,
st7_down,,,,,,,,,,
st7_up,-0.9200915214413491,0.61822094508853,0.6031628330976142,0.5710961844121623,0.4013316702058848,0.39535091949802814,0.17414435764258052,-0.25409913219744984,-0.10724511669856462,0.16465234884527072
