Date,Site
7/23/2021 15:50,Downstream
7/23/2021 16:09,Downstream
7/23/2021 16:40,Downstream
7/23/2021 16:55,Downstream
7/23/2021 19:19,Downstream
7/23/2021 21:02,Upstream
7/23/2021 14:54,Upstream
7/23/2021 15:02,Upstream
7/23/2021 16:13,Upstream
7/23/2021 16:58,Upstream
7/23/2021 17:58,Upstream
7/23/2021 20:13,Upstream
8/3/2022 15:02,Upstream
8/3/2022 15:17,Upstream
8/3/2022 15:47,Upstream
8/3/2022 16:17,Upstream
8/3/2022 18:02,Upstream
8/3/2022 18:17,Upstream
8/3/2022 19:02,Upstream
8/8/2022 13:43,Upstream
8/8/2022 13:58,Upstream
8/8/2022 14:13,Upstream
8/8/2022 14:28,Upstream
8/8/2022 14:43,Upstream
8/8/2022 15:23,Upstream
8/8/2022 16:13,Upstream
8/8/2022 16:43,Upstream
8/8/2022 16:58,Upstream
8/8/2022 17:28,Upstream
8/8/2022 17:58,Upstream
8/8/2022 18:13,Upstream
7/29/2023 14:52,Downstream
7/29/2023 15:07,Downstream
7/29/2023 15:22,Downstream
7/29/2023 15:37,Downstream
7/29/2023 15:52,Downstream
7/29/2023 16:07,Downstream
7/29/2023 16:22,Downstream
7/29/2023 15:16,Upstream
7/29/2023 15:31,Upstream
7/29/2023 15:46,Upstream
7/29/2023 16:01,Upstream
7/29/2023 16:16,Upstream
7/29/2023 16:31,Upstream
7/29/2023 16:46,Upstream
7/29/2023 17:16,Upstream
7/29/2023 17:46,Upstream
7/29/2023 18:31,Upstream
8/13/2023 18:45,Downstream
8/13/2023 18:58,Downstream
8/13/2023 19:02,Downstream
8/13/2023 19:10,Downstream
8/13/2023 21:02,Downstream
8/13/2023 19:00,Upstream
8/13/2023 19:15,Upstream
8/13/2023 19:30,Upstream
8/13/2023 19:45,Upstream
8/13/2023 20:00,Upstream
8/13/2023 20:15,Upstream
8/13/2023 20:30,Upstream
8/13/2023 20:45,Upstream
8/13/2023 21:00,Upstream
8/13/2023 21:15,Upstream
8/13/2023 21:30,Upstream
8/13/2023 21:45,Upstream
8/13/2023 22:00,Upstream
8/28/2023 12:20,Downstream
8/28/2023 12:35,Downstream
8/28/2023 12:50,Downstream
8/28/2023 13:05,Downstream
8/28/2023 13:20,Downstream
8/28/2023 14:05,Downstream
8/28/2023 14:35,Downstream
8/28/2023 15:20,Downstream
9/14/2023 17:52,Upstream
9/14/2023 18:07,Upstream
9/14/2023 18:22,Upstream
9/14/2023 18:37,Upstream
9/14/2023 18:52,Upstream
9/14/2023 19:09,Upstream
9/14/2023 17:45,Upstream
9/14/2023 18:00,Upstream
9/14/2023 18:15,Upstream
9/14/2023 18:45,Upstream
9/14/2023 19:15,Upstream
9/14/2023 20:00,Upstream
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
