Date,Site
4/15/2023 12:30,Downstream
4/15/2023 16:30,Downstream
4/15/2023 20:30,Downstream
4/16/2023 0:30,Downstream
4/16/2023 12:30,Downstream
4/16/2023 16:30,Downstream
4/17/2023 0:30,Downstream
4/17/2023 4:30,Downstream
4/17/2023 8:30,Downstream
4/17/2023 12:30,Downstream
4/17/2023 16:30,Downstream
4/17/2023 20:30,Downstream
4/18/2023 0:30,Downstream
4/18/2023 4:30,Downstream
4/18/2023 8:30,Downstream
4/18/2023 12:30,Downstream
4/18/2023 16:30,Downstream
4/18/2023 21:30,Downstream
4/19/2023 2:30,Downstream
4/19/2023 7:30,Downstream
4/19/2023 12:30,Downstream
4/20/2023 16:00,Downstream
4/20/2023 18:30,Downstream
4/20/2023 23:30,Downstream
4/21/2023 4:30,Downstream
4/21/2023 9:30,Downstream
4/21/2023 14:30,Downstream
4/23/2023 16:00,Downstream
4/23/2023 21:00,Downstream
4/24/2023 2:00,Downstream
4/24/2023 7:00,Downstream
4/24/2023 12:00,Downstream
4/24/2023 17:00,Downstream
4/24/2023 22:00,Downstream
4/25/2023 3:00,Downstream
4/25/2023 8:00,Downstream
4/25/2023 13:00,Downstream
4/25/2023 18:00,Downstream
4/25/2023 23:00,Downstream
4/26/2023 4:00,Downstream
4/26/2023 14:00,Downstream
4/26/2023 19:00,Downstream
4/27/2023 0:00,Downstream
4/27/2023 5:00,Downstream
4/27/2023 10:00,Downstream
4/27/2023 15:00,Downstream
4/27/2023 20:00,Downstream
4/28/2023 1:00,Downstream
4/28/2023 6:00,Downstream
4/28/2023 11:00,Downstream
4/28/2023 16:00,Downstream
4/28/2023 21:00,Downstream
4/29/2023 2:00,Downstream
4/29/2023 7:00,Downstream
4/29/2023 12:00,Downstream
4/29/2023 17:00,Downstream
4/29/2023 22:00,Downstream
4/30/2023 3:00,Downstream
4/30/2023 8:00,Downstream
4/30/2023 13:00,Downstream
4/30/2023 18:00,Downstream
4/30/2023 23:00,Downstream
5/1/2023 4:00,Downstream
5/1/2023 9:00,Downstream
5/1/2023 14:00,Downstream
5/1/2023 20:00,Downstream
5/2/2023 3:00,Downstream
5/2/2023 10:00,Downstream
5/2/2023 17:00,Downstream
5/3/2023 0:00,Downstream
5/3/2023 7:00,Downstream
5/3/2023 14:00,Downstream
5/3/2023 20:00,Downstream
5/3/2023 23:00,Downstream
5/4/2023 2:00,Downstream
5/4/2023 5:00,Downstream
5/4/2023 8:00,Downstream
5/4/2023 11:00,Downstream
5/4/2023 2:00,Downstream
5/4/2023 17:00,Downstream
5/4/2023 23:00,Downstream
5/5/2023 2:00,Downstream
4/17/2023 16:30,Upstream
4/17/2023 20:30,Upstream
4/18/2023 0:30,Upstream
4/18/2023 4:30,Upstream
4/18/2023 8:30,Upstream
4/18/2023 12:30,Upstream
4/18/2023 16:30,Upstream
4/18/2023 21:30,Upstream
4/19/2023 2:30,Upstream
4/19/2023 7:30,Upstream
4/19/2023 12:30,Upstream
4/19/2023 17:30,Upstream
4/19/2023 22:30,Upstream
4/20/2023 3:30,Upstream
4/20/2023 8:30,Upstream
4/20/2023 18:30,Upstream
4/20/2023 23:30,Upstream
4/21/2023 9:30,Upstream
4/21/2023 14:30,Upstream
4/21/2023 19:30,Upstream
4/22/2023 0:30,Upstream
4/22/2023 5:30,Upstream
4/22/2023 10:30,Upstream
4/22/2023 15:30,Upstream
4/22/2023 20:30,Upstream
4/23/2023 1:30,Upstream
4/23/2023 11:30,Upstream
4/23/2023 16:00,Upstream
4/23/2023 21:00,Upstream
4/24/2023 2:00,Upstream
4/24/2023 7:00,Upstream
4/24/2023 12:00,Upstream
4/24/2023 17:00,Upstream
4/24/2023 22:00,Upstream
4/25/2023 3:00,Upstream
4/25/2023 13:00,Upstream
4/25/2023 18:00,Upstream
4/26/2023 13:30,Upstream
4/26/2023 19:00,Upstream
4/27/2023 0:00,Upstream
4/27/2023 5:00,Upstream
4/27/2023 10:00,Upstream
4/27/2023 15:00,Upstream
4/27/2023 20:00,Upstream
4/28/2023 1:00,Upstream
4/28/2023 6:00,Upstream
4/28/2023 11:00,Upstream
4/28/2023 16:00,Upstream
4/28/2023 21:00,Upstream
4/29/2023 2:00,Upstream
4/29/2023 12:00,Upstream
4/29/2023 17:00,Upstream
4/29/2023 22:00,Upstream
4/30/2023 3:00,Upstream
4/30/2023 8:00,Upstream
4/30/2023 13:00,Upstream
4/30/2023 18:00,Upstream
4/30/2023 23:00,Upstream
5/1/2023 4:00,Upstream
5/1/2023 9:00,Upstream
5/1/2023 14:00,Upstream
5/1/2023 20:00,Upstream
5/2/2023 3:00,Upstream
5/2/2023 10:00,Upstream
5/2/2023 17:00,Upstream
5/3/2023 0:00,Upstream
5/3/2023 7:00,Upstream
5/3/2023 14:00,Upstream
5/3/2023 20:00,Upstream
5/3/2023 23:00,Upstream
5/4/2023 2:00,Upstream
5/4/2023 5:00,Upstream
5/4/2023 8:00,Upstream
5/4/2023 11:00,Upstream
5/4/2023 14:00,Upstream
5/4/2023 17:00,Upstream
5/4/2023 20:00,Upstream
5/4/2023 23:00,Upstream
5/5/2023 2:00,Upstream
5/5/2023 5:00,Upstream
5/5/2023 8:00,Upstream
5/5/2023 11:00,Upstream
5/5/2023 14:00,Upstream
5/5/2023 17:00,Upstream
