Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average
2022-07-30 00:00:00,,,,,,,,,
2022-07-30 00:15:00,-0.7161680000003798,-0.7687770000002274,-0.7424725000003036,-0.7338469999999688,-0.4138039999998,-0.5738254999998844,-1.0133759999998802,-0.4448989999996229,-0.7291374999997515
2022-07-30 00:30:00,-0.711109999999735,-0.7658590000000913,-0.7384844999999132,-0.7331440000002658,-0.41263500000013664,-0.5728895000002012,-1.012079999999969,-0.44139999999970314,-0.7267399999998361
2022-07-30 00:45:00,-0.7087089999999989,-0.7694860000001427,-0.7390975000000708,-0.7350780000001578,-0.4145379999999932,-0.5748080000000755,-1.017493999999715,-0.4427419999997255,-0.7301179999997203
2022-07-30 01:00:00,-0.7240130000000136,-0.7765199999998913,-0.7502664999999524,-0.7303780000002007,-0.41231500000003507,-0.5713465000001179,-1.001792000000023,-0.4366829999999027,-0.7192374999999629
2022-07-30 01:15:00,-0.7201230000000578,-0.7747709999998733,-0.7474469999999656,-0.7325940000000628,-0.4140650000003916,-0.5733295000002272,-1.0074939999999515,-0.44018199999982244,-0.723837999999887
2022-07-30 01:30:00,-0.720122000000174,-0.780844999999772,-0.750483499999973,-0.730844000000161,-0.4149480000000949,-0.572896000000128,-1.0039959999999155,-0.43702099999973143,-0.7205084999998235
2022-07-30 01:45:00,-0.7183129999998528,-0.7781519999998636,-0.7482324999998582,-0.7333710000002611,-0.414553000000069,-0.5739620000001651,-1.0076629999998659,-0.43640699999969,-0.7220349999997779
2022-07-30 02:00:00,-0.7204550000001291,-0.7781529999997474,-0.7493039999999382,-0.7311560000002828,-0.412804000000051,-0.5719800000001669,-1.0072089999998752,-0.43815700000004654,-0.7226829999999609
2022-07-30 02:30:00,-0.7169549999998708,-0.7820299999998497,-0.7494924999998602,-0.729406000000381,-0.41325400000005175,-0.5713300000002164,-1.0037090000000717,-0.43340699999998833,-0.71855800000003
2022-07-30 03:00:00,-0.7184440000000905,-0.7885909999999967,-0.7535175000000436,-0.7326370000000679,-0.41521099999999933,-0.5739240000000336,-1.008104000000003,-0.4322950000000674,-0.7201995000000352
2022-07-30 03:15:00,-0.7133850000000166,-0.7848579999999856,-0.7491215000000011,-0.7336830000003829,-0.4155470000000605,-0.5746150000002217,-1.0103070000000116,-0.43243299999994633,-0.721369999999979
2022-07-30 03:30:00,-0.7147420000001148,-0.7915250000000924,-0.7531335000001036,-0.7353190000003451,-0.41643500000009226,-0.5758770000002187,-1.0107629999997698,-0.42810000000008586,-0.7194314999999278
2022-07-30 03:45:00,-0.7163030000001527,-0.7902349999999387,-0.7532690000000457,-0.7331030000000283,-0.4157010000003538,-0.574402000000191,-1.0085589999998774,-0.4302659999998468,-0.7194124999998621
2022-07-30 04:00:00,-0.7141599999999926,-0.7943230000000767,-0.7542415000000346,-0.7335700000003271,-0.4169210000000021,-0.5752455000001646,-1.0107629999997698,-0.4295729999998912,-0.7201679999998305
2022-07-30 04:15:00,-0.712992000000213,-0.7956140000001142,-0.7543030000001636,-0.7289009999999507,-0.4129859999998189,-0.5709434999998848,-1.009592999999768,-0.4279870000000301,-0.718789999999899
2022-07-30 04:30:00,-0.7091009999999187,-0.7974920000001475,-0.7532965000000331,-0.7311160000003838,-0.41663900000003196,-0.5738775000002079,-1.0112159999998767,-0.4281590000000506,-0.7196874999999636
2022-07-30 04:45:00,-0.7069609999998647,-0.7982019999999466,-0.7525814999999056,-0.7333330000001297,-0.41737200000034136,-0.5753525000002355,-1.014002999999775,-0.4265740000000733,-0.7202884999999242
2022-07-30 05:15:00,-0.704819999999927,-0.7998470000002271,-0.752333500000077,-0.7355489999999918,-0.41961200000014287,-0.5775805000000673,-1.0173760000002403,-0.4274639999998726,-0.7224200000000565
2022-07-30 05:45:00,-0.711243000000195,-0.803487000000132,-0.7573650000001635,-0.7324020000000928,-0.416899000000285,-0.5746505000001889,-1.0095949999999903,-0.4222620000000461,-0.7159285000000182
2022-07-30 06:00:00,-0.7116359999999986,-0.8034889999998995,-0.7575624999999491,-0.7336850000001505,-0.42039999999997235,-0.5770425000000614,-1.0073910000000978,-0.42401299999983166,-0.7157019999999648
2022-07-30 06:15:00,-0.7129930000000968,-0.8076969999997345,-0.7603449999999157,-0.7341529999998784,-0.41938299999992523,-0.5767679999999018,-1.0107669999997597,-0.42301499999985026,-0.716890999999805
2022-07-30 06:45:00,-0.7183759999998074,-0.8068819999998595,-0.7626289999998335,-0.7308500000003733,-0.4191399999999703,-0.5749950000001718,-1.0005049999999756,-0.42198400000006586,-0.7112445000000207
2022-07-30 07:15:00,-0.7118940000000293,-0.8101550000001225,-0.7610245000000759,-0.7281240000002072,-0.41953600000033475,-0.573830000000271,-1.002418999999918,-0.4225980000001073,-0.7125085000000126
2022-07-30 07:30:00,-0.708393000000342,-0.812956000000213,-0.7606745000002775,-0.7312739999997575,-0.42002400000001217,-0.5756489999998848,-1.0107820000002903,-0.42232400000011694,-0.7165530000002036
2022-07-30 07:45:00,-0.7007969999999659,-0.8176390000003266,-0.7592180000001463,-0.7297650000000431,-0.4200780000001032,-0.5749215000000731,-1.0144980000000032,-0.4204589999999371,-0.7174784999999702
2022-07-30 08:00:00,-0.6990490000002865,-0.8148490000003221,-0.7569490000003043,-0.7332639999999628,-0.42081000000007407,-0.5770370000000185,-1.0162470000000212,-0.4182909999999538,-0.7172689999999875
2022-07-30 08:15:00,-0.7011880000000019,-0.8149680000001354,-0.7580780000000686,-0.7292990000000827,-0.4185749999996915,-0.5739369999998871,-1.014042000000245,-0.42031600000018443,-0.7171790000002147
2022-07-30 08:30:00,-0.6954749999999876,-0.8149690000000192,-0.7552220000000034,-0.730544000000009,-0.4185749999996915,-0.5745594999998502,-1.0199280000001636,-0.4203170000000682,-0.7201225000001159
2022-07-30 09:15:00,-0.7117630000002464,-0.8174269999999524,-0.7645950000000994,-0.7294529999999213,-0.4210570000000189,-0.5752549999999701,-1.0025840000002972,-0.4181490000000849,-0.7103665000001911
2022-07-30 09:30:00,-0.7097520000002078,-0.8173070000002554,-0.7635295000002316,-0.730935000000045,-0.4215429999999287,-0.5762389999999868,-1.0069790000002286,-0.4196230000002288,-0.7133010000002287
2022-07-30 09:45:00,-0.709751000000324,-0.8215160000004289,-0.7656335000003764,-0.7303549999996903,-0.4234470000001238,-0.5769009999999071,-1.0052290000003268,-0.41920600000003105,-0.7122175000001789
2022-07-30 10:15:00,-0.7100150000001122,-0.8177780000000894,-0.7638965000001008,-0.730623999999807,-0.4220399999999245,-0.5763319999998657,-1.0054949999998826,-0.4193470000000161,-0.7124209999999493
2022-07-30 10:30:00,-0.7093610000001718,-0.820234000000255,-0.7647975000002134,-0.732571999999891,-0.42102299999987736,-0.5767974999998842,-1.0091850000003433,-0.41602000000011685,-0.7126025000002301
2022-07-30 10:45:00,-0.7097520000002078,-0.8219859999999244,-0.7658690000000661,-0.7274379999998928,-0.41985399999975925,-0.573645999999826,-1.0063909999998941,-0.4189299999998184,-0.7126604999998563
2022-07-30 11:15:00,-0.7101430000002438,-0.8226950000002944,-0.7664190000002691,-0.7269699999997101,-0.42058799999995244,-0.5737789999998313,-1.0030260000003182,-0.41735300000027564,-0.7101895000002969
2022-07-30 11:45:00,-0.7097499999999854,-0.8267960000002859,-0.7682730000001357,-0.729186000000027,-0.42180999999982305,-0.575497999999925,-1.0052300000002106,-0.41490699999985736,-0.710068500000034
2022-07-30 12:00:00,-0.7072190000003502,-0.8267960000002859,-0.767007500000318,-0.7301189999998314,-0.42006099999980506,-0.5750899999998182,-1.0125490000000354,-0.41606799999999566,-0.7143085000000156
2022-07-30 12:15:00,-0.707611999999699,-0.8225879999999961,-0.7650999999998476,-0.7314029999997729,-0.4210779999998522,-0.5762404999998125,-1.010935000000245,-0.4170750000002954,-0.7140050000002702
2022-07-30 12:30:00,-0.7073529999997845,-0.8245779999997467,-0.7659654999997656,-0.734621000000061,-0.4242349999999533,-0.5794280000000072,-1.0135549999999967,-0.4180940000001101,-0.7158245000000534
