,Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average
min,2022-07-30 00:00:00,-0.7573020000004362,-0.9022990000003119,-0.8298005000003741,-0.7933729999999741,-0.4289899999998852,-0.5896635000001424,-1.225427999999738,-0.4448989999996229,-1.1015739999998004
max,2022-09-17 00:00:00,-0.6820579999998699,-0.7132329999999456,-0.7158454999998867,-0.49540799999977025,-0.1948499999998603,-0.3470174999997653,-0.6814859999999499,-0.2252330000001166,-0.49538849999999
mean,2022-08-23 18:56:19.350061568,-0.7159480509554165,-0.8445950382165625,-0.7802715445859895,-0.7588316616977456,-0.36199196604556566,-0.5604118138716556,-1.1042832224989583,-0.2947876283222605,-0.6997028779576575
