,Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average
min,2023-03-02 00:00:00,-0.677878999999848,-0.9719770000001517,-0.797081000000162,-0.8396200000001954,-0.3100960000001578,-0.5606754999998884,-1.5239090000000033,-0.28177499999992506,-1.480735999999979
max,2023-06-18 23:45:00,-0.07146699999975681,-0.23931100000027072,-0.11293000000023312,-0.3520260000000235,0.07111899999972593,-0.16145799999981136,-0.49143099999992046,-0.040516999999908876,-0.38264749999984815
mean,2023-04-27 06:17:01.105748224,-0.31802349202867425,-0.6513027400526714,-0.48462374403979147,-0.6912169561146857,-0.13726870440251746,-0.41420815189410587,-1.2992604990492893,-0.15383966520339132,-0.7267824481497708
