Date_Time,P1_WSE,P1_gw_left,P1_gw_right,P1_h_left,P1_h_right,P1_h_average
2023-03-02 00:00:00,2721.855064,2721.28193,2720.905766,-0.5731339999997545,-0.9492979999999989,-0.7612159999998767
2023-03-02 00:15:00,2721.856814,2721.28115,2720.905887,-0.5756640000004154,-0.9509270000003198,-0.7632955000003676
2023-03-02 00:30:00,2721.859733,2721.284069,2720.909514,-0.5756639999999607,-0.9502189999998336,-0.7629414999998971
2023-03-02 00:45:00,2721.859733,2721.28057,2720.907764,-0.5791629999998804,-0.9519689999997354,-0.7655659999998079
2023-03-02 01:00:00,2721.860322,2721.282187,2720.907871,-0.5781350000002021,-0.9524510000001101,-0.7652930000001561
2023-03-02 01:15:00,2721.857983,2721.280168,2720.907754,-0.5778150000001006,-0.9502290000000357,-0.7640220000000681
2023-03-02 01:30:00,2721.859733,2721.284447,2720.909504,-0.5752859999997781,-0.950228999999581,-0.7627574999996796
2023-03-02 01:45:00,2721.859733,2721.281597,2720.909738,-0.5781359999996312,-0.9499949999999444,-0.7640654999997878
2023-03-02 02:00:00,2721.857983,2721.280558,2720.907988,-0.5774249999999483,-0.9499949999999444,-0.7637099999999464
2023-03-02 02:15:00,2721.860312,2721.282177,2720.910329,-0.5781349999997474,-0.9499829999999747,-0.764058999999861
2023-03-02 02:30:00,2721.861482,2721.285878,2720.911497,-0.5756039999996574,-0.9499849999997423,-0.7627944999996998
2023-03-02 02:45:00,2721.861482,2721.283347,2720.914429,-0.5781349999997474,-0.9470529999998689,-0.7625939999998081
2023-03-02 03:00:00,2721.862642,2721.284766,2720.909031,-0.5778759999998329,-0.9536109999999098,-0.7657434999998713
2023-03-02 03:45:00,2721.859733,2721.283738,2720.909845,-0.5759949999996934,-0.9498879999996461,-0.7629414999996698
2023-03-02 04:00:00,2721.857983,2721.281858,2720.908095,-0.5761250000000473,-0.9498880000001009,-0.7630065000000741
2023-03-02 05:30:00,2721.859733,2721.282638,2720.907401,-0.5770949999996446,-0.9523319999998421,-0.7647134999997434
2023-03-02 06:15:00,2721.856234,2721.281279,2720.908817,-0.5749550000000454,-0.9474169999998594,-0.7611859999999524
2023-03-02 08:15:00,2721.858563,2721.282248,2720.906939,-0.576314999999795,-0.9516239999998106,-0.7639694999998028
2023-03-02 08:45:00,2721.857983,2721.280109,2720.908803,-0.5778740000000653,-0.9491800000000694,-0.7635270000000673
2023-03-02 09:00:00,2721.855074,2721.278688,2720.907643,-0.5763860000001841,-0.9474310000000514,-0.7619085000001178
2023-03-02 09:30:00,2721.858573,2721.279717,2720.909287,-0.5788560000000871,-0.9492860000000292,-0.7640710000000581
2023-03-02 09:45:00,2721.856824,2721.277967,2720.905894,-0.5788569999999709,-0.9509299999999712,-0.764893499999971
2023-03-02 10:00:00,2721.855074,2721.276218,2720.903436,-0.5788560000000871,-0.9516380000000026,-0.7652470000000449
2023-03-02 10:15:00,2721.852155,2721.273299,2720.900517,-0.5788560000000871,-0.9516380000000026,-0.7652470000000449
2023-03-02 10:30:00,2721.849236,2721.271739,2720.899348,-0.5774970000002213,-0.9498880000001009,-0.7636925000001611
2023-03-02 10:45:00,2721.849236,2721.272129,2720.899241,-0.5771070000000691,-0.9499949999999444,-0.7635510000000068
2023-03-02 11:00:00,2721.852145,2721.27362,2720.90274,-0.5785249999998996,-0.9494049999998424,-0.763964999999871
2023-03-02 11:15:00,2721.852145,2721.276018,2720.900282,-0.5761269999998149,-0.9518629999997756,-0.7639949999997953
2023-03-02 11:30:00,2721.855644,2721.275759,2720.902267,-0.5798850000001039,-0.9533770000002733,-0.7666310000001886
2023-03-02 11:45:00,2721.853905,2721.274209,2720.89865,-0.5796959999997853,-0.9552549999998519,-0.7674754999998186
2023-03-02 12:00:00,2721.850986,2721.27285,2720.897608,-0.5781360000000859,-0.9533779999997023,-0.7657569999998941
2023-03-02 12:15:00,2721.852145,2721.27401,2720.89806,-0.5781349999997474,-0.95408499999985,-0.7661099999997987
2023-03-02 13:00:00,2721.850986,2721.274989,2720.8969,-0.5759969999999157,-0.9540859999997338,-0.7650414999998247
2023-03-02 13:15:00,2721.852735,2721.276349,2720.90275,-0.5763859999997294,-0.9499849999997423,-0.7631854999997358
