,Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average
min,2023-06-25 00:15:00,-0.4962449999998171,-1.016454000000067,-0.9769460000002255,-0.8283879999999044,-0.3379880000002231,-0.5705219999999827,-1.4965179999999236,-0.25796500000024025,-1.4196270000002187
max,2023-09-17 23:30:00,-0.26494899999988775,-0.8823889999998755,-0.5805480000001353,-0.7762689999999566,-0.24182900000005247,-0.30386200000020835,-1.3117440000000897,-0.10401599999977407,-0.17945000000008804
mean,2023-08-05 18:44:39.600292352,-0.38101939395416484,-0.9717988408481554,-0.6764817382403078,-0.8031149831789531,-0.2938253197660449,-0.5484093114794233,-1.4114760855888897,-0.16882680009752313,-0.7900050108457319
