,Date_Time,P1_h_left,P1_h_right,P1_h_average,P2_h_left,P2_h_right,P2_h_average,P3_h_left,P3_h_right,P3_h_average
min,2021-08-12 00:00:00,-0.6907119999996212,-0.7781069999996362,-0.732823499999995,-0.7503999999998996,-0.40043299999979354,-0.5748779999998987,-1.036873999999898,-0.38377600000012535,-0.701964500000031
max,2021-09-17 23:45:00,-0.5421769999998105,-0.7046500000001288,-0.6259744999999839,-0.6564530000000559,-0.34782399999994595,-0.5058109999999942,-0.9815129999997225,-0.3538140000000567,-0.6679464999999709
mean,2021-09-01 11:16:27.908777984,-0.6219994565404188,-0.723989049913914,-0.6729942532271663,-0.7085461596385383,-0.36874240404472675,-0.5386442818416326,-0.9990324083476808,-0.36469977151463406,-0.6818660899311574
