storm,start,end,peak_tau,peak_time
st1,2021-07-23 12:30:00,2021-07-28 11:15:00,133.4714286,2021-07-23 16:30:00
st2,2022-08-03 14:30:00,2022-08-03 18:30:00,71.1173216,2022-08-03 16:15:00
st3,2022-08-08 12:30:00,2022-08-08 22:15:00,74.72830861,2022-08-08 14:45:00
st4,2023-07-29 13:00:00,2023-07-30 10:30:00,79.76729556,2023-07-29 15:45:00
st5,2023-08-13 17:15:00,2023-08-14 03:15:00,68.63180973,2023-08-13 20:45:00
st6,2023-08-28 11:30:00,2023-08-28 16:30:00,69.69639606,2023-08-28 12:15:00
st7,2023-09-14 13:00:00,2023-09-15 13:00:00,70.56959376,2023-09-14 18:00:00
