Time,Max Amp,Dmax (mm)
4/14/2023 17:15,0.00493,37.39095211
4/14/2023 17:30,0.00468,36.06900991
4/14/2023 17:45,0.00444,35.5817164
4/14/2023 18:00,0.00486,37.37892458
4/14/2023 18:15,0.00496,38.58541037
4/14/2023 18:30,0.00500,38.54784334
4/14/2023 18:45,0.00497,38.67572531
4/14/2023 19:00,0.00527,40.24480282
4/14/2023 19:15,0.00497,38.72759291
4/14/2023 19:30,0.00479,37.76032386
4/14/2023 19:45,0.00520,40.36280585
4/14/2023 20:00,0.00549,41.50980143
4/14/2023 20:15,0.00455,36.50948112
4/14/2023 20:30,0.00444,36.31350082
4/14/2023 20:45,0.00454,36.74015318
4/14/2023 21:00,0.00481,37.5120821
4/14/2023 21:15,0.00546,41.53241788
4/14/2023 21:30,0.00449,35.98946341
4/14/2023 21:45,0.00439,35.5253061
4/14/2023 22:00,0.00458,36.70162609
4/14/2023 22:15,0.00461,36.68676162
4/14/2023 22:30,0.00459,36.56239457
4/14/2023 22:45,0.00465,37.2647625
4/14/2023 23:00,0.00482,38.00083519
4/14/2023 23:15,0.00482,37.79257222
4/14/2023 23:30,0.00462,36.32428872
4/14/2023 23:45,0.00479,37.4314414
4/15/2023 0:00,0.00440,35.47427885
4/15/2023 0:15,0.00480,37.87434388
4/15/2023 0:30,0.00452,36.25109715
4/15/2023 0:45,0.00510,39.05636999
4/15/2023 1:00,0.00439,35.51415742
4/15/2023 1:15,0.00457,36.54518684
4/15/2023 1:30,0.00485,37.77247309
4/15/2023 1:45,0.00471,37.23274903
4/15/2023 2:00,0.00457,35.84276918
4/15/2023 2:15,0.00490,38.05618969
4/15/2023 2:30,0.00412,34.07025821
4/15/2023 2:45,0.00472,37.02743499
4/15/2023 3:00,0.00390,33.03324717
4/15/2023 3:15,0.00443,35.75303347
4/15/2023 3:30,0.00437,35.48791502
4/15/2023 3:45,0.00432,34.59308035
4/15/2023 4:00,0.00456,36.11245177
4/15/2023 4:15,0.00426,34.56444995
4/15/2023 4:30,0.00455,35.66647905
4/15/2023 4:45,0.00403,32.59527905
4/15/2023 5:00,0.00451,35.43450836
4/15/2023 5:15,0.00474,36.61346178
4/15/2023 5:30,0.00437,34.79055027
4/15/2023 5:45,0.00480,37.02087664
4/15/2023 6:00,0.00513,38.95450295
4/15/2023 6:15,0.00457,35.72146323
4/15/2023 6:30,0.00401,32.9466599
4/15/2023 6:45,0.00366,29.9599344
4/15/2023 7:00,0.00408,33.10065398
4/15/2023 7:15,0.00401,31.97545998
4/15/2023 7:30,0.00373,30.94695586
4/15/2023 7:45,0.00378,30.79052255
4/15/2023 8:00,0.00428,34.12684978
4/15/2023 8:15,0.00424,33.58745133
4/15/2023 8:30,0.00405,31.47140463
