Time,Max Amp,Dmax (mm)
8/3/2022 15:01,0.02275734,65.82286562
8/3/2022 15:16,0.006887923,40.60539344
8/3/2022 15:31,0.005757978,39.070927
8/3/2022 15:46,0.005459533,38.34492793
8/3/2022 16:01,0.004875965,35.41262282
8/3/2022 16:16,0.005468682,37.43994334
8/3/2022 16:31,0.005573237,38.15763395
8/3/2022 16:46,0.005130993,36.53923295
8/3/2022 17:01,0.005321234,37.37611571
8/3/2022 17:16,0.005024626,36.06233799
8/3/2022 17:31,0.00460942,34.77013505
8/3/2022 17:46,0.003287104,25.16058833
8/8/2022 14:16,0.005327626,36.4236564
8/8/2022 14:31,0.032275769,48.45276073
8/8/2022 14:46,0.039279705,51.44539002
8/8/2022 15:01,0.036602438,47.15869621
8/8/2022 15:16,0.031495097,45.53775233
8/8/2022 15:31,0.035291895,48.78587404
8/8/2022 15:46,0.031356354,46.15193331
8/8/2022 16:01,0.029670698,48.45346353
8/8/2022 16:16,0.02763766,48.40794433
8/8/2022 16:31,0.029751022,53.36863513
8/8/2022 16:46,0.025124162,49.02176385
8/8/2022 17:01,0.01474807,47.98674357
8/8/2022 17:16,0.012178517,50.53585457
8/8/2022 17:31,0.010405898,51.42397261
8/8/2022 17:46,0.007059077,44.47048134
8/8/2022 18:01,0.008795458,47.77387301
8/8/2022 18:16,0.005133471,37.47609859
7/29/2023 14:45,0.01055,32.31827899
7/29/2023 15:00,0.06886,29.92007624
7/29/2023 15:15,0.06788,29.1201675
7/29/2023 15:30,0.09424,30.47959859
7/29/2023 15:45,0.18101,54.03914124
7/29/2023 16:00,0.06604,32.05338739
7/29/2023 16:15,0.02030,28.84872007
7/29/2023 16:30,0.05089,28.76499338
7/29/2023 16:32,0.03318,31.22227819
7/29/2023 16:45,0.01479,28.95801966
7/29/2023 17:00,0.02380,37.1532284
7/29/2023 17:15,0.00758,29.3316668
7/29/2023 17:30,0.00851,30.49674711
7/29/2023 17:45,0.00634,26.92278123
7/29/2023 18:00,0.00683,28.69746251
7/29/2023 18:15,0.00443,21.00660848
7/29/2023 18:30,0.00556,25.70447912
9/14/2023 14:45,0.012066,37.94911476
9/14/2023 15:00,0.017658,41.46774304
9/14/2023 15:15,0.014160,36.53511581
9/14/2023 15:30,0.008121,27.53516564
9/14/2023 15:45,0.019158,39.70196437
9/14/2023 16:00,0.022992,38.54143535
9/14/2023 16:15,0.020827,31.92438799
9/14/2023 16:30,0.023986,38.60256511
9/14/2023 16:45,0.020875,33.30570988
9/14/2023 17:00,0.024046,36.10139808
9/14/2023 17:15,0.019921,32.17568151
9/14/2023 17:30,0.021276,33.71176331
9/14/2023 17:45,0.026683,37.34034701
9/14/2023 18:00,0.026628,39.16123661
9/14/2023 18:15,0.021516,32.35594497
9/14/2023 18:30,0.020923,32.6582991
9/14/2023 18:45,0.019794,31.54414172
9/14/2023 19:00,0.017656,31.43902736
9/14/2023 19:15,0.016412,32.70377187
9/14/2023 19:30,0.018585,34.37337669
9/14/2023 19:45,0.018595,38.60679604
9/14/2023 20:00,0.017965,34.67186008
9/14/2023 20:15,0.016009,34.76659861
9/14/2023 20:30,0.014566,35.1543354
9/14/2023 20:45,0.017498,39.31801868
9/14/2023 21:00,0.014092,33.81018453
9/14/2023 21:15,0.018008,39.09390847
9/14/2023 21:30,0.016944,37.93369065
9/14/2023 21:45,0.013833,34.15919562
9/14/2023 22:00,0.014575,35.11815486
9/14/2023 22:15,0.016279,37.20665618
9/14/2023 22:30,0.021132,43.61228642
9/14/2023 22:45,0.027577,43.95902192
9/14/2023 23:00,0.018347,40.32566867
9/14/2023 23:15,0.018677,38.89246604
9/14/2023 23:30,0.018215,41.69355026
9/14/2023 23:45,0.010791,32.18116806
9/15/2023 0:00,0.010631,31.797363
