Date_Time,SS (uL/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),PP (mg/L)
7/23/2021 14:30,0,,,2.53,2.86,
7/23/2021 15:50,339.78248,0.062,0.36,9.18,51.66,1.19
7/23/2021 16:09,457.12,0.088,0.445,12.63,50.228,1.63
7/23/2021 16:40,152.79,0.088,0.248,13.39,14.502,0.77
7/23/2021 16:55,168.45,0.083,0.214,13,11.681,0.5
7/23/2021 19:19,43.15,0.053,0.097,12.87,6.411,0.1
7/23/2021 21:02,17.7,0.047,0.077,11.55,4.805,0.07
