Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID
9/14/2023 16:00,5.62,,,,
9/14/2023 17:45,95.963,8.705,5.137,0.565,490
9/14/2023 18:00,80.18,3.151,4.194,1.612,491
9/14/2023 18:15,70.51,2.312,4.185,0.41,492
9/14/2023 18:30,48.22,,,,-
9/14/2023 18:45,64.437,0.743,2.966,0.497,493
9/14/2023 19:00,48.583,,,,-
9/14/2023 19:15,46.07,0,,,494
9/14/2023 19:30,41.417,,,,-
9/14/2023 19:45,39.3,,,,-
9/14/2023 20:00,,0,4.745,1.016,495
