Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L)
7/23/2021 14:30,0,,,,,2.47,2.31
7/23/2021 14:54,92.06,68.981,0.042,0.094,0.15,11.10505732,4.522
7/23/2021 15:02,95.69,124.475,0.045,0.12,0.28,29.71212071,4.436
7/23/2021 16:13,403.515,359.220,0.09,0.362,1.66,41.27935076,12.442
7/23/2021 16:58,124.04,86.111,0.083,0.208,0.38,9.524065462,12.977
7/23/2021 17:58,65.3,37.228,0.067,0.132,0.13,6.538644049,13.108
7/23/2021 20:13,42.87,30.435,0.048,0.086,0.06,5.707480069,12.073
