Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L)
7/23/2021 14:30,0,4.409564903,0.02625,0.03125,0,2.864640754,1.754
7/23/2021 15:50,339.78248,562.3258,0.062,0.36,1.19,51.66,9.18
7/23/2021 16:09,457.12,528.0348,0.088,0.445,1.63,50.228,12.63
7/23/2021 16:40,152.79,143.169,0.088,0.248,0.77,14.502,13.39
7/23/2021 16:55,168.45,82.7614,0.083,0.214,0.5,11.681,13
7/23/2021 19:19,43.15,36.92,0.053,0.097,0.1,6.411,12.87
7/23/2021 21:02,17.7,22.0119,0.047,0.077,0.07,4.805,11.55
