Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L)
7/23/2021 14:30,0,4.409564903,0.02625,0.03125,0,2.864640754,1.754
7/23/2021 14:54,92.06,68.981,0.042,0.094,0.004729322,11.10505732,4.522
7/23/2021 15:02,95.69,124.475,0.045,0.12,0.008645846,29.71212071,4.436
7/23/2021 16:13,403.515,359.22,0.09,0.362,0.051272531,41.27935076,12.442
7/23/2021 16:58,124.04,86.111,0.083,0.208,0.011685574,9.524065462,12.977
7/23/2021 17:58,65.3,37.228,0.067,0.132,0.003930714,6.538644049,13.108
7/23/2021 20:13,42.87,30.435,0.048,0.086,0.001869769,5.707480069,12.073
