Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L),LAB ID,,,,,,,
8/13/2023 18:30,0,13.33,,,0,0.09,8.085,,,,,,,,
8/13/2023 18:45,210.458,76.15384615,,,0.0683,7.778,4.473,456,,,,,,,
8/13/2023 18:58,116.066,41.2,,,0.0961,4.535,3.936,457,,,,,,,
8/13/2023 19:02,113.258,39.6,,,0.0968,5.889,3.943,458,,,,,,,
8/13/2023 19:10,81.15,27.6,,,0.0906,4.804,4.039,459,,,,,,,`
8/13/2023 21:02,56.15,20.83333333,,,0.0392,2.921,2.786,460,,,,,,,
