Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L)
4/18/2023 12:30,0,,,,,,3.353
4/18/2023 16:30,78.71,23,,,,,3.514
4/18/2023 21:30,45.42,15,,,,,3.654
4/19/2023 2:30,74.75,9.090909091,,,,,3.576
4/19/2023 7:30,0,7.5,,,,,3.389
