Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L)
5/1/2023 9:00,0,2.5,,,,,2.959
5/1/2023 14:00,50.13,6,,,,,3.148
5/1/2023 20:00,44.9900,22.14285714,,,,2.289790281,3.541
5/2/2023 3:00,35.73,10,,,,,3.076
5/2/2023 10:00,31.62,6.428571429,,,,,2.856
5/2/2023 17:00,25.42,18,,,,,2.921
