Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L)
4/30/2023 8:00,0,2.5,,,,,2.943
4/30/2023 13:00,43.66,12.66666667,,,,,4.104
4/30/2023 18:00,85.5,45,,,,,4.979
4/30/2023 23:00,0,14,,,,,3.871
5/1/2023 4:00,0,10,,,,,3.474
5/1/2023 9:00,0,8.125,,,,,3.269
