DateTime,LabID,SSC (mg/L),Reach,Clay fraction (mg/L),Clay SSC (mg/L),Silt fraction (mg/L),Silt SSC (mg/L),Fine sand fraction (mg/L),Fine sand SSC (mg/L)
7/23/2021 14:30,GS,4.409564903,Down,0.013853004,0.06108572,0.614010781,2.70752039,0.372136216,1.640958797
7/23/2021 15:50,VC-BER-20,562.33,Down,0.056501329,31.77239234,0.866234677,487.1097459,0.077232483,43.43014217
7/23/2021 16:09,VC-BER-21,528.03,Down,0.057928911,30.58820288,0.789399535,416.8266365,0.152680306,80.61978198
7/23/2021 16:40,VC-BER-31,143.17,Down,0.055469381,7.941551278,0.84374325,120.7987211,0.10082664,14.43535005
7/23/2021 16:55,VC-BER-22,82.76,Down,0.033708977,2.789754937,0.688159808,56.95210571,0.278141108,23.0189581
7/23/2021 19:19,VC-BER-23,36.92,Down,0.025421764,0.938571527,0.578536336,21.35956153,0.396041898,14.62186687
7/23/2021 21:02,VC-BER-24,22.01,Down,0.03463864,0.762396466,0.734870319,16.17449572,0.230491037,5.073107724
7/23/2021 14:30,GS,4.409564903,Up,0.013853004,0.06108572,0.614010781,2.70752039,0.372136216,1.640958797
7/23/2021 14:54,VC-BER-25,68.98,Up,0.014338319,0.989057245,0.54078274,37.30319341,0.44483549,30.6847521
7/23/2021 15:02,VC-BER-26,124.48,Up,0.027287169,3.396706797,0.693466128,86.32266361,0.2792258,34.75802758
7/23/2021 16:13,VC-BER-28,359.22,Up,0.04927174,17.69939444,0.750842014,269.7174683,0.199863939,71.79512417
7/23/2021 16:58,VC-BER-29,86.11,Up,0.049093503,4.227441543,0.623680965,53.7051679,0.327217471,28.17669643
7/23/2021 17:58,VC-BER-27,37.23,Up,0.027903699,1.038854714,0.617174103,22.97739185,0.354937515,13.21432368
7/23/2021 20:13,VC-BER-30,30.43,Up,0.012947021,0.393977849,0.450416404,13.70617117,0.536589918,16.3284312
8/3/2022 14:30,GS,2.927,Down,0.013853004,0.040547743,0.614010781,1.797209556,0.372136216,1.089242704
8/3/2022 15:02,95,57.73,Down,0.009370694,0.540970165,0.416642893,24.05279421,0.573996082,33.13679381
8/3/2022 15:17,96,48.06,Down,0.01121113,0.538806908,0.492640648,23.67630954,0.496148223,23.8448836
8/3/2022 15:47,97,55,Down,0.013354282,0.73448551,0.503629222,27.69960721,0.483016497,26.56590733
8/3/2022 16:17,98,45.16,Down,0.014148717,0.63895606,0.572850449,25.86992628,0.412946348,18.64865708
8/3/2022 18:02,99,17.43,Down,,,,,,
8/3/2022 18:17,100,11.45,Down,0.01594464,0.182566128,0.604048999,6.916361039,0.380021502,4.351246198
8/3/2022 19:02,101,6.53,Down,,,,,,
8/8/2022 13:15,GS,2.927,Down,0.013853004,0.040547743,0.614010781,1.797209556,0.372136216,1.089242704
8/8/2022 13:43,102,8.48,Down,,,,,,
8/8/2022 13:58,103,10.74,Down,,,,,,
8/8/2022 14:13,104,19.84,Down,,,,,,
8/8/2022 14:28,105,49.09,Down,0.016413929,0.805759775,0.603335717,29.61775035,0.380255251,18.66673027
8/8/2022 14:43,106,35.39,Down,0.021225701,0.751177558,0.561823991,19.88295104,0.416988124,14.75720971
8/8/2022 15:23,107,23.68,Down,0.020209507,0.478561126,0.558906854,13.2349143,0.420869111,9.966180548
8/8/2022 16:13,108,9.89,Down,0.017106376,0.169182059,0.569448613,5.631846783,0.413499576,4.089510807
8/8/2022 16:43,110,7.95,Down,,,,,,
8/8/2022 16:58,111,4.08,Down,0.014436453,0.058900728,0.52580188,2.14527167,0.45970917,1.875613414
8/8/2022 17:28,112,1.65,Down,0.013728481,0.022651994,0.528328614,0.871742213,0.457833951,0.755426019
8/8/2022 17:58,113,0.84,Down,,,,,,
8/8/2022 18:13,114,5.72,Down,0.010059519,0.057540449,0.507188176,2.901116367,0.482739224,2.761268361
7/29/2023 14:00,GS,13.33333333,Down,0.013853004,0.18470672,0.614010781,8.186810411,0.372136216,4.961816212
7/29/2023 14:52,439,187,Down,,,,,,
7/29/2023 15:07,440,110,Down,0.02186,2.4046,0.67746,74.5206,0.30067,33.0737
7/29/2023 15:22,441,53.33,Down,0.02502,1.3343166,0.7057,37.634981,0.26927,14.3601691
7/29/2023 15:37,442,80,Down,0.02326,1.8608,0.68781,55.0248,0.28892,23.1136
7/29/2023 15:52,443,43.33,Down,0.01624,0.7036792,0.66109,28.6450297,0.32269,13.9821577
7/29/2023 16:07,444,92.22,Down,0.02364,2.1800808,0.67622,62.3610084,0.30018,27.6825996
7/29/2023 16:22,445,52.22,Down,,,,,,
7/29/2023 14:00,GS,13.33333333,Up,0.013853004,0.18470672,0.614010781,8.186810411,0.372136216,4.961816212
7/29/2023 15:16,446,100,Up,0.01954,1.954,0.60546,60.546,0.37502,37.502
7/29/2023 15:31,447,105.56,Up,0.02684,2.8332304,0.67583,71.3406148,0.29732,31.3850992
7/29/2023 15:46,448,50,Up,0.03624,1.812,0.74306,37.153,0.22068,11.034
7/29/2023 16:01,449,68.89,Up,0.02722,1.8751858,0.64138,44.1846682,0.33142,22.8315238
7/29/2023 16:16,450,51.11,Up,0.03418,1.7469398,0.69798,35.6737578,0.26785,13.6898135
7/29/2023 16:31,451,45.26,Up,0.02604,1.1785704,0.69434,31.4258284,0.2796,12.654696
7/29/2023 16:46,452,20,Up,0.01992,0.3984,0.57758,11.5516,0.4025,8.05
7/29/2023 17:16,453,15.45,Up,0.02675,0.4132875,0.6284,9.70878,0.34487,5.3282415
7/29/2023 17:46,454,26,Up,0.0324,0.8424,0.70508,18.33208,0.26252,6.82552
7/29/2023 18:31,455,21,Up,0.01373,0.28833,0.49906,10.48026,0.4872,10.2312
8/13/2023 18:30,GS,13.33,Down,0.013853004,0.184660543,0.614010781,8.184763711,0.372136216,4.960575759
8/13/2023 18:45,456,76.15,Down,0.02234,1.701191,0.62488,47.584612,0.3528,26.86572
8/13/2023 18:58,457,41.2,Down,0.02448,1.008576,0.66266,27.301592,0.31284,12.889008
8/13/2023 19:02,458,39.6,Down,0.02037,0.806652,0.628,24.8688,0.35164,13.924944
8/13/2023 19:10,459,27.6,Down,0.02124,0.586224,0.63941,17.647716,0.33939,9.367164
8/13/2023 21:02,460,20.83,Down,0.02506,0.5219998,0.66094,13.7673802,0.31399,6.5404117
8/13/2023 17:30,GS,13.33333333,Up,0.013853004,0.18470672,0.614010781,8.186810411,0.372136216,4.961816212
8/13/2023 19:00,461,43.2,Up,0.01628,0.703296,0.49284,21.290688,0.4909,21.20688
8/13/2023 19:15,462,29.23,Up,0.02318,0.6775514,0.66079,19.3148917,0.31603,9.2375569
8/13/2023 19:30,463,25,Up,0.02399,0.59975,0.63963,15.99075,0.3364,8.41
8/13/2023 19:45,464,23.75,Up,0.02116,0.50255,0.62464,14.8352,0.35423,8.4129625
8/13/2023 20:00,465,22.22,Up,0.02082,0.4626204,0.60194,13.3751068,0.37725,8.382495
8/13/2023 20:15,466,22.22,Up,0.0163,0.362186,0.60862,13.5235364,0.37512,8.3351664
8/13/2023 20:30,467,21.9,Up,0.01435,0.314265,0.48347,10.587993,0.5022,10.99818
8/13/2023 20:45,468,18,Up,0.01198,0.21564,0.4503,8.1054,0.5377,9.6786
8/13/2023 21:00,469,20.5,Up,0.0229,0.46945,0.62834,12.88097,0.34875,7.149375
8/13/2023 21:15,470,12.56,Up,0.01992,0.2501952,0.64126,8.0542256,0.33885,4.255956
8/13/2023 21:30,471,18,Up,0.02367,0.42606,0.63078,11.35404,0.34554,6.21972
8/13/2023 21:45,472,20,Up,0.02285,0.457,0.60491,12.0982,0.37218,7.4436
8/13/2023 22:00,473,16.67,Up,,,,,,
8/28/2023 12:00,GS,5.52,Up,0.013853004,0.076468582,0.614010781,3.389339511,0.372136216,2.054191912
8/28/2023 12:20,476,77.89,Up,0.01683,1.3108887,0.57425,44.7283325,0.40891,31.8499999
8/28/2023 12:35,477,43,Up,0.01561,0.67123,0.55359,23.80437,0.43077,18.52311
8/28/2023 12:50,478,36,Up,0.01937,0.69732,0.63457,22.84452,0.34604,12.45744
8/28/2023 13:05,479,28.84,Up,0.01995,0.575358,0.60123,17.3394732,0.37881,10.9248804
8/28/2023 13:20,480,29.55,Up,0.0182,0.53781,0.61254,18.100557,0.36927,10.9119285
8/28/2023 14:05,481,26.84,Up,0.0212,0.569008,0.61637,16.5433708,0.36241,9.7270844
8/28/2023 14:35,482,24,Up,0.02019,0.48456,0.65847,15.80328,0.32131,7.71144
8/28/2023 15:20,483,23.57,Up,,,,,,
9/14/2023 17:00,GS,5.523809524,Down,0.013853004,0.076521355,0.614010781,3.3916786,0.372136216,2.055609574
9/14/2023 17:52,484,37.6,Down,0.03092,1.162592,0.7719,29.02344,0.19716,7.413216
9/14/2023 18:07,485,31.54,Down,0.02414,0.7613756,0.75707,23.8779878,0.2188,6.900952
9/14/2023 18:22,486,28.08,Down,0.01607,0.4512456,0.75599,21.2281992,0.22793,6.4002744
9/14/2023 18:37,487,23.6,Down,0.0163,0.38468,0.70945,16.74302,0.27424,6.472064
9/14/2023 18:52,488,21.18,Down,0.02499,0.5292882,0.73791,15.6289338,0.23713,5.0224134
9/14/2023 19:09,489,23.14,Down,,,,,,
9/14/2023 17:00,GS,5.523809524,Up,0.013853004,0.076521355,0.614010781,3.3916786,0.372136216,2.055609574
9/14/2023 17:45,490,30.77,Up,0.02089,0.6427853,0.69859,21.4956143,0.28053,8.6319081
9/14/2023 18:00,491,30.19,Up,0.0247,0.745693,0.76764,23.1750516,0.20766,6.2692554
9/14/2023 18:15,492,29.17,Up,0.02615,0.7627955,0.81072,23.6487024,0.16315,4.7590855
9/14/2023 18:45,493,20.42,Up,0.02084,0.4255528,0.75771,15.4724382,0.22147,4.5224174
9/14/2023 19:15,494,18,Up,0.02002,0.36036,0.77169,13.89042,0.20831,3.74958
9/14/2023 20:00,495,19,Up,,,,,,
