DateTime,LabID,SSC (mg/L),Reach,Clay fraction (mg/L),Clay SSC (mg/L),Silt fraction (mg/L),Silt SSC (mg/L),Fine sand fraction (mg/L),Fine sand SSC (mg/L)
4/15/2023 12:30,195,12.38095238,Down,,,,,,
4/15/2023 16:30,196,9.473684211,Down,,,,,,
4/15/2023 20:30,197,5,Down,,,,,,
4/16/2023 0:30,198,4,Down,,,,,,
4/16/2023 12:30,199,10.47619048,Down,,,,,,
4/16/2023 16:30,200,9.333333333,Down,,,,,,
4/17/2023 0:30,201,9.655172414,Down,,,,,,
4/17/2023 4:30,202,4,Down,,,,,,
4/17/2023 8:30,203,1.5,Down,,,,,,
4/17/2023 12:30,204,5.5,Down,,,,,,
4/17/2023 16:30,205,23.15789474,Down,0.008456242,0.195828762,0.502839143,11.64469594,0.488704613,11.31736999
4/17/2023 20:30,206,15,Down,0.013397008,0.20095512,0.688456271,10.32684407,0.298146721,4.472200815
4/18/2023 0:30,222,8.947368421,Down,0.007224535,0.064640576,0.538060943,4.81422949,0.454714521,4.068498346
4/18/2023 4:30,207,9.5,Down,0.009186773,0.087274344,0.554211189,5.265006296,0.436602037,4.147719351
4/18/2023 8:30,223,4.285714286,Down,,,,,,
4/18/2023 16:30,225,23,Down,0.014753178,0.339323094,0.67163021,15.44749483,0.313616611,7.213182053
4/18/2023 21:30,226,15,Down,0.009598274,0.14397411,0.45276681,6.79150215,0.537634916,8.06452374
4/19/2023 2:30,227,9.090909091,Down,0.007699065,0.0699915,0.524708847,4.770080427,0.467592086,4.250837145
4/19/2023 7:30,228,7.5,Down,,,,,,
4/19/2023 12:30,229,4.375,Down,0.00874574,0.038262613,0.605407739,2.648658858,0.385846524,1.688078543
4/20/2023 18:30,231,5.625,Down,,,,,,
4/20/2023 23:30,232,6.666666667,Down,,,,,,
4/23/2023 16:00,254,10.34482759,Down,,,,,,
4/23/2023 21:00,255,5.333333333,Down,,,,,,
4/24/2023 2:00,256,6.428571429,Down,,,,,,
4/24/2023 7:00,257,6.428571429,Down,,,,,,
4/24/2023 12:00,258,14.19354839,Down,,,,,,
4/24/2023 17:00,259,14.73684211,Down,,,,,,
4/24/2023 22:00,260,18.94736842,Down,,,,,,
4/25/2023 3:00,261,26.08695652,Down,,,,,,
4/25/2023 8:00,262,7.272727273,Down,,,,,,
4/25/2023 18:00,264,5.333333333,Down,,,,,,
4/25/2023 23:00,265,5,Down,,,,,,
4/26/2023 14:00,267,22.01257862,Down,,,,,,
4/26/2023 19:00,268,12.14285714,Down,,,,,,
4/27/2023 0:00,292,10.66666667,Down,,,,,,
4/27/2023 5:00,293,5.294117647,Down,,,,,,
4/27/2023 10:00,294,4.117647059,Down,,,,,,
4/27/2023 15:00,295,8.125,Down,,,,,,
4/27/2023 20:00,296,6.875,Down,,,,,,
4/28/2023 1:00,297,4.827586207,Down,,,,,,
4/28/2023 6:00,298,2.352941176,Down,,,,,,
4/28/2023 11:00,299,5.333333333,Down,,,,,,
4/28/2023 16:00,300,5.294117647,Down,,,,,,
4/28/2023 21:00,301,3.225806452,Down,,,,,,
4/29/2023 2:00,315,0,Down,,,,,,
4/29/2023 7:00,316,3.333333333,Down,,,,,,
4/29/2023 12:00,317,5.333333333,Down,,,,,,
4/29/2023 17:00,318,12.66666667,Down,,,,,,
4/29/2023 22:00,319,10.66666667,Down,,,,,,
4/30/2023 3:00,320,7.857142857,Down,,,,,,
4/30/2023 8:00,321,8.666666667,Down,,,,,,
4/30/2023 13:00,322,9.375,Down,,,,,,
4/30/2023 18:00,323,42,Down,0.014891228,0.625431576,0.515201787,21.63847505,0.469906988,19.7360935
4/30/2023 23:00,324,17.41935484,Down,0.010201586,0.177705046,0.457670559,7.972325867,0.532127853,9.269323892
5/1/2023 4:00,325,6.666666667,Down,,,,,,
5/1/2023 9:00,326,2.5,Down,,,,,,
5/1/2023 14:00,327,6,Down,0.013852931,0.083117586,0.592557373,3.555344238,0.393589697,2.361538182
5/1/2023 20:00,343,22.14285714,Down,0.012196794,0.270071867,0.438606225,9.711994981,0.549196982,12.16079031
5/2/2023 3:00,344,10,Down,0.016784551,0.16784551,0.511009412,5.11009412,0.47220596,4.7220596
5/2/2023 10:00,345,6.428571429,Down,0.02083554,0.133942757,0.527995707,3.394258117,0.45116875,2.900370536
5/2/2023 17:00,346,18,Down,0.01387631,0.24977358,0.482849632,8.691293376,0.503274058,9.058933044
5/3/2023 0:00,347,9.333333333,Down,,,,,,
5/3/2023 7:00,348,5.714285714,Down,,,,,,
5/3/2023 14:00,349,2.857142857,Down,,,,,,
5/3/2023 20:00,350,20.66666667,Down,0.015641877,0.323265458,0.489451482,10.11533063,0.494906642,10.2280706
5/4/2023 2:00,351,11.875,Down,0.011065526,0.131403121,0.500911988,5.948329858,0.488022448,5.79526657
5/4/2023 8:00,352,2.857142857,Down,,,,,,
5/4/2023 2:00,353,4.666666667,Down,,,,,,
5/4/2023 17:00,354,8.75,Down,,,,,,
5/4/2023 23:00,355,9.333333333,Down,,,,,,
5/5/2023 2:00,356,7.142857143,Down,0,0,0.64826763,4.630483072,0.351732373,2.512374093
4/17/2023 16:30,190,16,Up,,,,,,
4/17/2023 20:30,191,0.5,Up,,,,,,
4/18/2023 0:30,192,6.315789474,Up,,,,,,
4/18/2023 8:30,211,10,Up,,,,,,
4/18/2023 12:30,212,6.818181818,Up,,,,,,
4/18/2023 16:30,213,21.5,Up,0.009817759,0.211081819,0.60728258,13.05657547,0.382899656,8.232342604
4/18/2023 21:30,214,11.05263158,Up,0.012630117,0.13959603,0.537400876,5.939693893,0.449969009,4.973341679
4/19/2023 2:30,215,18,Up,0.007742386,0.139362948,0.603927344,10.87069219,0.388330272,6.989944896
4/19/2023 7:30,216,6.5,Up,0.008082496,0.052536224,0.560624563,3.64405966,0.431292943,2.803404129
4/19/2023 12:30,217,8,Up,,,,,,
4/19/2023 17:30,218,12,Up,,,,,,
4/19/2023 22:30,219,6,Up,0.022479472,0.134876832,0.734446184,4.406677104,0.243074346,1.458446076
4/20/2023 3:30,220,8.888888889,Up,0.015088954,0.134124036,0.638259294,5.673415947,0.346651752,3.081348907
4/20/2023 8:30,221,12.22222222,Up,,,,,,
4/20/2023 18:30,236,6.875,Up,,,,,,
4/20/2023 23:30,237,4.666666667,Up,0.021102404,0.098477885,0.622924185,2.90697953,0.355973407,1.661209233
4/21/2023 9:30,238,5.333333333,Up,,,,,,
