HI,Drise,Dfall,storm_name,peak tau,peak constituent,rise,fall,A,B,C,Drise_point,Dfall_point,norm_df,storm,constituent
0.09451321810610412,0.08771202506047347,0.006801193045630655,down_event1,1.0,0.6477272726389462,"                        tau_n        cn
Date_Time                              
2023-04-17 12:30:00  0.881975  0.237500
2023-04-17 16:30:00  0.978065  1.000000
2023-04-17 20:30:00  1.000000  0.647727","                        tau_n        cn
Date_Time                              
2023-04-18 00:30:00  0.987657  0.386364
2023-04-18 04:30:00  0.976137  0.410227
2023-04-18 08:30:00  0.966078  0.185065",0.46266233758690967,-0.03392174427891814,-0.4406902986819703,"(np.float64(0.8819752580079198), np.float64(0.23749999996761365))","(np.float64(0.9876566389112582), np.float64(0.3863636363086777))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-17 12:30:00     99.865882    5.500000  0.881975  0.237500
2023-04-17 16:30:00    110.746094   23.157895  0.978065  1.000000
2023-04-17 20:30:00    113.229799   15.000000  1.000000  0.647727
2023-04-18 00:30:00    111.832163    8.947368  0.987657  0.386364
2023-04-18 04:30:00    110.527790    9.500000  0.976137  0.410227
2023-04-18 08:30:00    109.388847    4.285714  0.966078  0.185065",down_event1,SSC (mg/L)
0.03709682166373601,0.020840462175088753,0.01625635948864726,down_event1,1.0,1.0,"                        tau_n       cn
Date_Time                             
2023-04-17 16:30:00  0.978065  0.97449
2023-04-17 20:30:00  1.000000  1.00000","                        tau_n        cn
Date_Time                              
2023-04-18 00:30:00  0.987657  0.321667
2023-04-18 04:30:00  0.976137  0.434298",0.5657023120386283,-0.023863058261321957,-0.5418392537773064,"(np.float64(0.9780649156568231), np.float64(0.9744900353870058))","(np.float64(0.9876566389112582), np.float64(0.3216667283719868))","                     shear_stress  Clay SSC (mg/L)     tau_n        cn
Date_Time                                                             
2023-04-17 16:30:00    110.746094         0.195829  0.978065  0.974490
2023-04-17 20:30:00    113.229799         0.200955  1.000000  1.000000
2023-04-18 00:30:00    111.832163         0.064641  0.987657  0.321667
2023-04-18 04:30:00    110.527790         0.087274  0.976137  0.434298",down_event1,Clay SSC (mg/L)
0.04172980830926058,0.028105524726657383,0.013624283582603196,down_event1,1.0,0.8868281424615712,"                        tau_n        cn
Date_Time                              
2023-04-17 16:30:00  0.978065  1.000000
2023-04-17 20:30:00  1.000000  0.886828","                        tau_n        cn
Date_Time                              
2023-04-18 00:30:00  0.987657  0.413427
2023-04-18 04:30:00  0.976137  0.452138",0.4346904204353144,-0.023863058261321957,-0.41352798880397407,"(np.float64(0.9780649156568231), np.float64(1.0))","(np.float64(0.9876566389112582), np.float64(0.4134268094938338))","                     shear_stress  Silt SSC (mg/L)     tau_n        cn
Date_Time                                                             
2023-04-17 16:30:00    110.746094        11.644696  0.978065  1.000000
2023-04-17 20:30:00    113.229799        10.326844  1.000000  0.886828
2023-04-18 00:30:00    111.832163         4.814229  0.987657  0.413427
2023-04-18 04:30:00    110.527790         5.265006  0.976137  0.452138",down_event1,Silt SSC (mg/L)
0.4171165651487581,0.40378441893830846,0.01333214621044962,down_event1,1.0,0.39516255269127243,"                        tau_n        cn
Date_Time                              
2023-04-17 16:30:00  0.978065  1.000000
2023-04-17 20:30:00  1.000000  0.395163","                        tau_n        cn
Date_Time                              
2023-04-18 00:30:00  0.987657  0.359492
2023-04-18 04:30:00  0.976137  0.366491",0.028671101526831,-0.023863058261321957,-0.01924131450926647,"(np.float64(0.9780649156568231), np.float64(1.0))","(np.float64(0.9876566389112582), np.float64(0.3594915028487109))","                     shear_stress  Fine sand SSC (mg/L)     tau_n        cn
Date_Time                                                                  
2023-04-17 16:30:00    110.746094             11.317370  0.978065  1.000000
2023-04-17 20:30:00    113.229799              4.472201  1.000000  0.395163
2023-04-18 00:30:00    111.832163              4.068498  0.987657  0.359492
2023-04-18 04:30:00    110.527790              4.147719  0.976137  0.366491",down_event1,Fine sand SSC (mg/L)
0.00908945584901127,-0.0033760512516220827,0.012465507100633353,down_event10,1.0,1.0,"                        tau_n        cn
Date_Time                              
2023-04-30 13:00:00  0.973636  0.223214
2023-04-30 18:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-04-30 23:00:00  0.990066  0.414747
2023-05-01 04:00:00  0.976643  0.158730
2023-05-01 09:00:00  0.963990  0.059524",0.9404761904761905,-0.03600952512244682,-0.9044666653537436,"(np.float64(0.973636480536501), np.float64(0.22321428571428573))","(np.float64(0.9900661003357999), np.float64(0.4147465438095238))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-30 13:00:00    116.099521    9.375000  0.973636  0.223214
2023-04-30 18:00:00    119.243191   42.000000  1.000000  1.000000
2023-04-30 23:00:00    118.058642   17.419355  0.990066  0.414747
2023-05-01 04:00:00    116.458036    6.666667  0.976643  0.158730
2023-05-01 09:00:00    114.949301    2.500000  0.963990  0.059524",down_event10,SSC (mg/L)
-0.017278096303121774,-1.6265992924389706e-16,-0.01727809630312161,down_event12,1.0,1.0,"                     tau_n   cn
Date_Time                      
2023-05-02 17:00:00    1.0  1.0","                        tau_n        cn
Date_Time                              
2023-05-03 00:00:00  0.981357  0.518519
2023-05-03 07:00:00  0.998065  0.317460",0.6825396825555556,-0.0019346507317582473,-0.6806050318237973,"(np.float64(1.0), np.float64(1.0))","(np.float64(0.9813570806711098), np.float64(0.5185185185000001))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-05-02 17:00:00    121.625726   18.000000  1.000000  1.000000
2023-05-03 00:00:00    119.358267    9.333333  0.981357  0.518519
2023-05-03 07:00:00    121.390423    5.714286  0.998065  0.317460",down_event12,SSC (mg/L)
0.020373962034653727,0.012046196031845853,0.008327766002807874,down_event13,1.0,1.0,"                        tau_n        cn
Date_Time                              
2023-05-03 14:00:00  0.931368  0.138249
2023-05-03 20:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-05-04 02:00:00  0.980425  0.574597
2023-05-04 08:00:00  0.943440  0.138249",0.8617511521029434,-0.056560327378200825,-0.8051908247247426,"(np.float64(0.9313675578998093), np.float64(0.13824884789705663))","(np.float64(0.9804246935973474), np.float64(0.5745967741008714))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-05-03 14:00:00    119.179629    2.857143  0.931368  0.138249
2023-05-03 20:00:00    127.961972   20.666667  1.000000  1.000000
2023-05-04 02:00:00    125.457077   11.875000  0.980425  0.574597
2023-05-04 08:00:00    120.724401    2.857143  0.943440  0.138249",down_event13,SSC (mg/L)
-0.025011829273478555,-0.0,-0.025011829273478555,down_event14,1.0,0.5000000000535715,"                     tau_n   cn
Date_Time                      
2023-05-04 02:00:00    1.0  0.5","                        tau_n        cn
Date_Time                              
2023-05-04 17:00:00  0.985061  0.937500
2023-05-04 23:00:00  0.995442  1.000000
2023-05-05 02:00:00  0.984287  0.765306",-0.2653061224380465,-0.01571321006238624,0.2731627274700814,"(np.float64(1.0), np.float64(0.5000000000535715))","(np.float64(0.9954423017414369), np.float64(1.0))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-05-04 02:00:00    125.457077    4.666667  1.000000  0.500000
2023-05-04 17:00:00    123.582933    8.750000  0.985061  0.937500
2023-05-04 23:00:00    124.885281    9.333333  0.995442  1.000000
2023-05-05 02:00:00    123.485743    7.142857  0.984287  0.765306",down_event14,SSC (mg/L)
0.04266309422871194,0.03748548186269949,0.005177612366012448,down_event2,1.0,0.6521739130434783,"                        tau_n        cn
Date_Time                              
2023-04-18 16:30:00  0.994889  1.000000
2023-04-18 21:30:00  1.000000  0.652174","                        tau_n        cn
Date_Time                              
2023-04-19 02:30:00  0.981166  0.395257
2023-04-19 07:30:00  0.969495  0.326087",0.32608695652173914,-0.030504586337022133,-0.3061926610845508,"(np.float64(0.9948890809468759), np.float64(1.0))","(np.float64(0.9811663014525209), np.float64(0.39525691700000004))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-18 16:30:00    116.190753   23.000000  0.994889  1.000000
2023-04-18 21:30:00    116.787645   15.000000  1.000000  0.652174
2023-04-19 02:30:00    114.588102    9.090909  0.981166  0.395257
2023-04-19 07:30:00    113.225086    7.500000  0.969495  0.326087",down_event2,SSC (mg/L)
0.05463730086475446,0.05463730086475446,0.0,down_event2,1.0,0.4242979995932726,"                        tau_n        cn
Date_Time                              
2023-04-18 16:30:00  0.994889  1.000000
2023-04-18 21:30:00  1.000000  0.424298","                        tau_n        cn
Date_Time                              
2023-04-19 02:30:00  0.981166  0.206268",0.2180299876671524,-0.018833698547479072,-0.21003888704851428,"(np.float64(0.9948890809468759), np.float64(1.0))","(np.float64(0.9811663014525209), np.float64(0.20626801192612018))","                     shear_stress  Clay SSC (mg/L)     tau_n        cn
Date_Time                                                             
2023-04-18 16:30:00    116.190753         0.339323  0.994889  1.000000
2023-04-18 21:30:00    116.787645         0.143974  1.000000  0.424298
2023-04-19 02:30:00    114.588102         0.069991  0.981166  0.206268",down_event2,Clay SSC (mg/L)
