Time,Dmax (mm)
8/3/2022 0:01,0
8/3/2022 0:16,0
8/3/2022 0:31,0
8/3/2022 0:46,0
8/3/2022 1:01,0
8/3/2022 1:16,0
8/3/2022 1:31,0
8/3/2022 1:46,0
8/3/2022 2:01,0
8/3/2022 2:16,0
8/3/2022 2:31,0
8/3/2022 2:46,0
8/3/2022 3:01,0
8/3/2022 3:16,0
8/3/2022 3:31,0
8/3/2022 3:46,0
8/3/2022 4:01,0
8/3/2022 4:16,0
8/3/2022 4:31,0
8/3/2022 4:46,0
8/3/2022 5:01,0
8/3/2022 5:16,0
8/3/2022 5:31,0
8/3/2022 5:46,0
8/3/2022 6:01,0
8/3/2022 6:16,0
8/3/2022 6:31,0
8/3/2022 6:46,0
8/3/2022 7:01,0
8/3/2022 7:16,0
8/3/2022 7:31,0
8/3/2022 7:46,0
8/3/2022 8:01,0
8/3/2022 8:16,0
8/3/2022 8:31,0
8/3/2022 8:46,0
8/3/2022 9:01,0
8/3/2022 9:16,0
8/3/2022 9:31,0
8/3/2022 9:46,0
8/3/2022 10:01,0
8/3/2022 10:16,0
8/3/2022 10:31,0
8/3/2022 10:46,0
8/3/2022 11:01,0
8/3/2022 11:16,0
8/3/2022 11:31,0
8/3/2022 11:46,0
8/3/2022 12:01,0
8/3/2022 12:16,0
8/3/2022 12:31,0
8/3/2022 12:46,0
8/3/2022 13:01,0
8/3/2022 13:16,0
8/3/2022 13:31,0
8/3/2022 13:46,0
8/3/2022 14:01,0
8/3/2022 14:16,0
8/3/2022 14:31,0
8/3/2022 14:46,0
8/3/2022 15:01,65.82286562
8/3/2022 15:16,40.60539344
8/3/2022 15:31,39.070927
8/3/2022 15:46,38.34492793
8/3/2022 16:01,35.41262282
8/3/2022 16:16,37.43994334
8/3/2022 16:31,38.15763395
8/3/2022 16:46,36.53923295
8/3/2022 17:01,37.37611571
8/3/2022 17:16,36.06233799
8/3/2022 17:31,34.77013505
8/3/2022 17:46,25.16058833
8/3/2022 18:01,6.743618164
8/3/2022 18:16,4.374700286
8/3/2022 18:31,1.161167926
8/3/2022 18:46,0.077058672
8/3/2022 19:01,0.063846203
8/3/2022 19:16,0.012777121
8/3/2022 19:31,0
8/3/2022 19:46,0
8/3/2022 20:01,0.001709302
8/3/2022 20:16,0
8/3/2022 20:31,0
8/3/2022 20:46,0
8/3/2022 21:01,0
8/3/2022 22:01,0
8/3/2022 22:46,0
8/3/2022 23:01,0
8/3/2022 23:16,0
8/3/2022 23:31,0
8/3/2022 23:46,0
8/4/2022 0:01,0
