LISST-Portable Data File  Created on: Tuesday, February 08, 2022  20:06:26   Day: 039 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  LISST-Portable Serial number = 606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Firmware Version 3.013 Aug 10 2021 11:19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date, Time, Optical Transmission, Total Volume Concentration, Total Mass Concentration, Mean Size, Standard Deviation, D5, D10, D16, D25, D50, D60, D75, D84, D90, D95, D60/D10, Surface Area, Silt Volume, Silt Ratio,0.37,0.44,0.52,0.61,0.72,0.85,1.01,1.19,1.4,1.65,1.95,2.3,2.72,3.2,3.78,4.46,5.27,6.21,7.33,8.65,10.21,12.05,14.22,16.78,19.81,23.37,27.58,32.55,38.41,45.32,53.48,63.11,74.48,87.89,103.72,122.39,144.43,170.44,201.13,237.35,280.09,330.52,390.04,460.27,Sample Note, Operator Name, SOP Name, SOP Note, Optical Model, [real imag], Effective Density, Mixer Speed, Mixer Duration, Ultrasonic Power,Ultrasonic Duration, Average Duration, Single Sample, Manual Control, Battery Voltage, Lref, Lpwr, Reserved, Reserved 
MM/DD/YYYY, HH:MM:SS, %, ul/l, mg/l, microns, microns, microns, microns, microns, microns, microns, microns, microns, microns, microns, microns,No units, m^2/l, ul/l,No units ,ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l,ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, ul/l, , , , ,No units, ,g/cm^3, %, sec, %, sec, sec,  , No units, volts, counts, counts,  ,  
2/8/2022, 20:06:06,0.773,120.526,0,25.359,81.365,2.108,3.562,5.68,9.533,25.995,35.627,57.712,83.918,123.65,233.062,10.003,0.283,98.311,0.816,0.215,0.231,0.257,0.295,0.346,0.407,0.499,0.693,1.033,1.317,1.558,1.809,2.003,2.181,2.391,2.682,2.998,3.317,3.612,3.918,4.214,4.488,4.891,5.301,5.722,6.049,6.36,6.463,6.409,6.177,5.57,4.906,4.067,3.336,2.628,2.118,1.711,1.385,1.06,0.96,1.156,1.438,1.372,0.984, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:07:36,0.774,106.097,0,19.87,48.234,1.941,3.166,4.929,8.043,21.237,28.795,44.707,60.436,78.777,112.266,9.094,0.319,94.421,0.89,0.206,0.223,0.251,0.293,0.349,0.416,0.51,0.705,1.051,1.339,1.577,1.824,2.012,2.186,2.405,2.714,3.051,3.377,3.653,3.927,4.195,4.443,4.814,5.186,5.559,5.819,6.047,6.054,5.874,5.512,4.812,4.039,3.147,2.399,1.725,1.241,0.873,0.591,0.365,0.274,0.294,0.332,0.273,0.161, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:08:54,0.774,102.791,0,19.101,47.688,1.902,3.069,4.741,7.698,20.187,27.456,42.997,58.498,76.295,109.273,8.945,0.328,92.092,0.896,0.202,0.22,0.248,0.291,0.348,0.417,0.511,0.705,1.054,1.345,1.588,1.843,2.038,2.213,2.427,2.727,3.058,3.388,3.672,3.943,4.202,4.438,4.779,5.113,5.432,5.626,5.786,5.734,5.494,5.105,4.431,3.715,2.886,2.181,1.563,1.127,0.803,0.548,0.337,0.249,0.271,0.312,0.262,0.16, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:10:04,0.775,100.107,0,18.689,52.869,1.87,2.997,4.601,7.442,19.499,26.604,41.872,57.204,75.06,110.753,8.876,0.336,89.973,0.899,0.201,0.219,0.248,0.291,0.349,0.417,0.511,0.706,1.056,1.349,1.594,1.851,2.047,2.228,2.446,2.747,3.068,3.377,3.651,3.932,4.176,4.375,4.69,4.995,5.28,5.445,5.588,5.509,5.241,4.821,4.14,3.425,2.621,1.956,1.39,0.998,0.709,0.485,0.31,0.251,0.312,0.426,0.415,0.26, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:11:06,0.776,96.733,0,17.848,48.211,1.829,2.913,4.451,7.132,18.581,25.419,40.138,54.602,71.411,101.964,8.725,0.346,87.873,0.908,0.199,0.218,0.248,0.292,0.351,0.42,0.513,0.707,1.06,1.354,1.596,1.849,2.042,2.221,2.445,2.757,3.087,3.395,3.651,3.908,4.129,4.313,4.611,4.877,5.128,5.256,5.344,5.251,4.978,4.566,3.905,3.2,2.424,1.782,1.242,0.875,0.609,0.407,0.252,0.197,0.246,0.339,0.316,0.17, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:25:51,0.824,66.229,0,18.385,44.144,1.61,2.546,3.903,6.637,20.124,28.396,46.193,63.549,83.419,117.447,11.152,0.377,58.142,0.878,0.184,0.199,0.225,0.262,0.311,0.367,0.441,0.595,0.867,1.078,1.24,1.401,1.51,1.596,1.691,1.821,1.948,2.075,2.187,2.293,2.411,2.523,2.699,2.896,3.081,3.245,3.378,3.406,3.371,3.257,2.97,2.618,2.139,1.693,1.257,0.934,0.688,0.506,0.348,0.228,0.134,0.072,0.043,0.046, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:27:06,0.824,63.342,0,17.496,47.571,1.56,2.441,3.671,6.128,18.371,26.284,44.155,62.857,85.285,124.915,10.77,0.395,55.49,0.876,0.182,0.198,0.224,0.262,0.313,0.37,0.446,0.6,0.877,1.095,1.261,1.429,1.541,1.63,1.729,1.861,1.988,2.111,2.213,2.303,2.4,2.487,2.631,2.786,2.922,3.026,3.092,3.046,2.947,2.79,2.508,2.221,1.855,1.527,1.188,0.928,0.713,0.551,0.406,0.287,0.178,0.1,0.061,0.058, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:28:18,0.825,61.405,0,17.136,52.801,1.526,2.373,3.528,5.818,17.433,25.292,43.761,63.746,88.425,135.909,10.656,0.406,53.499,0.871,0.182,0.198,0.224,0.262,0.313,0.372,0.45,0.608,0.887,1.105,1.272,1.442,1.555,1.648,1.748,1.881,2.006,2.121,2.211,2.287,2.363,2.424,2.535,2.654,2.752,2.816,2.845,2.78,2.68,2.541,2.295,2.042,1.713,1.424,1.126,0.906,0.726,0.591,0.462,0.356,0.248,0.156,0.103,0.096, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
2/8/2022, 20:29:55,0.827,57.601,0,15.517,45.239,1.471,2.263,3.307,5.355,15.565,22.611,39.123,57.011,78.385,117.104,9.993,0.431,51.389,0.892,0.181,0.197,0.223,0.263,0.315,0.375,0.453,0.609,0.889,1.109,1.277,1.449,1.563,1.656,1.754,1.884,2.004,2.114,2.196,2.261,2.322,2.366,2.456,2.548,2.617,2.65,2.647,2.55,2.42,2.258,2.011,1.769,1.463,1.193,0.922,0.725,0.567,0.449,0.335,0.239,0.15,0.084,0.047,0.038, , NICOLE HUCKE, Fraunhofer Auto, Fraunhofer model, Fraunhofer,  n/a,2.65,30,10,100,10,20,0,0,0,0,0,30,-1
