Date_Time,SSC (mg/L),Clay SSC (mg/L),Silt SSC (mg/L),Fine sand SSC (mg/L)
7/29/2023 14:00,13.33333333,0.18470672,8.186810411,4.961816212
7/29/2023 15:16,100,1.954,60.546,37.502
7/29/2023 15:31,105.56,2.8332304,71.3406148,31.3850992
7/29/2023 15:46,50,1.812,37.153,11.034
7/29/2023 16:01,68.89,1.8751858,44.1846682,22.8315238
7/29/2023 16:16,51.11,1.7469398,35.6737578,13.6898135
7/29/2023 16:31,45.26,1.1785704,31.4258284,12.654696
7/29/2023 16:46,20,0.3984,11.5516,8.05
7/29/2023 17:16,15.45,0.4132875,9.70878,5.3282415
7/29/2023 17:46,26,0.8424,18.33208,6.82552
7/29/2023 18:31,21,0.28833,10.48026,10.2312
