Date_Time,SSC (mg/L),Clay SSC (mg/L),Silt SSC (mg/L),Fine sand SSC (mg/L)
8/8/2022 13:15,2.927,0.040547743,1.797209556,1.089242704
8/8/2022 13:43,8.48,,,
8/8/2022 13:58,10.74,,,
8/8/2022 14:13,19.84,,,
8/8/2022 14:28,49.09,0.805759775,29.61775035,18.66673027
8/8/2022 14:43,35.39,0.751177558,19.88295104,14.75720971
8/8/2022 15:23,23.68,0.478561126,13.2349143,9.966180548
8/8/2022 16:13,9.89,0.169182059,5.631846783,4.089510807
8/8/2022 16:43,7.95,,,
8/8/2022 16:58,4.08,0.058900728,2.14527167,1.875613414
8/8/2022 17:28,1.65,0.022651994,0.871742213,0.755426019
8/8/2022 17:58,0.84,,,
8/8/2022 18:13,5.72,0.057540449,2.901116367,2.761268361
